document_id,technical_cluster_id,application_cluster_id
ZH_0002,T48,A42
ZH_0003,T43,A40
ZH_0009,T38,A33
ZH_0010,T49,A38
ZH_0013,T49,A38
ZH_0014,T41,A31
ZH_0017,T37,A31
ZH_0018,T34,A31
ZH_0022,T46,A40
ZH_0023,T45,A49
ZH_0029,T37,A34
ZH_0039,T38,A33
ZH_0041,T49,A38
ZH_0043,T49,A35
ZH_0044,T27,A27
ZH_0053,T06,A35
ZH_0055,T01,A09
ZH_0060,T37,A32
ZH_0070,T39,A31
ZH_0071,T49,A38
ZH_0091,T39,A35
ZH_0093,T30,A36
ZH_0096,T39,A31
ZH_0102,T37,A28
ZH_0110,T35,A27
ZH_0113,T38,A44
ZH_0114,T49,A35
ZH_0120,T37,A38
ZH_0124,T06,A40
ZH_0131,T36,A34
ZH_0137,T48,A42
ZH_0141,T06,A39
ZH_0144,T42,A43
ZH_0150,T46,A42
ZH_0152,T48,A42
ZH_0154,T44,A39
ZH_0155,T44,A46
ZH_0158,T43,A50
ZH_0174,T41,A35
ZH_0178,T01,A34
ZH_0181,T49,A35
ZH_0182,T35,A31
ZH_0186,T35,A30
ZH_0187,T35,A34
ZH_0189,T02,A09
ZH_0201,T25,A34
ZH_0203,T32,A26
ZH_0204,T35,A33
ZH_0205,T01,A31
ZH_0209,T38,A35
ZH_0211,T37,A35
ZH_0214,T37,A34
ZH_0219,T36,A37
ZH_0220,T39,A31
ZH_0227,T49,A38
ZH_0232,T39,A33
ZH_0233,T38,A33
ZH_0236,T36,A34
ZH_0241,T49,A31
ZH_0251,T02,A09
ZH_0264,T49,A31
ZH_0269,T49,A32
ZH_0277,T49,A38
ZH_0278,T49,A38
ZH_0284,T12,A22
ZH_0305,T35,A34
ZH_0306,T40,A27
ZH_0310,T06,A32
ZH_0312,T49,A33
ZH_0313,T01,A26
ZH_0316,T27,A31
ZH_0317,T49,A35
ZH_0319,T26,A31
ZH_0320,T36,A37
ZH_0324,T37,A34
ZH_0329,T49,A32
ZH_0331,T49,A32
ZH_0336,T36,A37
ZH_0339,T14,A27
ZH_0341,T36,A37
ZH_0351,T02,A25
ZH_0357,T49,A38
ZH_0360,T37,A31
ZH_0362,T48,A45
ZH_0373,T36,A31
ZH_0374,T36,A33
ZH_0376,T49,A38
ZH_0388,T39,A33
ZH_0400,T42,A31
ZH_0404,T42,A39
ZH_0406,T36,A31
ZH_0410,T48,A46
ZH_0420,T49,A38
ZH_0429,T48,A39
ZH_0430,T43,A45
ZH_0431,T48,A39
ZH_0441,T39,A34
ZH_0446,T44,A42
ZH_0453,T43,A41
ZH_0476,T49,A34
ZH_0482,T01,A26
ZH_0484,T37,A31
ZH_0488,T17,A09
ZH_0502,T42,A39
ZH_0509,T49,A20
ZH_0535,T06,A36
ZH_0541,T26,A20
ZH_0565,T43,A39
ZH_0575,T11,A09
ZH_0577,T46,A25
ZH_0578,T35,A09
ZH_0581,T35,A34
ZH_0591,T39,A34
ZH_0599,T49,A38
ZH_0611,T39,A33
ZH_0614,T48,A45
ZH_0631,T06,A12
ZH_0642,T41,A19
ZH_0650,T39,A36
ZH_0653,T48,A42
ZH_0661,T42,A27
ZH_0663,T48,A50
ZH_0667,T12,A32
ZH_0678,T06,A40
ZH_0684,T49,A33
ZH_0685,T06,A30
ZH_0687,T48,A46
ZH_0690,T37,A34
ZH_0708,T49,A35
ZH_0709,T41,A40
ZH_0715,T48,A46
ZH_0717,T07,A07
ZH_0734,T48,A39
ZH_0739,T06,A39
ZH_0744,T12,A22
ZH_0745,T48,A10
ZH_0751,T48,A39
ZH_0757,T37,A36
ZH_0761,T39,A31
ZH_0762,T43,A43
ZH_0766,T39,A36
ZH_0782,T20,A19
ZH_0794,T43,A39
ZH_0809,T48,A47
ZH_0820,T46,A45
ZH_0834,T48,A39
ZH_0845,T14,A32
ZH_0854,T48,A46
ZH_0864,T36,A37
ZH_0867,T35,A51
ZH_0869,T36,A37
ZH_0871,T12,A36
ZH_0878,T48,A51
ZH_0882,T37,A31
ZH_0890,T06,A03
ZH_0895,T48,A39
ZH_0897,T49,A38
ZH_0898,T41,A02
ZH_0900,T48,A40
ZH_0907,T43,A40
ZH_0923,T35,A03
ZH_0928,T47,A27
ZH_0950,T02,A31
ZH_0960,T49,A33
ZH_0963,T39,A35
ZH_0970,T42,A50
ZH_0974,T42,A15
ZH_0979,T48,A50
ZH_0980,T41,A29
ZH_0986,T42,A39
ZH_0998,T16,A26
