document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0001,土地流转和社会化服务对农业全要素生产率的影响实证分析,文章基于2010—2021年中国30个省份面板数据，采用SBM模型和空间计量模型实证探究了规模经营视角下土地流转和农业社会化服务对农业全要素生产率的影响、空间溢出效应及其交互效应。研究发现：(1)2010—2021年，全国层面和省级层面农业全要素生产率均呈现增长态势。(2)土地流转和农业社会化服务均能显著促进农业全要素生产率提升，且两者交互项系数显著为正，在效率提升过程中是“相得益彰”的共赢关系。(3)土地流转和农业社会化服务均具有显著正向空间溢出效应，能够促进邻近地区农业全要素生产率提升。据此，提出要推动农业社会化服务体系和土地流转体系协同联动发展，充分发挥好农业规模经营的正向空间溢出效应，共同促进农业生产提质增效。,"['土地流转', '农业社会化服务', '农业全要素生产率', '空间溢出效应']",T42,T47,2.0,0.73577186849381,摘要:面板数据；摘要:计量模型,0.1725381870088302,0.1126562035272142,0.731111111111111,T42,A42,A12,15.0,0.7439088585517702,标题:农业；关键词:农业；摘要:农业；标题:土地流转；关键词:土地流转；摘要:土地流转,0.3121514687159576,0.1707775610840732,0.98,A42,False,False,False,medium,medium,high
ZH_0004,中国省域共同富裕水平测度、时空分异与障碍因素,测度中国共同富裕发展水平并分析其时空分异特征与障碍因素，能够为扎实推动共同富裕提供量化支撑。文章从富裕程度、共享程度、可持续性3个维度构建了包含24个指标的中国共同富裕综合评价指标体系，采用纵横向拉开档次法测度2013—2021年中国共同富裕水平。同时，基于Dagum基尼系数及其分解方法、核密度估计以及莫兰指数对中国共同富裕时空分异特征进行分析。最后运用障碍度模型，诊断影响中国共同富裕水平提高的障碍因子。结果表明：(1)样本期内中国共同富裕水平稳步提高，总体呈现“东部>东北>中部>西部”及“南强北弱”的空间发展格局；以各维度中位数为划分标准，可将各省份划分为“全面领先型”“持续发展型”“可持续引领型”“富裕引领型”“共享引领型”及“相对滞后型”6种发展模式。(2)中国共同富裕水平整体差异不断缩小，不同地理分区共同富裕水平的动态演进特征差异较大。(3)全国、南方地区、北方地区存在“高—高”“低—低”的聚集式发展格局，且中国共同富裕水平具有较高的空间稳定性。(4)影响共同富裕水平提高的主要障碍因子涉及创新产出、法治环境、收入水平、分配结构、创新环境、生态保护及城市基础设施建设等诸多方面。,"['共同富裕', '时空分异', '障碍因素', '高质量发展']",T44,T41,2.0,0.0287443770323707,摘要:障碍度模型；摘要:Dagum基尼,0.3640029935902658,0.2053169788026477,0.6227299258467189,T44,A41,A46,7.5,0.6638304583171182,标题:共同富裕；关键词:共同富裕；摘要:共同富裕,0.3718901204061252,0.284503273693702,0.98,A41,False,False,False,medium,medium,high
ZH_0016,接入换流站的新能源交流汇集系统低电压穿越方法,当接入换流站的新能源交流汇集系统发生故障时，线路双端电力电子装置交互影响可能导致设备低电压穿越失败。为解决上述问题，针对线路两端为不同类型电力电子装置的汇集系统，在考虑不同线路控制环节耦合及其输出功率叠加特性的基础上，对系统故障特性进行了分析，剖析了换流站的过流机理，进而提出基于分段降压控制的低电压穿越方法；通过对换流站故障后的输出电流进行分区划分，利用区间阈值构成判据，实现降压幅度的动态自适应选取，同时整定了以交流电流为特征的低穿边界条件，最终解决了低穿期间换流站过流闭锁的问题。在PSCAD中搭建了接入换流站的新能源交流汇集系统的精细化模型，仿真验证了所提控制方法的有效性。,"['分段降压', 'VF控制', '汇集系统', '低电压穿越']",T49,T14,7.5,0.682697120747981,标题:低电压穿越；关键词:低电压穿越；摘要:低电压穿越,0.3644338704513526,0.4192651481998639,0.98,T49,A32,A38,4.5,-0.3357054032593853,标题:换流站；摘要:换流站,0.1197235261417922,-0.340752880424182,0.6699999999999999,A38,False,False,False,medium,high,medium
ZH_0017,计及拓扑相似性的含分散式风电配网双层优化重构方法,高比例风电接入背景下，配网优化重构是缓解弃风、失负荷问题的一种有效手段。多对象优化重构作为非凸非线性优化问题，同时含大量离散变量求解难度较大，为此建立了基于拓扑相似性的含高比例分散式风电配网双层交互式优化重构模型。模型设计了支路复介数相似度评价指标，来衡量所有辐射状拓扑的相似度，再将相似网络进行聚类，形成了重构层的树状解空间。重构层以分段/联络开关状态为决策变量优化网络拓扑结构，并传输至调度层；调度层以分散式风电出力、储能运行状态、无功补偿装置功率及需求响应量为决策变量，进行配电网有功无功协同优化调度，以确定各对象最优运行状态并反馈到重构层，两层不断交互迭代得出最终策略。为适应该模型提出了一种剪枝和声搜索算法，其中和声库从树枝切换到枝内的过程，提高了重构层网络重构的求解效率。采用IEEE 33节点系统仿真测试，验证了所提方法在提升系统电压安全性、降低系统运行成本方面的优越性。,"['配电网', '分散式风电', '拓扑相似性', '双层优化重构', '二阶锥规划']",T37,T35,5.0,0.767286468378084,摘要:优化调度；关键词:二阶锥规划；摘要:网络重构,0.4587795390635762,0.3377604884148852,0.8977777777777778,T37,A31,A34,4.0,-0.3101975925868121,关键词:配电网；摘要:配电网,0.1607133871546819,0.1843029100941992,0.7022222222222223,A31,False,False,False,medium,high,medium
ZH_0021,突发散热故障时的光伏MPPT变换器控制方法研究,"作为光伏发电系统的重要组成，MPPT变换器能够实现光伏电池最大功率点跟踪(maximumpowerpoint tracing, MPPT)控制。但在环境通风不畅和冷却装置失效等突发性散热故障情况下，变换器极易发生过热停机保护，导致光伏电池无法输出功率，严重影响光伏发电的可靠性与经济性。为此，以一个300 W级MPPT变换器为对象，对其功率器件温升特性进行了试验分析。随后，结合传统MPPT算法和主动热管理策略，提出了一种突发散热故障时的光伏MPPT变换器控制方法。通过对器件驱动信号占空比的动态限制和开关频率的分级调节，所提方法能够主动调整器件工作损耗，进而充分挖掘变换器输出功率。相关实验表明，所提方法可最大程度保留变换器散热故障时的光伏出力，并减少散热故障修复前的光伏发电经济损失。根据实验结果，构建了所提方法性能评价指标，并分析了方法性能的影响因素。","['光伏发电', '最大功率点跟踪控制', '功率器件', '结温估计', '主动热管理']",T49,T35,4.0,0.7086728287441534,关键词:主动热管理；摘要:主动热管理,0.0630097426742179,-0.0809083661131898,0.7822222222222223,T35,A38,A34,4.5,-0.2746461019988604,标题:MPPT；摘要:MPPT,0.2698120195796992,0.095384985722425,0.73,A38,False,False,False,medium,high,medium
ZH_0032,混合级联型HVDC系统的后续换相失败预判方法,"白鹤滩—江苏±800k V特高压直流输电工程于2022年7月1日在中国投运，在世界上首次创造性地研发应用了特高压混合级联直流输电新技术方案。基于此系统背景对逆变侧电网换相换流器(line commutated converter,LCC)进行具有一定时间裕度的后续换相失败预判。分析了LCC控制器对电气量的控制作用和模块化多电平换流器(modular multilevel converters,MMC)对LCC的电压支撑作用，明确了混合级联直流输电系统逆变侧LCC发生后续换相失败的机理。推导了逆变侧LCC在首次换相失败后恢复过程末期关断角与故障后线路传输功率最小值的关系，定义了阈值功率的概念。然后建立了关断角与阈值功率的定量关系，提出一种故障后直流传输功率最小值与功率阈值相比较的后续换相失败预判方法。最后在PSCAD/EMTDC中搭建了相应的仿真模型，验证了理论分析和预测方法的准确性。","['混合级联直流输电系统', '后续换相失败预判', '交流故障', '阈值功率']",T14,T06,2.0,0.7027244778233772,摘要:PSCAD；摘要:仿真模型,-0.0291807536765551,-0.123396586975877,0.6711111111111111,T06,A32,A07,14.0,0.771247467795524,摘要:高压直流；标题:HVDC；摘要:换流器；标题:换相失败；关键词:换相失败；摘要:换相失败；摘要:特高压,0.4896522119701436,0.3660533413965997,0.98,A32,False,False,False,medium,medium,high
ZH_0035,光伏接入直流受端电网下直流换相失败影响机理初探,随着“双碳”目标推进，大量新能源发电系统将接入高压直流输电系统受端电网，但鲜有文献涉及该研究场景，新能源接入是否会对直流运行带来不利影响存疑。为此，该文分析了电网发生交流故障后光伏、直流的输出特性及交互影响规律，发现直流发生换相失败后将向光伏输送50、100、150Hz正负序电流分量，导致光伏输出功率及并网点电压的波动，并通过受端电网反馈传递导致直流系统直流电流及超前触发角指令的波动，进而带来直流后续换相失败风险，最后结合PSCAD/EMTDC仿真软件搭建了受端电网含光伏接入的高压直流输电系统模型，并通过仿真验证了上述结论的合理性及有效性。,"['高压直流输电系统', '换相失败', '新能源', '电压波动', '正负序分离']",T14,T25,1.0,0.7059003280032641,摘要:PSCAD,-0.0388587861668193,-0.1007119428338282,0.6155555555555555,T25,A32,A34,11.5,0.4304259957956536,关键词:高压直流；摘要:高压直流；标题:换相失败；关键词:换相失败；摘要:换相失败,0.6082454811975603,0.3912415848757868,0.98,A32,False,False,False,medium,medium,high
ZH_0045,基于故障穿越演化特性的SVG电磁暂态模型测辨方法,"建立准确的静止无功发生器(static var generators, SVG)白盒电磁暂态仿真模型是分析电网电压稳定特性的前提。然而，由于SVG的控制器结构和参数保密，其建模大都基于典型控制结构和参数，模型的暂态输出特性与实际差异较大。针对上述问题，提出了基于SVG厂家封装黑盒模型故障穿越(fault ride-through, FRT)演化特性的电磁暂态模型测辨方法。首先，分析了厂家黑盒模型的拓扑特征，通过多工况故障穿越响应测试，厘清了其故障穿越演化特性。然后，通过分析不同控制环节暂态切换过程对SVG故障穿越响应特性的影响和作用途径，提出了基于SVG故障穿越响应演化形态的控制器结构辨识方法。通过分析SVG不同控制环节参数对其故障穿越响应特性的分阶段作用原理，提出了基于故障穿越响应幅值的控制器参数分步辨识方法，形成了SVG的白盒化电磁暂态模型测辨方法体系。最后，将建立的不同型号白盒仿真模型与对应厂家黑盒模型进行了故障穿越响应特性对比分析，发现其误差远小于现行标准的允许误差，证明了提出方法的有效性和通用性。","['厂家黑盒模型', '故障穿越响应特性', '电磁暂态模型', '控制器结构辨识', '控制器参数辨识']",T14,T07,2.0,0.7049406329868019,摘要:电磁暂态仿真；摘要:仿真模型,0.0089426688299468,-0.1075669072371291,0.6711111111111111,T07,A38,A15,4.5,0.7462012080486962,标题:SVG；摘要:SVG,0.2594607215968118,0.1871514860621154,0.8699999999999999,A38,False,False,False,medium,medium,high
ZH_0046,V2G直流充电桩检测方案与检测系统设计,针对现有V2G直流充电桩现场检测装置功能不全面、检测方案单一、控制及管理困难等问题，依据国家相关标准，设计了V2G直流充电桩检测方案和检测系统。首先，根据需要设计了3种检测方案：现场检测方案、实验室检测方案以及动力电池检测方案。不同的检测方案对应V2G充电桩不同检测环境和检测项目。然后，依据3种检测方案给出了检测系统的硬件设计和软件设计，能够实现对V2G直流充电桩充放电功能、直流输出性能、并网性能及保护功能等进行检测。同时还可以对电动汽车动力电池状态进行评估，从而判断电池潜在风险。最后，通过对V2G直流充电桩和车辆动力电池进行不同项目检测。测试结果表明所设计的检测方案和检测系统能够准确实现对V2G直流充电桩的功能和性能检测。,"['V2G直流充电桩', '检测系统', '现场检测', '实验室检测', '通信连接', '数据采集']",T17,T32,3.5,-0.0049196167799259,标题:检测系统设计,0.2640650711283656,-0.0351401198566135,0.6144444444444445,T32,A35,A14,16.0,0.7696357946838532,摘要:电动汽车；标题:充电桩；关键词:充电桩；摘要:充电桩；标题:V2G；关键词:V2G；摘要:V2G,0.5764994047330325,0.3545413905989523,0.98,A35,False,False,False,medium,medium,high
ZH_0048,长江经济带城市生态财富与产业结构变迁的空间关联及互动效应,文章以长江经济带110个地级及以上城市为研究样本，采用双变量空间自相关模型和面板向量自回归模型，实证分析了2012—2021年其生态财富与产业结构变迁的空间关联特征及互动效应。结果表明：(1)10年间长江经济带城市生态财富波动增长，年均增长率为2.12%，且呈现出“西高东低”的空间分布格局；城市产业结构高级化、合理化水平整体呈上升趋势，均表现出“下游地区>中游地区>上游地区”的分布特征。(2)长江经济带城市生态财富与产业结构变迁存在显著的空间依赖与关联特征，且上游地区空间集聚特征在减弱，中下游地区持续增强。(3)长江经济带城市生态财富与产业结构高级化互为Granger因果关系，产业结构合理化是城市生态财富的单向Granger原因；城市生态财富与产业结构高级化之间及生态财富对产业结构合理化的脉冲响应曲线均呈现倒“U”形特征，且长期而言表现为正向波动响应。方差分解结果显示，城市生态财富主要受自身影响，但产业结构变迁对其仍具有一定程度的影响能力。,"['城市生态财富', '产业结构变迁', '空间关联', '互动效应', '绿色低碳发展', '长江经济带']",T48,T42,1.0,0.7205280110119405,摘要:空间自相关,0.1518432481877241,0.0037715072281472,0.6755555555555555,T48,A43,A16,7.5,0.7368283092038097,标题:产业结构；关键词:产业结构；摘要:产业结构,0.2070041376301253,0.1202022085986412,0.98,A43,False,False,False,medium,medium,high
