document_id,en_name,en_abstract,keywords,technical_route_text,application_scenario_text,technical_cluster_id,technical_secondary_id,technical_confidence,technical_decision_margin,technical_needs_review,technical_top_rule_id,technical_top_rule_score,technical_label_zh,application_cluster_id,application_secondary_id,application_confidence,application_decision_margin,application_needs_review,application_top_rule_id,application_top_rule_score,application_label_zh
DOC_0001,Titanium Silicide: A Promising Candidate of Recombination Layer for Perovskite/Tunnel Oxide Passivated Contact Silicon Two-Terminal Tandem Solar Cells,This study proposes a titanium silicide (TiSi(2)) recombination layer for perovskite/tunnel oxide passivated contact (TOPCon) 2-T tandem solar cells as an alternative to conventional transparent conductive oxide (TCO)-based recombination layers. TiSi(2) was formed while TiO(2) was made by oxidizing a Ti film deposited on the p^(+)-Si layer. The reaction formation mechanism was proposed based on the diffusion theory supported by experimental results. The optical and electrical properties of the...,"['oxidation', 'perovskite/TOPCon tandem solar cells', 'recombination layer', 'TCO-free', 'titanium silicide']",[TITLE] Titanium Silicide: A Promising Candidate of Recombination Layer for Perovskite/Tunnel Oxide Passivated Contact Silicon Two-Terminal Tandem Solar Cells [KEYWORDS] oxidation; perovskite/TOPCon tandem solar cells; recombination layer; TCO-free; titanium silicide [METHOD] This study proposes a titanium silicide (TiSi(2)) recombination layer for perovskite/tunnel oxide passivated contact (TOPCon) 2-T tandem solar cells as an alternative to conventional transparent conductive oxide (TCO)-based recombination layers. The reaction formation mechanism was proposed based on the diffusion theory supported by experimental results.,[TITLE] Titanium Silicide: A Promising Candidate of Recombination Layer for Perovskite/Tunnel Oxide Passivated Contact Silicon Two-Terminal Tandem Solar Cells [TITLE] Titanium Silicide: A Promising Candidate of Recombination Layer for Perovskite/Tunnel Oxide Passivated Contact Silicon Two-Terminal Tandem Solar Cells [KEYWORDS] oxidation; perovskite/TOPCon tandem solar cells; recombination layer; TCO-free; titanium silicide [OBJECTIVE_CONTEXT] This study proposes a titanium silicide (TiSi(2)) recombination layer for perovskite/tunnel oxide passivated contact (TOPCon) 2-T tandem solar cells as an alternative to conventional transparent conductive oxide (TCO)-based recombination layers. TiSi(2) was formed while TiO(2) was made by oxidizing a Ti film deposited on the p^(+)-Si layer. The reaction formation mechanism was proposed based on the diffusion theory supported by experimental results.,T12,T13,0.9423,0.3,False,T01,0.0,材料合成与制备工艺,A14,A15,0.99,0.6878,False,A14,12.95,能源、电池与太阳能系统
DOC_0002,"Effects of a multi-strain Bacillus probiotic on the intestinal microbiome, haemato-immunology, and growth performance of Nile tilapia","The study evaluated dietary supplementation with a feed additive composed of multi-strain Bacillus for Nile tilapia Oreochromis niloticus . In vitro and in vivo assays employing culture-based microbiological methods and metagenomics were performed. Additionally, the study assessed the haemato-immunology, intestinal microbiome, and growth performance of the animals. For this, 30 juvenile Nile tilapia were used in the in vitro assay and 180 (60 + 120) in the in vivo assays. In the in vitro assay, we found evidence of adhesion of the probiotic bacteria to the intestinal mucus of fish, corroborated in the 15-day in vivo assay, in which the count of B. licheniformis was significantly higher in fish fed with probiotic when compared to fish of the control group. Furthermore, in the 50-day in vivo trial, a metagenomic analysis provided evidence for the modulation of the intestine microbiome of Nile tilapia by dietary supplementation of the probiotic. In addition, there was an increase in species richness, higher abundance of potentially probiotic autochthonous species and a lower abundance of Aeromonas sp. when the animals were fed the supplemented diet. Finally, no significant differences were observed in growth performance and haemato-immunological analyses, suggesting no harm to fish health when the product was supplemented for 15 and 50 days. The in vitro results indicate that the multi-strain probiotics were able to adhere to the intestinal mucus of Nile tilapia. Additionally, a modulation of the intestinal microbiome was evidenced in the in vivo assay.","['α-diversity', 'Aeromonas', 'Haematology', 'Immunology', 'Metagenomics', 'Microbiology']","[TITLE] Effects of a multi-strain Bacillus probiotic on the intestinal microbiome, haemato-immunology, and growth performance of Nile tilapia [KEYWORDS] α-diversity; Aeromonas; Haematology; Immunology; Metagenomics; Microbiology [METHOD] The study evaluated dietary supplementation with a feed additive composed of multi-strain Bacillus for Nile tilapia Oreochromis niloticus . In vitro and in vivo assays employing culture-based microbiological methods and metagenomics were performed. Additionally, the study assessed the haemato-immunology, intestinal microbiome, and growth performance of the animals. For this, 30 juvenile Nile tilapia were used in the in vitro assay and 180 (60 + 120) in the in vivo assays. In the in vitro assay, we found evidence of adhesion of the probiotic bacteria to the intestinal mucus of fish, corroborated in the 15-day in vivo assay, in which the count of B. Furthermore, in the 50-day in vivo trial, a metagenomic analysis provided evidence for the modulation of the intestine microbiome of Nile tilapia by dietary supplementation of the probiotic. Additionally, a modulation of the intestinal microbiome was evidenced in the in vivo assay.","[TITLE] Effects of a multi-strain Bacillus probiotic on the intestinal microbiome, haemato-immunology, and growth performance of Nile tilapia [TITLE] Effects of a multi-strain Bacillus probiotic on the intestinal microbiome, haemato-immunology, and growth performance of Nile tilapia [KEYWORDS] α-diversity; Aeromonas; Haematology; Immunology; Metagenomics; Microbiology [OBJECTIVE_CONTEXT] The study evaluated dietary supplementation with a feed additive composed of multi-strain Bacillus for Nile tilapia Oreochromis niloticus . In vitro and in vivo assays employing culture-based microbiological methods and metagenomics were performed. Additionally, the study assessed the haemato-immunology, intestinal microbiome, and growth performance of the animals. when the animals were fed the supplemented diet. Finally, no significant differences were observed in growth performance and haemato-immunological analyses, suggesting no harm to fish health when the product was supplemented for 15 and 50 days.",T23,T33,0.99,0.6164,False,T23,13.69,微生物培养与宏基因组分析,A11,A06,0.7562,0.1015,False,A11,13.065,兽医、水产与动物健康
DOC_0003,The wildcat (Felis s. silvestris) in the Mediterranean forest: sighting through photo-trapping and non-invasive hair collection for genetic purposes,"The European wildcat ( Felis silvestris silvestris ) is a mesocarnivore species widely distributed in Europe, from Eastern Europe to Portugal and from Scotland to Italy. Recent biogeographical studies of wildcat populations have endeavoured to assess in detail the various issues that pose a threat to this species, including hybridization with domestic cats. The use of non-invasive sampling methods supported by photo-trapping and some attractants has made it possible to gather genetic material for the detection of native wildcats in locally threatened populations, some of which live in the Iberian Peninsula. Testimonies of naturalists, hunters and farm workers led our team to choose specific areas in two large territories of Mediterranean forests where the presence of wildcats has been historically attested: the Almonte River basin and the Sierra de San Pedro Mountains. Between 2014 and 2018, non-invasive hair sampling was performed using valerian (V aleriana officinalis ) as an attractant and supported by photo-trapping to guarantee the collection of genuine biological material (hair samples). The hair samples were genetically assessed by sequencing the nuclear gene IRBP (interphotoreceptor retinoid-binding protein) and the mtDNA gene ND4 (NADH dehydrogenase subunit 4). Despite the low density of wildcats, this combined protocol proved to be an applicable tool for detecting the presence of elusive wildcats and other mesocarnivore species in this remote region of southern Europe. In addition, non-invasive hair trapping contributes to the collection of genetic material from current wildcat populations. This procedure could enhance future management actions focused on collecting quality individualized biological material.","['Genetic validation', 'Non-invasive hair collection', 'Photo-trapping', 'Wildcat (Felis silvestris silvestris)']","[TITLE] The wildcat (Felis s. silvestris) in the Mediterranean forest: sighting through photo-trapping and non-invasive hair collection for genetic purposes [KEYWORDS] Genetic validation; Non-invasive hair collection; Photo-trapping; Wildcat (Felis silvestris silvestris) [METHOD] Recent biogeographical studies of wildcat populations have endeavoured to assess in detail the various issues that pose a threat to this species, including hybridization with domestic cats. The use of non-invasive sampling methods supported by photo-trapping and some attractants has made it possible to gather genetic material for the detection of native wildcats in locally threatened populations, some of which live in the Iberian Peninsula. Between 2014 and 2018, non-invasive hair sampling was performed using valerian (V aleriana officinalis ) as an attractant and supported by photo-trapping to guarantee the collection of genuine biological material (hair samples). The hair samples were genetically assessed by sequencing the nuclear gene IRBP (interphotoreceptor retinoid-binding protein) and the mtDNA gene ND4 (NADH dehydrogenase subunit 4).","[TITLE] The wildcat (Felis s. silvestris) in the Mediterranean forest: sighting through photo-trapping and non-invasive hair collection for genetic purposes [TITLE] The wildcat (Felis s. silvestris) in the Mediterranean forest: sighting through photo-trapping and non-invasive hair collection for genetic purposes [KEYWORDS] Genetic validation; Non-invasive hair collection; Photo-trapping; Wildcat (Felis silvestris silvestris) [OBJECTIVE_CONTEXT] The European wildcat ( Felis silvestris silvestris ) is a mesocarnivore species widely distributed in Europe, from Eastern Europe to Portugal and from Scotland to Italy. Recent biogeographical studies of wildcat populations have endeavoured to assess in detail the various issues that pose a threat to this species, including hybridization with domestic cats. The use of non-invasive sampling methods supported by photo-trapping and some attractants has made it possible to gather genetic material for the detection of native wildcats in locally threatened populations, some of which live in the Iberian Peninsula. Between 2014 and 2018, non-invasive hair sampling was performed using valerian (V aleriana officinalis ) as an attractant and supported by photo-trapping to guarantee the collection of genuine biological material (hair samples). In addition, non-invasive hair trapping contributes to the collection of genetic material from current wildcat populations. This procedure could enhance future management actions focused on collecting quality individualized biological material.",T29,T11,0.9632,0.2481,False,T29,14.8,野外采样与生态调查,A11,A12,0.99,0.7749,False,A11,17.69,兽医、水产与动物健康
DOC_0004,Autonomous control of an ultrasound probe for intra-operative ultrasonography using vision-based shape sensing of pneumatically attachable flexible rails,"In robotic-assisted minimally invasive surgery, surgeons often use intra-operative ultrasound to visualise endophytic structures and localise resection margins. This must be performed by a highly skilled surgeon. Automating this subtask may reduce the cognitive load for the surgeon and improve patient outcomes.","['Intra-operative ultrasound', 'Medical robotics', 'Robotic-assisted surgery', 'Shape sensing']","[TITLE] Autonomous control of an ultrasound probe for intra-operative ultrasonography using vision-based shape sensing of pneumatically attachable flexible rails [KEYWORDS] Intra-operative ultrasound; Medical robotics; Robotic-assisted surgery; Shape sensing [METHOD] In robotic-assisted minimally invasive surgery, surgeons often use intra-operative ultrasound to visualise endophytic structures and localise resection margins.","[TITLE] Autonomous control of an ultrasound probe for intra-operative ultrasonography using vision-based shape sensing of pneumatically attachable flexible rails [TITLE] Autonomous control of an ultrasound probe for intra-operative ultrasonography using vision-based shape sensing of pneumatically attachable flexible rails [KEYWORDS] Intra-operative ultrasound; Medical robotics; Robotic-assisted surgery; Shape sensing [OBJECTIVE_CONTEXT] In robotic-assisted minimally invasive surgery, surgeons often use intra-operative ultrasound to visualise endophytic structures and localise resection margins. This must be performed by a highly skilled surgeon. Automating this subtask may reduce the cognitive load for the surgeon and improve patient outcomes.",T26,T11,0.99,0.3797,False,T26,8.325,控制规划与机器人自动化,A20,A16,0.99,0.7957,False,A20,12.95,机器人、自动控制与自主系统
DOC_0005,"Organic Mixed Ionic-Electronic Conductors Based on Tunable and Functional Poly(3,4-ethylenedioxythiophene) Copolymers","Organic mixed ionic-electronic conductors (OMIECs) are being explored in applications such as bioelectronics, biosensors, energy conversion and storage, and optoelectronics. OMIECs are largely composed of conjugated polymers that couple ionic and electronic transport in their structure as well as synthetic flexibility. Despite extensive research, previous studies have mainly focused on either enhancing ion conduction or enabling synthetic modification. This limited the number of OMIECs that...","['copolymer', 'mixed ionic-electronic conductor', 'OMIEC', 'PEDOT', 'self-acid-doping']","[TITLE] Organic Mixed Ionic-Electronic Conductors Based on Tunable and Functional Poly(3,4-ethylenedioxythiophene) Copolymers [KEYWORDS] copolymer; mixed ionic-electronic conductor; OMIEC; PEDOT; self-acid-doping [METHOD] Organic mixed ionic-electronic conductors (OMIECs) are being explored in applications such as bioelectronics, biosensors, energy conversion and storage, and optoelectronics. Despite extensive research, previous studies have mainly focused on either enhancing ion conduction or enabling synthetic modification.","[TITLE] Organic Mixed Ionic-Electronic Conductors Based on Tunable and Functional Poly(3,4-ethylenedioxythiophene) Copolymers [TITLE] Organic Mixed Ionic-Electronic Conductors Based on Tunable and Functional Poly(3,4-ethylenedioxythiophene) Copolymers [KEYWORDS] copolymer; mixed ionic-electronic conductor; OMIEC; PEDOT; self-acid-doping [OBJECTIVE_CONTEXT] Organic mixed ionic-electronic conductors (OMIECs) are being explored in applications such as bioelectronics, biosensors, energy conversion and storage, and optoelectronics. OMIECs are largely composed of conjugated polymers that couple ionic and electronic transport in their structure as well as synthetic flexibility. Despite extensive research, previous studies have mainly focused on either enhancing ion conduction or enabling synthetic modification.",T12,T18,0.7011,0.1499,False,T01,6.37,材料合成与制备工艺,A15,A14,0.99,0.5424,False,A15,13.6,结构材料、聚合物与复合材料
DOC_0006,Compact coaxial-waveguide four-way power divider with low insertion loss and high output isolation,"This paper presents a compact coaxial-waveguide four-way power divider with high efficiency, low insertion loss, and high isolation. To improve power capacity and facilitate fabrication, the power divider adopts a square coaxial-waveguide structure. Furthermore, to enhance isolation performance, a star-shape isolation microstrip circuit is utilized, connected with four resistors. The measurements demonstrate that the return loss of the sum port is greater than 20 dB from 7.8 GHz to 10 GHz, while the return loss of the output ports is greater than 20 dB from 7.25 to 9.18 GHz. The insertion loss is approximately 0.3 ± 0.1 dB and the isolation is greater than 23 dB from 7 GHz to 10 GHz. The combining efficiency is over 92%. Additionally, the power divider has a compact size of approximately 0.8λ×0.8λ×0.19λ for the central frequency of 8.5 GHz.","['Coaxial-waveguide', 'high isolation', 'high-efficiency', 'low insertion loss', 'power combiner']","[TITLE] Compact coaxial-waveguide four-way power divider with low insertion loss and high output isolation [KEYWORDS] Coaxial-waveguide; high isolation; high-efficiency; low insertion loss; power combiner [METHOD] This paper presents a compact coaxial-waveguide four-way power divider with high efficiency, low insertion loss, and high isolation. To improve power capacity and facilitate fabrication, the power divider adopts a square coaxial-waveguide structure. The measurements demonstrate that the return loss of the sum port is greater than 20 dB from 7.8 GHz to 10 GHz, while the return loss of the output ports is greater than 20 dB from 7.25 to 9.18 GHz.","[TITLE] Compact coaxial-waveguide four-way power divider with low insertion loss and high output isolation [TITLE] Compact coaxial-waveguide four-way power divider with low insertion loss and high output isolation [KEYWORDS] Coaxial-waveguide; high isolation; high-efficiency; low insertion loss; power combiner [OBJECTIVE_CONTEXT] This paper presents a compact coaxial-waveguide four-way power divider with high efficiency, low insertion loss, and high isolation. To improve power capacity and facilitate fabrication, the power divider adopts a square coaxial-waveguide structure. Furthermore, to enhance isolation performance, a star-shape isolation microstrip circuit is utilized, connected with four resistors.",T17,T12,0.99,0.8524,False,T17,17.56,工程器件、天线与原型设计,A17,A16,0.99,0.8972,False,A17,15.95,光学光子、天线与射频
DOC_0007,Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review,"Cushing's disease (CD) is a diagnostic and therapeutic challenge, especially in pediatric patients. CD, primarily caused by adrenocorticotropic hormone-secreting pituitary adenomas, manifests typically with growth retardation and weight gain. There are no published guidelines for pediatric patients. We report three pediatric patients diagnosed with CD in a Portuguese tertiary hospital. All patients presented with hypercortisolism features. All patients underwent transsphenoidal pituitary surgery (TSS) as a first-choice treatment; however, it was unsuccessful in one patient and the other patients experienced recurrence. Patients were submitted to different approaches so basal serum cortisol levels could be achieved. Two of three patients achieved remission. TSS remains the first-line treatment yet challenging due to microadenomas and technical complexities. Medical therapy with agents like metyrapone or ketoconazole, pituitary radiotherapy, or bilateral adrenalectomy are, usually, second-line interventions, unless there is a contraindication to surgery. Our findings support the finding that a shorter hypothalamic–pituitary–adrenal axis recovery time increases the risk of recurrence of CD. Our cases illustrate the intricate management and variable outcomes of pediatric CD, underscoring the importance of multidisciplinary care and continuous surveillance.","['adenoma', 'hypercortisolism', ""pediatric Cushing's disease""]",[TITLE] Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review [KEYWORDS] adenoma; hypercortisolism; pediatric Cushing's disease [METHOD] All patients presented with hypercortisolism features. Patients were submitted to different approaches so basal serum cortisol levels could be achieved.,"[TITLE] Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review [TITLE] Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review [KEYWORDS] adenoma; hypercortisolism; pediatric Cushing's disease [OBJECTIVE_CONTEXT] Cushing's disease (CD) is a diagnostic and therapeutic challenge, especially in pediatric patients. CD, primarily caused by adrenocorticotropic hormone-secreting pituitary adenomas, manifests typically with growth retardation and weight gain. There are no published guidelines for pediatric patients. We report three pediatric patients diagnosed with CD in a Portuguese tertiary hospital. All patients presented with hypercortisolism features. All patients underwent transsphenoidal pituitary surgery (TSS) as a first-choice treatment; however, it was unsuccessful in one patient and the other patients experienced recurrence. Patients were submitted to different approaches so basal serum cortisol levels could be achieved. Two of three patients achieved remission.",T07,T06,0.99,0.7113,False,T07,10.8,病例报告与病例系列,A02,A08,0.99,0.5794,False,A02,11.47,内分泌代谢与糖尿病
DOC_0008,Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study,"For patients with hepatoblastoma (HB), current staging system is not accurate in predicting survival outcomes. The aim of this study was to develop two accurate survival prediction models to guide clinical decision making. A retrospective analysis of 424 HB patients was performed from 2004 to 2015 using the Surveillance, Epidemiology and End Results (SEER) database. Univariate and multivariate Cox regression analysis was used to screen for variables. The identified variables were used to build survival prediction model. The performance of the nomogram models was assessed based on the concordance index (C-index), calibration plot, and receiver operating characteristic (ROC) curve. The Cox regression analysis identified six variables affecting overall survival (OS) in HB patients, including race, tumor size, lymph node involvement, distant metastases, surgery and chemotherapy. And the Cox regression analysis identified five variables including race, lymph node involvement, distant metastases, surgery, and chemotherapy that affect cancer-specific survival (CCS) in HB patients. In the training cohort, the C-index of the nomogram in predicting the OS was 0.791 [95% confidence intervals (95% CI) 0.717–0.865], CSS was 0.805(95% CI 0.728–0.882). In the validation cohort, the C-index of the nomogram in predicting the OS was 0.712 (95% CI 0.511–0.913), the CSS was 0.751 (95% CI 0.566–0.936). In the training cohort, the area under the receiver operator characteristics curve (AUC) values of the nomogram in prediction of the 1-, 3-, and 5-year OS were 0.842 (95% CI 0.739–0.944), 0.759 (95% CI 0.670–0.849), and 0.770 (95% CI 0.686–0.852), respectively. In the validation cohort, the AUC values for prediction of the 1-, 3-, and 5-year OS were 0.920 (95% CI 0.806–1.034), 0.863 (95% CI 0.750–0.976), and 0.844 (95% CI 0.721–0.967), respectively. Two nomogram models were developed and validated in this study which provided accurate prediction of the OS and CSS in HB patients. The constructed models can be used for predicting survival outcomes and guide treatment for HB patients.","['Cancer-specific survival', 'Hepatoblastoma', 'Nomogram', 'Overall survival', 'Prognosis', 'SEER']","[TITLE] Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study [KEYWORDS] Cancer-specific survival; Hepatoblastoma; Nomogram; Overall survival; Prognosis; SEER [METHOD] The aim of this study was to develop two accurate survival prediction models to guide clinical decision making. A retrospective analysis of 424 HB patients was performed from 2004 to 2015 using the Surveillance, Epidemiology and End Results (SEER) database. Univariate and multivariate Cox regression analysis was used to screen for variables. The identified variables were used to build survival prediction model. The performance of the nomogram models was assessed based on the concordance index (C-index), calibration plot, and receiver operating characteristic (ROC) curve. The Cox regression analysis identified six variables affecting overall survival (OS) in HB patients, including race, tumor size, lymph node involvement, distant metastases, surgery and chemotherapy. And the Cox regression analysis identified five variables including race, lymph node involvement, distant metastases, surgery, and chemotherapy that affect cancer-specific survival (CCS) in HB patients. In the training cohort, the C-index of the nomogram in predicting the OS was 0.791 [95% confidence intervals (95% CI) 0.717–0.865], CSS was 0.805(95% CI 0.728–0.882). In the validation cohort, the C-index of the nomogram in predicting the OS was 0.712 (95% CI 0.511–0.913), the CSS was 0.751 (95% CI 0.566–0.936).","[TITLE] Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study [TITLE] Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study [KEYWORDS] Cancer-specific survival; Hepatoblastoma; Nomogram; Overall survival; Prognosis; SEER [OBJECTIVE_CONTEXT] For patients with hepatoblastoma (HB), current staging system is not accurate in predicting survival outcomes. The aim of this study was to develop two accurate survival prediction models to guide clinical decision making. A retrospective analysis of 424 HB patients was performed from 2004 to 2015 using the Surveillance, Epidemiology and End Results (SEER) database. The Cox regression analysis identified six variables affecting overall survival (OS) in HB patients, including race, tumor size, lymph node involvement, distant metastases, surgery and chemotherapy. And the Cox regression analysis identified five variables including race, lymph node involvement, distant metastases, surgery, and chemotherapy that affect cancer-specific survival (CCS) in HB patients. Two nomogram models were developed and validated in this study which provided accurate prediction of the OS and CSS in HB patients. The constructed models can be used for predicting survival outcomes and guide treatment for HB patients.",T03,T02,0.99,0.5301,False,T03,10.64,临床观察性队列与回顾性分析,A03,A25,0.99,0.7912,False,A03,7.2,肿瘤与癌症诊疗
DOC_0009,Determinants/Predictors of QT Abnormalities in Patients on Psychotropic Medications in a Nigerian Tertiary Hospital,"Cardiovascular disease is a major global burden and a leading cause of premature death among patients with severe mental illness. Over time, research and clinical practice have paid increased attention to the impact of psychiatric medications on cardiac repolarization. In a resource-limited setting, it is common for psychotropic medications to be initiated and maintained in an outpatient setting without baseline or follow up ECG. This study evaluated the determinants and predictors of QT abnormalities among patient taking psychotropic drugs. We conducted a cross-sectional study in a population of 150 psychiatric patients on psychotropics and 75 controls. We studied the effects of various psychotropic drugs on QT dispersion (QTd) and corrected QT interval (QTc) as well as correlation with the types and dosages of psychotropic drugs used. All the subjects had detailed clinical examination and resting electrocardiogram (ECG) at 25 mm/sec done. QTc was determined using Bazett formula and QTd was determined by subtracting shortest from longest QT in 12-lead ECG. The prevalence of prolonged QTc and QTd as well as the mean QTc and QTd were significantly higher in patients than the control group. The mean QTc was significantly higher in patient on typical antipsychotics compared to those on atypical antipsychotics. Age, heart rate and antipsychotic dose in chlorpromazine equivalent were predictors of QTc with the heart rate being the most powerful predictor among them. Psychotropic drugs use is associated with QTc and QTd prolongation with age, heart rate and antipsychotic dose as predictors of QTc.","['Psychotropic drugs', 'QTc', 'QTd', 'Sudden cardiac death', 'Ventricular repolarization']","[TITLE] Determinants/Predictors of QT Abnormalities in Patients on Psychotropic Medications in a Nigerian Tertiary Hospital [KEYWORDS] Psychotropic drugs; QTc; QTd; Sudden cardiac death; Ventricular repolarization [METHOD] This study evaluated the determinants and predictors of QT abnormalities among patient taking psychotropic drugs. We conducted a cross-sectional study in a population of 150 psychiatric patients on psychotropics and 75 controls. We studied the effects of various psychotropic drugs on QT dispersion (QTd) and corrected QT interval (QTc) as well as correlation with the types and dosages of psychotropic drugs used. Psychotropic drugs use is associated with QTc and QTd prolongation with age, heart rate and antipsychotic dose as predictors of QTc.","[TITLE] Determinants/Predictors of QT Abnormalities in Patients on Psychotropic Medications in a Nigerian Tertiary Hospital [TITLE] Determinants/Predictors of QT Abnormalities in Patients on Psychotropic Medications in a Nigerian Tertiary Hospital [KEYWORDS] Psychotropic drugs; QTc; QTd; Sudden cardiac death; Ventricular repolarization [OBJECTIVE_CONTEXT] Cardiovascular disease is a major global burden and a leading cause of premature death among patients with severe mental illness. Over time, research and clinical practice have paid increased attention to the impact of psychiatric medications on cardiac repolarization. In a resource-limited setting, it is common for psychotropic medications to be initiated and maintained in an outpatient setting without baseline or follow up ECG. This study evaluated the determinants and predictors of QT abnormalities among patient taking psychotropic drugs. We conducted a cross-sectional study in a population of 150 psychiatric patients on psychotropics and 75 controls. The prevalence of prolonged QTc and QTd as well as the mean QTc and QTd were significantly higher in patients than the control group. The mean QTc was significantly higher in patient on typical antipsychotics compared to those on atypical antipsychotics.",T03,T11,0.99,0.7403,False,T03,6.0,临床观察性队列与回顾性分析,A01,A04,0.99,0.7311,False,A01,7.2,心血管与循环系统疾病
DOC_0010,Hepatic dysmetabolism in polycystic ovarian syndrome: impact of paraoxonase-1 modulation by butyrate,"The complications of endocrine-metabolic disorders among women of reproductive age, inclusively polycystic ovarian syndrome (PCOS), are cascade of events leading to cardiovascular diseases, as well as non-alcoholic fatty liver disease (NAFLD) which is the leading cause of liver cirrhosis and hepatic carcinoma that often necessitates organ transplant. Paraoxonase-1 (PON-1) has been shown to be protective against metabolic assaults. However, its role in hepatic glucolipid regulation, particularly in PCOS model, has not been documented. Short-chain fatty acid (SCFAs) are essential modulators of metabolic health. The present study hypothesizes that butyrate would ameliorate hepatic dysmetabolism by upregulation of PON-1. Female Wistar rats (8 weeks old) were allotted into groups: control (CTL), butyrate (BUT), letrozole (LET), and LET + BUT. Letrozole (1 mg/kg) was administered for 21 days to induce PCOS. Thereafter, butyrate (200 mg/kg) was administered for 6 weeks. The animals were sacrificed and biochemical assays; histological and immunohistochemical evaluations were performed with appropriate methods. Rats with PCOS showed cystic ovaries, hyperandrogenism, reduced insulin sensitivity, hyperleptinemia, hypoadiponectinemia, dyslipidemia, and hepatic lipid peroxidation/lipotoxicity, as well as increased hepatic caspase-6, proinflammatory markers (NF-kB, SDF-1), decreased antioxidant defense (NrF2), and HIF-1α, with corresponding expression of inflammasome as evaluated immunohistochemically. These alterations were accompanied by a suppressed level of PON-1. However, the administration of butyrate attenuated these hepatic metabolic and cellular perturbations. Results from this study demonstrate that butyrate protects against hepatic glucolipid dysregulation and its comorbid oxidative stress and inflammation in the PCOS model by the modulation of PON-1.","['Butyrate', 'Hepatic dysfunction', 'Inflammation', 'NrF2', 'PON-1']","[TITLE] Hepatic dysmetabolism in polycystic ovarian syndrome: impact of paraoxonase-1 modulation by butyrate [KEYWORDS] Butyrate; Hepatic dysfunction; Inflammation; NrF2; PON-1 [METHOD] However, its role in hepatic glucolipid regulation, particularly in PCOS model, has not been documented. The present study hypothesizes that butyrate would ameliorate hepatic dysmetabolism by upregulation of PON-1. The animals were sacrificed and biochemical assays; histological and immunohistochemical evaluations were performed with appropriate methods. Rats with PCOS showed cystic ovaries, hyperandrogenism, reduced insulin sensitivity, hyperleptinemia, hypoadiponectinemia, dyslipidemia, and hepatic lipid peroxidation/lipotoxicity, as well as increased hepatic caspase-6, proinflammatory markers (NF-kB, SDF-1), decreased antioxidant defense (NrF2), and HIF-1α, with corresponding expression of inflammasome as evaluated immunohistochemically. Results from this study demonstrate that butyrate protects against hepatic glucolipid dysregulation and its comorbid oxidative stress and inflammation in the PCOS model by the modulation of PON-1.","[TITLE] Hepatic dysmetabolism in polycystic ovarian syndrome: impact of paraoxonase-1 modulation by butyrate [TITLE] Hepatic dysmetabolism in polycystic ovarian syndrome: impact of paraoxonase-1 modulation by butyrate [KEYWORDS] Butyrate; Hepatic dysfunction; Inflammation; NrF2; PON-1 [OBJECTIVE_CONTEXT] The complications of endocrine-metabolic disorders among women of reproductive age, inclusively polycystic ovarian syndrome (PCOS), are cascade of events leading to cardiovascular diseases, as well as non-alcoholic fatty liver disease (NAFLD) which is the leading cause of liver cirrhosis and hepatic carcinoma that often necessitates organ transplant. Paraoxonase-1 (PON-1) has been shown to be protective against metabolic assaults. However, its role in hepatic glucolipid regulation, particularly in PCOS model, has not been documented. Short-chain fatty acid (SCFAs) are essential modulators of metabolic health. The animals were sacrificed and biochemical assays; histological and immunohistochemical evaluations were performed with appropriate methods.",T22,T10,0.6271,0.0418,True,T22,7.1,动物模型与药理干预实验,A06,A02,0.99,0.7055,False,A06,11.1,消化肝胆与胃肠疾病
