document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0016,接入换流站的新能源交流汇集系统低电压穿越方法,当接入换流站的新能源交流汇集系统发生故障时，线路双端电力电子装置交互影响可能导致设备低电压穿越失败。为解决上述问题，针对线路两端为不同类型电力电子装置的汇集系统，在考虑不同线路控制环节耦合及其输出功率叠加特性的基础上，对系统故障特性进行了分析，剖析了换流站的过流机理，进而提出基于分段降压控制的低电压穿越方法；通过对换流站故障后的输出电流进行分区划分，利用区间阈值构成判据，实现降压幅度的动态自适应选取，同时整定了以交流电流为特征的低穿边界条件，最终解决了低穿期间换流站过流闭锁的问题。在PSCAD中搭建了接入换流站的新能源交流汇集系统的精细化模型，仿真验证了所提控制方法的有效性。,"['分段降压', 'VF控制', '汇集系统', '低电压穿越']",T49,T14,7.5,0.682697120747981,标题:低电压穿越；关键词:低电压穿越；摘要:低电压穿越,0.3644338704513526,0.4192651481998639,0.98,T49,A32,A38,4.5,-0.3357054032593853,标题:换流站；摘要:换流站,0.1197235261417922,-0.340752880424182,0.6699999999999999,A38,False,False,False,medium,high,medium
ZH_0017,计及拓扑相似性的含分散式风电配网双层优化重构方法,高比例风电接入背景下，配网优化重构是缓解弃风、失负荷问题的一种有效手段。多对象优化重构作为非凸非线性优化问题，同时含大量离散变量求解难度较大，为此建立了基于拓扑相似性的含高比例分散式风电配网双层交互式优化重构模型。模型设计了支路复介数相似度评价指标，来衡量所有辐射状拓扑的相似度，再将相似网络进行聚类，形成了重构层的树状解空间。重构层以分段/联络开关状态为决策变量优化网络拓扑结构，并传输至调度层；调度层以分散式风电出力、储能运行状态、无功补偿装置功率及需求响应量为决策变量，进行配电网有功无功协同优化调度，以确定各对象最优运行状态并反馈到重构层，两层不断交互迭代得出最终策略。为适应该模型提出了一种剪枝和声搜索算法，其中和声库从树枝切换到枝内的过程，提高了重构层网络重构的求解效率。采用IEEE 33节点系统仿真测试，验证了所提方法在提升系统电压安全性、降低系统运行成本方面的优越性。,"['配电网', '分散式风电', '拓扑相似性', '双层优化重构', '二阶锥规划']",T37,T35,5.0,0.767286468378084,摘要:优化调度；关键词:二阶锥规划；摘要:网络重构,0.4587795390635762,0.3377604884148852,0.8977777777777778,T37,A31,A34,4.0,-0.3101975925868121,关键词:配电网；摘要:配电网,0.1607133871546819,0.1843029100941992,0.7022222222222223,A31,False,False,False,medium,high,medium
ZH_0021,突发散热故障时的光伏MPPT变换器控制方法研究,"作为光伏发电系统的重要组成，MPPT变换器能够实现光伏电池最大功率点跟踪(maximumpowerpoint tracing, MPPT)控制。但在环境通风不畅和冷却装置失效等突发性散热故障情况下，变换器极易发生过热停机保护，导致光伏电池无法输出功率，严重影响光伏发电的可靠性与经济性。为此，以一个300 W级MPPT变换器为对象，对其功率器件温升特性进行了试验分析。随后，结合传统MPPT算法和主动热管理策略，提出了一种突发散热故障时的光伏MPPT变换器控制方法。通过对器件驱动信号占空比的动态限制和开关频率的分级调节，所提方法能够主动调整器件工作损耗，进而充分挖掘变换器输出功率。相关实验表明，所提方法可最大程度保留变换器散热故障时的光伏出力，并减少散热故障修复前的光伏发电经济损失。根据实验结果，构建了所提方法性能评价指标，并分析了方法性能的影响因素。","['光伏发电', '最大功率点跟踪控制', '功率器件', '结温估计', '主动热管理']",T49,T35,4.0,0.7086728287441534,关键词:主动热管理；摘要:主动热管理,0.0630097426742179,-0.0809083661131898,0.7822222222222223,T35,A38,A34,4.5,-0.2746461019988604,标题:MPPT；摘要:MPPT,0.2698120195796992,0.095384985722425,0.73,A38,False,False,False,medium,high,medium
ZH_0053,大规模车网互动需求响应策略及潜力评估综述,大量电动汽车的接入为电网带来了新的挑战与机遇，电动汽车作为具有负荷与储能双重属性的特殊灵活性资源，车网互动过程中需要实施调度方案及需求响应策略对其进行引导。针对现有问题，全面综述了相关研究。首先，为综述电动汽车有序充放电模型，基于用户出行习惯探讨了电动汽车聚类方法，并得出了考虑特征变量聚类可有效提高聚类模型精确度的结论。其次，梳理了现有的需求响应策略，通过权衡协调各类需求响应策略，能有效激发用户调度潜力。然后，基于策略研究，从数据与机理两类评估角度总结了如何提高需求响应评估精度。最后对未来研究做出展望：未来电网侧可聚焦峰谷时段细化研究、聚合商侧可针对不同用户聚类建立更适宜的调度策略、未来仍需探寻多市场主体有效商业模式等。,"['电动汽车', '车网互动', '用户出行习惯', '需求响应策略', '潜力评估']",T06,T12,4.5,0.5910497749090745,标题:综述；摘要:综述,0.2275006220870633,0.2217841064933896,0.8699999999999999,T06,A35,A36,5.0,-0.2072015926897121,摘要:储能；关键词:电动汽车；摘要:电动汽车,0.5883036167931454,0.2342743379306274,0.7577777777777779,A35,False,False,False,medium,high,medium
ZH_0060,适应新型电力系统发展的多元灵活资源优化调度建模和分析,我国新能源快速发展，新能源大发时消纳难和新能源少发时电力保障供应难的矛盾突出，对新型电力系统灵活性提出更高要求。在传统的以水火电为主的优化调度模型基础上，基于我国能源结构与灵活性资源特性，构建了计及灵活性改造后煤电机组调节特性、特高压直流输电能力与煤电开机方式耦合关系、电制氢新型资源调节特性的多元灵活资源多目标优化调度模型。以某省级电网实际数据验证了模型的有效性与可行性，验证结果表明，建立的模型有利于发掘利用源网荷储输等各类资源调节能力，提升系统整体灵活调节能力，支撑新能源消纳和电力保障供应，助力我国新型电力系统的构建。,"['新型电力系统', '多元灵活资源', '优化调度', '灵活调节能力']",T37,T40,8.5,0.7527592467607749,标题:优化调度；关键词:优化调度；摘要:优化调度；摘要:多目标优化,0.3851496618532584,0.2339946197198205,0.98,T37,A32,A13,2.0,0.7261965270274827,摘要:高压直流；摘要:特高压,0.1413424156092625,0.0442609073391625,0.731111111111111,A32,False,False,False,medium,high,medium
ZH_0063,基于虚拟电池模型的外逼近闵可夫斯基热泵负荷调节可行域聚合方法,"温控负荷(temperaturecontrolloads,TCLs)灵活性可行域的有效量化和聚合是其响应电价与调控信号的前提。由于TCLs能量在时间上耦合，且设备调节特性和物理参数各异，具有较高异质性，现有聚合方法面临计算复杂度高、适配性差等问题。该文基于极端场景法建立了通用虚拟电池(virtual battery,VB)模型，即通过一套标准电池参数描述资源灵活性，其通用形式使得聚合可行域可以按一定规则线性求和获得。在此基础上，提出一种基于虚拟电池模型的外逼近闵可夫斯基聚合方法，并从数学上不失一般性地对不同异质性设备聚合的有效性进行了证明与推广。最后，提出了考虑系统灵活性供需平衡的负荷聚合商日前优化调度模型。算例结果表明，所提温控负荷可行域聚合方法在提高了外逼近精度的同时保证了较高的计算效率。相比传统模型，所提聚合模型有着更好的优化性能。","['温控负荷', '需求侧灵活性', '虚拟电池模型', '外逼近闵可夫斯基求和', '可行域聚合']",T37,T12,1.0,-0.6180987150698559,摘要:优化调度,0.0793355074919724,0.0421520352153145,0.4755555555555555,T08,A27,A15,2.0,0.7089318187397737,摘要:物理；摘要:数学,0.0464268899584742,-0.0790584375730444,0.6711111111111111,A15,False,False,False,needs_review,needs_review,medium
ZH_0070,考虑配电网灵活性不足风险的分布鲁棒低碳优化调度,双碳目标下高占比可再生能源接入配电网，其不确定性导致配电网灵活性需求剧增。为提高配电网灵活运行能力，减少碳排放，提出考虑配电网灵活性不足风险的分布鲁棒低碳优化调度方法。首先，考虑智能储能软开关作为网络灵活性资源，以减少线路阻塞并提高节点灵活性资源网络互济水平。引入功率传输分布因子表征灵活性供需在线路上的传输情况，提出资源灵活性裕度指标和线路容量裕度指标，评估配电网灵活性。其次，基于条件风险价值理论，推导出当资源-线路裕度不足时给配电网造成的灵活性不足风险。然后，考虑风光出力的不确定性与相关性，运用Frank-Copula函数生成风光出力场景，采用改进的KL散度构造概率分布模糊集。以综合运行成本最低为目标，建立分布鲁棒优化调度模型，采用列与约束生成算法求解。最后，通过算例验证表明，智能储能软开关的加入减少了线路阻塞的情况，所提方法能够减少配电网碳排放和灵活性不足风险。,"['智能储能软开关', '灵活性资源', '条件风险价值', 'Frank-Copula函数', '分布鲁棒优化']",T39,T37,15.5,0.5593553310484695,关键词:鲁棒优化；摘要:鲁棒优化；标题:分布鲁棒；关键词:分布鲁棒；摘要:分布鲁棒；关键词:条件风险价值；摘要:条件风险价值,0.598519411838525,0.3456256365213261,0.98,T39,A31,A35,4.5,0.0849228549907693,标题:配电网；摘要:配电网,0.04778619139989,0.0351632499340665,0.7634151404898463,A34,False,False,False,medium,high,medium
ZH_0071,基于牛顿-蚁群算法与选择性谐波调制的电网功率放大器宽频控制策略,选择性谐波消除/生成脉宽调制技术能与多电平电力电子变换器相结合，实现低开关频率下的高频电网谐波功率复现。然而，为生成特定次谐波，需要求解非线性开关角方程，其求解精度受开关角初值选取约束，且实时性随着谐波次数的增加而降低。因此提出一种基于牛顿-蚁群算法的实时选择性谐波生成脉宽调制技术。通过建立开关角方程，利用蚁群算法求解初值，进一步结合牛顿算法获得不同开关频率及计算步长对应的最多谐波数目，并分析得到调制比-开关角对应关系。通过查找表获得初始开关角，并前馈至电压控制环路，实现对特定次谐波的无静差跟踪。最后以级联H桥多电平变换器为例，搭建仿真与实验平台，验证了理论分析的正确性与所提策略的可行性。,"['选择性电网谐波功率放大器', '级联多电平逆变器', '牛顿-蚁群算法', '实时选择性谐波生成脉宽调制']",T49,T17,3.5,0.5196947075745063,标题:控制策略,0.1003194793999092,0.0386356663485148,0.7544444444444445,T06,A38,A16,3.0,0.7302361545011968,关键词:逆变器,0.1774870959899127,0.0731153892942629,0.7866666666666666,A38,False,False,False,medium,high,medium
ZH_0084,基于电-碳点对点交易的虚拟电厂联盟与配电网协同低碳运行策略研究,"虚拟电厂(virtualpowerplant,VPP)可以通过先进的控制技术对海量分散的分布式能源进行有效聚合，为实现低碳发展提供了有效途径。为促进VPP在碳减排方面的积极作用，提出了一种VPP联盟和配电网多主体协同优化框架。首先，基于碳排放流理论制定了电-碳综合定价方法，激励VPP低碳运行。其次，考虑多个VPP之间采用合作联盟的形式进行共享交易，构建一种基于纳什议价理论的多VPP电碳点对点(peer-to-peer,P2P)交易机制模型，实现资源共享的同时兼顾个体利益和联盟效益。在此基础上，建立一种基于电-碳综合价格引导VPP间电碳P2P交易的VPP联盟-配电网协同优化双层模型。上层模型是多VPP之间电碳P2P最优交易问题，采用自适应步长交替方向乘子法实现多VPP间的分布式求解。下层模型则是配电网的最优经济调度问题。最后，通过算例验证了所提模型和方法的有效性。","['虚拟电厂', '碳排放流', '电-碳综合价格', '点对点交易', '纳什议价理论', '双层优化']",T12,T13,1.0,0.715499502204304,摘要:聚合,0.0235184693263415,-0.0321464128263994,0.6155555555555555,T13,A31,A33,4.5,-0.2764803218718382,标题:配电网；摘要:配电网,0.2623708805378147,0.0822834152011549,0.73,A31,False,False,False,medium,medium,medium
ZH_0086,计及多重交易耦合的省间交易通道可用输电能力优化方法,省间电力交易模型的简化使得虚拟交易流和实际电力流不一致，在区域电网内存在安全运行风险。对此，提出一种考虑多重省间交易耦合及潮流阻塞的区域电网省间交易通道可用输电能力优化方法，在保证电网安全运行的前提下，最大化交易可行域空间，以发挥区域电网资源配置优势。首先，以虚拟交易网络和实际物理网络关联关系为基础，构建了省间电力交易的网络约束模型。其次，采用平面外拓方法搜索网络约束的可行域边界，从而将可用输电能力优化问题归结为可行域覆盖问题。然后，引入有向测度的概念定量刻画可行域的大小，并设计了以智能算法为外层框架、经典线性规划为内层主体的双层混合求解算法。最后，在实际场景中验证了所提方法的适用性和时效性。,"['省间电力市场', '可用输电能力', '网络阻塞', '可行域', '测度论']",T38,T37,0.0,0.000345118075523,,0.1540514229668258,0.0024651291108788,0.4803796298830753,T38,A36,A27,3.0,0.5220714027803922,关键词:电力市场,0.3672236779050663,0.3005100198599437,0.7866666666666666,A36,False,False,False,needs_review,needs_review,medium
