document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0006,新药研发发展态势分析,新药研发是医药创新发展的关键环节，是新一轮生命科技革命和生物经济变革的核心领域，对引领科技创新、带动经济发展、提升人民健康福祉具有战略意义。当前，前沿技术不断革新、学科跨域融合、数字深度赋能驱动新药研发领域创新日趋活跃，国内外创新性小分子药物、抗体药物、免疫细胞治疗、基因治疗与核酸药物等密集获批上市，为未满足的临床需求提供更多选择。文章深入分析新药研发领域发展趋势、全球新药批准情况，以及我国新药研发发展现状与态势，提出发展启示与建议，以期为新药研发领域发展提供参考。,"['新药', '抗体药物', '细胞治疗', '启示', '建议']",T45,T09,3.5,0.7305884566444985,标题:发展态势,0.2476757610422523,0.0756318331749887,0.8144444444444445,T45,A40,A29,1.0,-0.6688599295714908,摘要:科技创新,0.152084546220775,-0.3204280683677913,0.4755555555555555,A29,False,False,False,needs_review,high,needs_review
ZH_0015,基于分层有向图与动态时空相关性的小区域光伏超短期预测方法,"小区域光伏发电功率准确预测，已成为高渗透多台区系统精准调控运行的技术瓶颈。目前光伏发电功率的预测方法缺乏对台区小区域内光伏集群效应的考虑，忽略了输入变量的内在因果关系以及动态相关性。针对于上述问题，提出一种基于分层有向图以及动态图卷积循环网络(dynamic graph convolutional recurrent network,DGCRN)的小区域光伏预测方法。首先，考虑出力数据与数值天气预报(numerical weather prediction,NWP)单向关系，生成具有因果联系的分层有向图。其次，依据节点属性在每个时间步生成动态图，与预先定义的静态图有机结合，以捕捉节点之间的动态时空相关性。最后，将具有动态时空相关性的图结构用于模型训练。以某个小区域台区29个光伏节点加以预测建模，实验结果表明，DGCRN模型具备捕获多参量间的因果规律和提取光伏功率的短期动态特征的能力，其在小区域多节点的光伏发电功率预测性能优越。","['分层有向图', '动态相关性', '图卷积网络', '区域台区光伏预测']",T35,T11,8.0,0.6689269772630562,标题:超短期预测；标题:短期预测；摘要:功率预测,0.436183270116704,0.2780498375932584,0.98,T35,A31,A34,4.0,-0.4032084284822624,关键词:台区；摘要:台区,0.0139678250516411,-0.1573711278144799,0.6422222222222222,A34,False,False,False,needs_review,high,needs_review
ZH_0020,考虑声-振模态结合的抽水蓄能机组轴承故障诊断,为解决抽水蓄能机组轴承磨损故障难以监测和识别的问题，提出一种结合声振数据的双模态神经网络机组轴承诊断模型。首先分析了抽水蓄能机组声振特性，融合相似软阈值对奇异值分解去噪方法进行改进，有效消除非接触式传感器固有噪声干扰。其次提出逆巴克频谱变换方法，并结合巴克频谱变换和格拉姆角和场变换等特征工程技术，提取机组轴承的声纹和振动特征图。通过融合相对位置编码的自注意力机制和深度可分离卷积，建立特征图传递网络。同时运用多头自注意力机制和双向长短期记忆网络搭建了时序数据传递网络，并以平行网格架构构建了机组轴承故障诊断模型。实验对比分析表明，所提方法具有较高的故障识别准确率，为抽水蓄能电站机组轴承监测问题提供了有效的解决途径。,"['抽水蓄能机组', '声-振模态', '奇异值分解', '特征工程', '故障诊断']",T36,T27,7.5,0.3840184887529986,标题:故障诊断；关键词:故障诊断；摘要:故障诊断,0.4162592507879377,0.3429892053785618,0.98,T36,A35,A16,7.5,0.6449829119277211,标题:抽水蓄能；关键词:抽水蓄能；摘要:抽水蓄能,0.304428367148154,0.1498779423408648,0.94,A09,False,False,False,high,high,high
ZH_0025,黄河上游地区市域数字经济与绿色发展耦合协调度及提升路径,“数字中国”与“美丽中国”建设背景下，解析数字经济与绿色发展的耦合协调关系是推进区域高质量发展的重要议题。文章以黄河上游17个地级市为研究区，基于熵权法、耦合协调度模型与障碍度模型，剖析2010—2019年数字经济与绿色发展耦合协调关系时空演变特征及障碍因子，进而提炼不同类型区数字经济与绿色发展耦合协调发展的提升路径。结果表明：(1)研究期内耦合协调度呈“V”字形态势，形成北部优于中、南部的空间格局，且多中心趋势明显。(2)影响数字经济与绿色发展2个子系统耦合协调发展的突出问题集中于产业基础设施建设、技术与人才的投入以及对人民生活和环境的影响。(3)研究区耦合协调发展类型区可划分为高数字化—高绿色化区（H-H型）、高数字化—低绿色化区（H-L型）、低数字化—高绿色化区（L-H型）、低数字化—低绿色化区（L-L型）4类。(4)H-H型应以城市群或中心城市为发展核心，H-L型应以主导产业转型升级为目标导向，L-H型应以健全数字经济产业基础为发展手段，L-L型应以吸引外部投资与承接产业转移为发展关键。,"['黄河上游地区', '数字经济', '绿色发展', '耦合协调度', '城市群与中心城市', '基础设施', '人才']",T44,T41,8.5,0.7153890511610803,标题:耦合协调度；关键词:耦合协调度；摘要:耦合协调度；摘要:障碍度模型,0.5918387699070222,0.5721066679572964,0.98,T44,A40,A44,7.5,0.0217525481338428,标题:数字经济；关键词:数字经济；摘要:数字经济,0.332649877639712,0.1553753438131634,0.8839278029472273,A40,False,False,False,high,high,high
ZH_0057,基于多元暂态特征故障度的配电网单相接地选线方法,针对配电网发生单相接地故障时电流较弱、故障条件复杂、现有的故障检测技术性能不可靠的问题，提出一种利用基频移频的多元暂态特征故障度配电网单相接地选线方法。为了保留暂态特征的全景性，去除暂态零序电流中的基频分量，采用希尔伯特变换对暂态零序电流解析信号进行计算。之后，引入位移因子去除基频，保留所有的瞬态特征，并计算了3种典型瞬态特征指标。最后，采用Copula计算瞬态特征随机变量的联合分布密度函数并计算各线路的故障度，选择故障程度最大的馈线作为故障馈线。建立不同故障条件下的径向配电网样本模型、电弧故障模型以及风机和光伏模型的IEEE 34节点测试系统，验证了所提方法的有效性。,"['故障选线', '基频移频', 'Copula函数', '概率密度', '多元暂态特征故障度']",T36,T11,4.0,0.7409424110190443,摘要:故障检测；关键词:故障选线,0.2710761975463649,0.1495886501360313,0.8422222222222222,T36,A31,A34,5.5,0.5965117149696779,标题:配电网；摘要:配电网；摘要:馈线,0.052591730999889,0.0530057562769207,0.8655555555555555,A07,False,False,False,high,high,high
ZH_0066,基于行动者网络的生态旅游地多元主体冲突的演变及形成机制——以湖北省神农架为例,文章基于行动者网络理论构建了生态旅游地多元主体冲突分析的理论框架，以湖北省神农架为案例地，运用质性分析方法解析了多元主体冲突的演变及形成机制。结果表明：(1)生态旅游地冲突是行动者网络构建过程中人类和非人类行动者利益失衡而引发的异议，具有动态变化性；(2)冲突随着行动者的增加逐渐趋于复杂化，呈现萌芽、显化和升级的渐进式发展趋势；(3)资本分化和利益受损是冲突形成的内在根源和直接原因，制度缺位或失灵是冲突形成的充分条件，权力失衡、社会分层和旅游失序则是中介条件。,"['生态旅游', '旅游地冲突', '行动者网络理论', '冲突演变', '形成机制', '多元主体']",T46,T29,8.5,0.7581888120127773,摘要:理论框架；标题:形成机制；关键词:形成机制；摘要:形成机制,0.4186187722268676,0.2727772286626948,0.98,T46,A45,A27,7.5,0.7100942441216063,标题:旅游；关键词:旅游；摘要:旅游,0.0218278907277029,-0.070755399131384,0.94,A27,False,False,False,high,high,high
ZH_0069,省域共同富裕水平测算及其时空演进,共同富裕是社会主义的本质要求，是中国式现代化的重要特征。文章根据共同富裕内涵、推动方向和路径，以2012—2020年中国31个省域为研究对象，构建了省域共同富裕水平的评价指标体系，并利用熵值法测算了中国31个省域的共同富裕进程。研究发现：2012—2020年中国共同富裕呈阶段性发展，全国共同富裕进程趋势积极向好。具体而言，从空间演进来看，共同富裕水平低的省域数量随时间推移明显减少，共同富裕水平中等的省域数量增长最快，共同富裕水平高的省域数量增长明显；从演进方向来看，共同富裕水平中等的省域发展方向由东南向西北方向发展，共同富裕水平高的省域首先以东部沿海省域向南拓展，2020年逐步向西北方向延伸；从地区差距来看，全国、中部地区、西部地区共同富裕离散程度存在扩大趋势，东部地区呈显著缩小的状态，除西部地区两极分化现象加剧外，其他区域极化现象均明显缓解；从长期演进趋势来看，随着时间推移，中国各省域均会转向高水平共同富裕。,"['共同富裕', '地区差距', '高质量发展', '中等收入群体', '农民农村', '评价指标体系', '演进趋势']",T41,T44,4.0,0.7190308964401131,关键词:指标体系；摘要:指标体系,0.1391372881813075,-0.0069221682849064,0.7822222222222223,T44,A41,A42,7.5,0.5024560478020843,标题:共同富裕；关键词:共同富裕；摘要:共同富裕,0.4569001389201154,0.5032574843006019,0.98,A41,False,False,False,high,high,high
ZH_0095,前景导向的主动配电网智能储能软开关规划方法,"分布式可再生能源大量并网成为必然趋势，合理的设备规划可以提升配电系统运行灵活性，保证可再生能源的有效消纳。智能储能软开关(soft open points integrated with energy storage system,ESOP)具有时空双尺度运行灵活性，有利于分布式能源并网。因此，考虑规划决策者不完全理性特点，提出一种配电网ESOP规划方法。首先，建立了含ESOP的配电网运行模型；然后，提取出多种面向高渗透率可再生能源并网下的ESOP规划经济性指标；最后，基于前景理论描述不完全理性特征，构建了配电网功率损失减少、购电成本减少、弃风弃光惩罚减少及投资成本属性的前景值模型，以年度综合前景值最大为目标构建ESOP的规划模型。通过线性化凸松弛等手段将原规划模型转化为混合整数二阶锥规划模型。改进的IEEE33节点系统与实际配电网算例结果表明，ESOP可以通过时序特性和柔性互联特性提升配电网消纳能力和运行经济性；同时，决策者对于各属性的重视程度和期望值会对规划结果产生影响。","['智能储能软开关', '前景理论', '优化配置', '高渗透率']",T37,T13,5.0,0.5859190502376492,摘要:混合整数；摘要:二阶锥规划；关键词:优化配置,0.346968198198195,0.0708503588403519,0.8977777777777778,T37,A31,A35,5.5,-0.1740697821142671,标题:配电网；摘要:配电网；摘要:配电系统,0.1623330969017356,0.1280729848980916,0.7255555555555555,A34,False,False,False,medium,high,medium
ZH_0111,基于改进MMD-GAN的可再生能源随机场景生成,"针对可再生能源出力不确定性的准确表征问题，提出了一种基于改进的最大均值差异生成对抗网络(maximum mean discrepancy generative adversarial networks, MMD-GAN)的可再生能源随机场景生成方法。首先，阐述了GAN及MMD-GAN的基本原理，提出了MMD-GAN的改进方案，即在MMD-GAN的基础上改进鉴别器损失函数，并采用谱归一化和有界高斯核提升生成器和鉴别器的训练稳定性。然后，设计了基于改进MMD-GAN的可再生能源随机场景生成流程。最后，分析了所提方法在可再生能源随机场景生成中的效果，比较了改进MMD-GAN方法与MMD-GAN方法及典型GAN方法的性能差异。结果表明，改进MMD-GAN方法在生成分布和真实分布的Wasserstein距离上较对比方法降低超过50%，生成的场景精度得到有效提升。","['场景生成', '最大均值差异', '生成对抗网络', '可再生能源', '数据驱动']",T01,T13,8.5,0.6808345252418598,关键词:生成对抗网络；摘要:生成对抗网络；标题:GAN；摘要:GAN,0.3063075532434891,0.32528862567715,0.98,T01,A34,A30,7.5,0.7548957550107145,标题:可再生能源；关键词:可再生能源；摘要:可再生能源,0.3380256870476075,0.2492553929336756,0.98,A34,False,False,False,high,high,high
ZH_0118,基于灵活性资源调节和网络重构的P2P交易的阻塞管理方法,"高渗透率可再生能源接入配电网不仅促进了分布式电源以端对端(peer to peer, P2P)的形式参与市场交易，也对电网的安全稳定运行提出了挑战。针对连续双向拍卖(continuous double auction, CDA)机制下P2P交易所导致的阻塞问题，提出了一种考虑产消者经济性的P2P能量市场和阻塞服务市场相互协调的机制和阻塞管理方法。首先，为实现产消者的合理定责，提出了一种考虑交易时序的阻塞定责方式。然后，考虑到产消者参与P2P能量市场和阻塞服务市场的经济性，建立了考虑两级市场产消者经济性的灵活性资源阻塞服务价格模型。在上述基础上，建立了基于网络重构和灵活性资源调节的P2P交易阻塞管理模型。最后，通过具体算例分析了安全校核结果和阻塞管理结果，并验证了所提阻塞方法的可行性和优越性。","['P2P交易', 'CDA机制', '阻塞服务市场', '网络重构', '阻塞管理']",T37,T11,7.5,0.6413228980415832,标题:网络重构；关键词:网络重构；摘要:网络重构,0.2051359878719968,0.1237349860113082,0.98,T37,A31,A09,2.0,0.3712819919288196,摘要:配电网；摘要:分布式电源,0.2191921294417919,0.0805856566344256,0.731111111111111,A31,False,False,False,medium,high,medium
