document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0002,江苏省宅基地退出影响因素及其分区治理,文章基于2018—2022年江苏省6754户的农户数据，采用空间自相关模型分析农户宅基地退出意愿的空间特征，采用Logistic和门槛模型剖析风险承载力对农户宅基地退出意愿的影响，在划定宅基地退出分区的同时提出因地制宜的治理方案。结果表明：(1)主观规范、行为态度和知觉行为控制对农户意愿有正向作用。(2)风险承载力对农户意愿存在双门槛效应。(3)结合农户意愿空间相关性与风险承载力门槛效应，确定核心优选区、重点改革区、重点调节区、适度改革区和综合改革区。其中，淮安、宿迁为核心优选区，农户意愿空间集聚，风险承载力适中，应为改革示范区；连云港、扬州与泰州为重点改革区，应强化地区联动，促进农户意愿的空间扩散；南通作为重点调节区，应防范农户意愿的回流效应；南京、镇江、常州、无锡与苏州为适度改革区，应加强政策引导，提升农户意愿；徐州、盐城为综合改革区，需完善农村保障机制，加强风险承载力。,"['宅基地', '农户意愿', '风险承载力', '分区', '农村保障机制', '治理对策']",T48,T42,5.5,0.4762199690864176,摘要:空间自相关；摘要:GIS；标题:分区治理,0.2432203502176283,0.1288439350328532,0.9255555555555556,T48,A42,A24,15.5,0.7474125169390433,关键词:农村；摘要:农村；标题:宅基地；关键词:宅基地；摘要:宅基地；关键词:农户；摘要:农户,0.353441317393019,0.195803692421738,0.98,A42,False,False,False,high,high,high
ZH_0003,三大城市群数字技术专利创新网络演化比较研究,文章基于2010—2020年京津冀、长三角和珠三角三大城市群的数字技术专利数据，综合运用社会网络分析和面板负二项回归模型等方法，比较分析了三大城市群数字技术创新网络的时空演化和影响因素。研究发现：(1)三大城市群数字技术创新网络在主体和城市层面上均呈现网络规模不断扩大、网络结构趋于松散的共性特征，而在主体关联方面则呈现内向化特征，依赖组织间的“隶属关系”。(2)三大城市群数字技术创新网络具有区域分异性，主要体现在城市网络的合作尺度和主体合作模式等方面。其中，京津冀和长三角城市群以全国范围的合作为主，珠三角城市群以本地合作为主；主体合作模式方面，京津冀城市群的国有企业在塑造网络中发挥着重要作用，长三角城市群中民营企业的创新关联作用更强，而珠三角城市群则以本地民营企业合作为主，同时外部高校与本地企业的产学研合作在早期阶段也发挥了关键作用。(3)数字技术可以有效突破地理距离的限制，资本等传统生产要素是数字技术合作网络的重要推手。,"['数字技术专利', '创新网络', '多维邻近性', '空间尺度', '资本要素', '长三角', '珠三角', '京津冀']",T43,T44,12.5,0.7202818505956465,摘要:社会网络分析；标题:创新网络；关键词:创新网络；摘要:创新网络；摘要:合作网络；关键词:多维邻近,0.4791594054291497,0.4134417899689037,0.98,T43,A40,A39,12.0,-0.2013565024266219,摘要:技术创新；标题:专利创新；标题:创新网络；关键词:创新网络；摘要:创新网络,0.413443108207818,-0.0356633290213256,0.8,A39,False,False,False,high,high,high
ZH_0007,面向新型电力系统的输电网与分布式变速抽水蓄能联合规划,针对高比例新能源场景下分布式变速抽水蓄能的容量配置及其在电网中的位置接入问题，提出了输电网和分布式变速抽水蓄能的联合规划方案。首先，考虑了各类抽水蓄能的运行和库容约束、火电机组的出力和爬坡约束以及输电网的传输能力，以分布式新能源的经济消纳为优化目标，建立了分布式变速抽水蓄能和输电网间的联合规划模型。然后，通过凸松弛方法将该模型转化为混合整数线性规划模型，以两阶段优化方法求解得到了分布式变速抽水蓄能与输电网的联合规划方案。最后，采用两个标准测试系统对比验证了所提含分布式变速抽水蓄能的联合规划相较于定速抽水蓄能的规划方案，能更好地与其他灵活性资源相协调以消纳风光可再生能源，总体上可降低约20%的成本。,"['高比例新能源', '变速抽水蓄能', '输电网', '联合规划']",T37,T32,8.5,0.6820263370498536,标题:联合规划；关键词:联合规划；摘要:联合规划；摘要:混合整数,0.3935110626884613,0.3338015671628203,0.98,T37,A35,A32,7.5,0.0197274027135552,标题:抽水蓄能；关键词:抽水蓄能；摘要:抽水蓄能,0.237603380353691,0.1409100193825366,0.8217001429849108,A34,False,False,False,high,high,high
ZH_0009,基于非零和博弈的互联异构多微网系统电-热-碳优化调度策略,微电网规模随着新能源渗透比例的提高与日剧增，然而由于缺乏灵活的能量转移机制，针对单个微电网的低碳经济调度优化效果有限。有效利用多微网系统内部的结构差异，实现能源在空间与时间双重维度上的流动对促进新能源电力系统低碳经济发展具有重要意义。为此，该文在考虑多微网功能区差异的基础上，运用纳什谈判思想，制定了计及电、热、碳能源交易的多微网系统优化调度策略。首先，针对微网功能区差异性构建基于居民区、商业区与工业区的多微网系统运行框架；其次，根据不同功能区的负荷特性构建了计及电、热负荷可替代性的需求响应模型；最后，以纳什谈判思想为基础，结合交替方向乘子法与商业求解器达成多微网间电、热、碳互利共赢的交易策略。算例分析验证了所提方案能够在实现多微网隐私保护的前提下全面提高系统运行的低碳性与经济性。,"['多微网系统', '点对点能源交易', '碳配额交易', '需求响应', '交替方向乘子法']",T38,T37,4.5,0.0445238677827984,摘要:纳什谈判；标题:非零和博弈,0.4980890168146184,0.3180276270199891,0.7789762545610783,T38,A33,A36,8.5,-0.0023227882303318,摘要:微电网；标题:多微网；关键词:多微网；摘要:多微网,0.1004538144497132,-0.3191123529057313,0.8,A36,False,False,False,high,high,high
ZH_0010,面向构网逆变器的虚拟振荡器控制技术:统一设计框架与关键问题探讨,虚拟振荡器控制是近年来新兴的逆变器构网型控制方式，相较于下垂控制、虚拟同步发电机控制等现有构网型控制而言，其在动态响应速度与大扰动稳定性等方面具有优势。首先基于已有研究介绍了虚拟振荡器控制的基本原理及现有类型，接着针对虚拟振荡器设计目前缺乏普适性的问题提出了虚拟振荡器控制的统一设计框架及详细设计步骤，并以自行设计的两类虚拟振荡器为例，通过时域仿真验证了所提设计框架的可行性；最后从功率调度能力、抗扰动稳定运行能力以及实际应用能力3方面针对目前限制虚拟振荡器控制技术发展的关键问题进行了梳理与探讨，并给出了解决思路与未来的研究方向。,"['虚拟振荡器', '构网逆变器', '逆变器控制', '稳定性', '统一设计框架']",T49,T19,8.5,0.7607073366755545,摘要:下垂控制；标题:虚拟振荡器；关键词:虚拟振荡器；摘要:虚拟振荡器,0.3873344417496503,0.2907666905396754,0.98,T49,A38,A49,9.5,0.7826662414928146,标题:逆变器；关键词:逆变器；摘要:逆变器；摘要:构网型；摘要:下垂控制,0.551998056076393,0.4476160106629616,0.98,A38,False,False,False,high,high,high
ZH_0013,构网型下垂控制中虚拟阻抗的作用、改进及研究前景分析,随着新型电力系统建设进程的加速，新能源等电力电子化电源在系统中渗透率不断提高，电网强度随之减弱，系统安全性受到挑战。部分变流器亟需采用构网型控制，而下垂控制就是一种经典的构网型控制策略；作为对下垂控制策略的有效改进手段，虚拟阻抗技术受到广泛关注。在国内外研究人员共同推动下，虚拟阻抗技术目前已取得较为丰富的理论研究及实践成果，具有广阔的应用前景。围绕虚拟阻抗在构网型下垂控制中的主要定位及作用机理进行了分析，对虚拟阻抗的典型改进方法和发展现状进行了梳理总结，并结合目前的研究进展及趋势，对虚拟阻抗技术的研究前景、未来可能面临和需要解决的关键问题进行了分析、探讨和研判。,"['虚拟阻抗', '构网型', '下垂控制', '作用机理', '研究前景']",T49,T06,8.5,0.4023849981055103,摘要:控制策略；标题:下垂控制；关键词:下垂控制；摘要:下垂控制,0.4455613152613352,0.4540104906696114,0.98,T49,A38,A20,16.0,0.7776893732840224,标题:构网型；关键词:构网型；摘要:构网型；标题:下垂控制；关键词:下垂控制；摘要:下垂控制；摘要:变流器,0.5306591598598108,0.412066952028732,0.98,A38,False,False,False,high,high,high
ZH_0014,基于云模型的新型配电系统灵活性评估方法,"针对新型配电系统内灵活性资源接入规模逐渐扩大，过往配电网灵活性评估方法难以适应配电系统发展状况的问题，提出了基于云模型的新型配电系统灵活性评估方法。首先通过影响系统灵活性的数个指标构建了配电网灵活性评价体系；其次采用了主客观结合的层次分析法(analytic hierarchy process,AHP)-熵权法对构建的灵活性评价体系进行赋权；最后针对系统灵活性状态难以直观描述、现有灵活性评估方法难以完整表征系统灵活性状态的问题，提出了基于云模型的配电系统灵活性评估方法，并通过我国某地区配电系统运行实测数据进行了仿真验证。","['新型配电系统', '灵活性评价体系', '云模型', '静态特性', '供需平衡']",T41,T13,9.5,0.6812992731908322,摘要:层次分析法；摘要:熵权法；标题:云模型；关键词:云模型；摘要:云模型,0.2002924404346268,0.2649196205360195,0.98,T41,A31,A23,8.5,0.7190646895867481,摘要:配电网；标题:配电系统；关键词:配电系统；摘要:配电系统,0.1488067370138533,-0.0066807886660853,0.94,A23,False,False,False,high,high,high
ZH_0018,基于改进FCM和最小互信息算法的户变关系辨识方法,"随着低压分布式光伏的高比例接入，传统的户变关系辨识方法利用电压与功率特征进行判断，受光伏出力影响较大。针对分布式光伏大规模接入下低压配电网的电气特征，提出了一种基于数据驱动的低压配电网户变关系辨识方法。首先，基于改进模糊C均值(fuzzy C-means, FCM)聚类算法，利用电压相关性对用户进行初步聚类划分。其次，在初步聚类的基础上，利用最小互信息算法排除光伏出力的影响，建立配变与用户的连接关系识别模型并用回归分析的思想求解，实现对户变关系的精确辨识。最后，通过对某地实际数据进行算例分析，验证了基于改进FCM和最小互信息算法的户变关系辨识方法在大规模光伏接入场景下的有效性。实验表明，该方法相比传统的电压和功率特征判别方法具有更高的准确率。","['低压配电网', '户变关系辨识', '拓扑识别', '电压相关性', '互信息']",T34,T42,17.0,0.8015770181679112,摘要:聚类算法；摘要:模糊C均值；标题:FCM；摘要:FCM；关键词:拓扑识别；标题:关系辨识；关键词:关系辨识；摘要:关系辨识,0.6822764497573046,0.5826929869136511,0.98,T34,A31,A34,11.5,0.7060934860139244,关键词:配电网；摘要:配电网；标题:户变关系；关键词:户变关系；摘要:户变关系,0.3683345470061648,0.3478727261864169,0.98,A31,False,False,False,high,high,high
ZH_0019,基于参数自修正的配电网故障定位数字孪生技术研究,"配电网参数受天气条件和负载条件等因素影响会发生变化。由于传感装置安装有限、数据延时传输等因素，无法实时获得配电网准确参数，进而给传统故障定位方法的精度带来影响。针对以上问题，通过建立配电网数字孪生模型，基于配电网数字孪生模型的参数自修正技术，提出了一种定位模型随参数变化动态校正的配电网故障定位方法。同时，搭建了基于数字孪生服务器和实时数字仿真系统(real time digital system, RTDS)的数字孪生平台，实现了配电网实时的物理模型和数字孪生模型的同步运行。在算例仿真中，利用该数字孪生平台，验证了基于数字孪生技术的配电网故障定法方法。结果表明，该方法可在各类系统运行条件下实时修正配电网参数，显著提高配电网故障定位的速度和精度。","['数字孪生', '故障定位', '参数辨识', '最小二乘法', '正则化正交匹配追踪重构算法']",T36,T47,7.5,-0.0251364152132015,标题:故障定位；关键词:故障定位；摘要:故障定位,0.171777408079338,-0.179545822951439,0.8,T47,A31,A27,4.5,0.563894622117904,标题:配电网；摘要:配电网,0.0848316834450378,0.0278187294135998,0.8099999999999999,A37,False,False,False,high,high,high
ZH_0020,考虑声-振模态结合的抽水蓄能机组轴承故障诊断,为解决抽水蓄能机组轴承磨损故障难以监测和识别的问题，提出一种结合声振数据的双模态神经网络机组轴承诊断模型。首先分析了抽水蓄能机组声振特性，融合相似软阈值对奇异值分解去噪方法进行改进，有效消除非接触式传感器固有噪声干扰。其次提出逆巴克频谱变换方法，并结合巴克频谱变换和格拉姆角和场变换等特征工程技术，提取机组轴承的声纹和振动特征图。通过融合相对位置编码的自注意力机制和深度可分离卷积，建立特征图传递网络。同时运用多头自注意力机制和双向长短期记忆网络搭建了时序数据传递网络，并以平行网格架构构建了机组轴承故障诊断模型。实验对比分析表明，所提方法具有较高的故障识别准确率，为抽水蓄能电站机组轴承监测问题提供了有效的解决途径。,"['抽水蓄能机组', '声-振模态', '奇异值分解', '特征工程', '故障诊断']",T36,T27,7.5,0.3840184887529986,标题:故障诊断；关键词:故障诊断；摘要:故障诊断,0.4162592507879377,0.3429892053785618,0.98,T36,A35,A16,7.5,0.6449829119277211,标题:抽水蓄能；关键词:抽水蓄能；摘要:抽水蓄能,0.304428367148154,0.1498779423408648,0.94,A09,False,False,False,high,high,high
