document_id,en_name,en_abstract,keywords,technical_cluster_id,technical_label_zh,technical_confidence,technical_evidence,application_cluster_id,application_label_zh,application_confidence,application_evidence,evidence_quality,gold_status,gold_review_rounds
DOC_0002,"Effects of a multi-strain Bacillus probiotic on the intestinal microbiome, haemato-immunology, and growth performance of Nile tilapia","The study evaluated dietary supplementation with a feed additive composed of multi-strain Bacillus for Nile tilapia Oreochromis niloticus . In vitro and in vivo assays employing culture-based microbiological methods and metagenomics were performed. Additionally, the study assessed the haemato-immunology, intestinal microbiome, and growth performance of the animals. For this, 30 juvenile Nile tilapia were used in the in vitro assay and 180 (60 + 120) in the in vivo assays. In the in vitro assay, we found evidence of adhesion of the probiotic bacteria to the intestinal mucus of fish, corroborated in the 15-day in vivo assay, in which the count of B. licheniformis was significantly higher in fish fed with probiotic when compared to fish of the control group. Furthermore, in the 50-day in vivo trial, a metagenomic analysis provided evidence for the modulation of the intestine microbiome of Nile tilapia by dietary supplementation of the probiotic. In addition, there was an increase in species richness, higher abundance of potentially probiotic autochthonous species and a lower abundance of Aeromonas sp. when the animals were fed the supplemented diet. Finally, no significant differences were observed in growth performance and haemato-immunological analyses, suggesting no harm to fish health when the product was supplemented for 15 and 50 days. The in vitro results indicate that the multi-strain probiotics were able to adhere to the intestinal mucus of Nile tilapia. Additionally, a modulation of the intestinal microbiome was evidenced in the in vivo assay.","['α-diversity', 'Aeromonas', 'Haematology', 'Immunology', 'Metagenomics', 'Microbiology']",T23,微生物培养与宏基因组分析,0.88,microbiology/metagenomics method,A06,消化肝胆与胃肠疾病,0.87,title/keyword/application evidence: liver|hepatic|intestinal|gastrointestinal|bowel|colon|colorectal|pancrea|constipation|renal transplant|kidney disease,full,model_reviewed_high,3
DOC_0003,The wildcat (Felis s. silvestris) in the Mediterranean forest: sighting through photo-trapping and non-invasive hair collection for genetic purposes,"The European wildcat ( Felis silvestris silvestris ) is a mesocarnivore species widely distributed in Europe, from Eastern Europe to Portugal and from Scotland to Italy. Recent biogeographical studies of wildcat populations have endeavoured to assess in detail the various issues that pose a threat to this species, including hybridization with domestic cats. The use of non-invasive sampling methods supported by photo-trapping and some attractants has made it possible to gather genetic material for the detection of native wildcats in locally threatened populations, some of which live in the Iberian Peninsula. Testimonies of naturalists, hunters and farm workers led our team to choose specific areas in two large territories of Mediterranean forests where the presence of wildcats has been historically attested: the Almonte River basin and the Sierra de San Pedro Mountains. Between 2014 and 2018, non-invasive hair sampling was performed using valerian (V aleriana officinalis ) as an attractant and supported by photo-trapping to guarantee the collection of genuine biological material (hair samples). The hair samples were genetically assessed by sequencing the nuclear gene IRBP (interphotoreceptor retinoid-binding protein) and the mtDNA gene ND4 (NADH dehydrogenase subunit 4). Despite the low density of wildcats, this combined protocol proved to be an applicable tool for detecting the presence of elusive wildcats and other mesocarnivore species in this remote region of southern Europe. In addition, non-invasive hair trapping contributes to the collection of genetic material from current wildcat populations. This procedure could enhance future management actions focused on collecting quality individualized biological material.","['Genetic validation', 'Non-invasive hair collection', 'Photo-trapping', 'Wildcat (Felis silvestris silvestris)']",T11,成像、生理测量与诊断检测,0.85,imaging/measurement method,A11,兽医、水产与动物健康,0.96,title/keyword/application evidence: \bveterinary\b|\bcanine\b|\bdog\b|\bcat\b|\bfish\b|\btilapia\b|\baquaculture\b|wildcat|livestock,full,model_reviewed_high,3
DOC_0006,Compact coaxial-waveguide four-way power divider with low insertion loss and high output isolation,"This paper presents a compact coaxial-waveguide four-way power divider with high efficiency, low insertion loss, and high isolation. To improve power capacity and facilitate fabrication, the power divider adopts a square coaxial-waveguide structure. Furthermore, to enhance isolation performance, a star-shape isolation microstrip circuit is utilized, connected with four resistors. The measurements demonstrate that the return loss of the sum port is greater than 20 dB from 7.8 GHz to 10 GHz, while the return loss of the output ports is greater than 20 dB from 7.25 to 9.18 GHz. The insertion loss is approximately 0.3 ± 0.1 dB and the isolation is greater than 23 dB from 7 GHz to 10 GHz. The combining efficiency is over 92%. Additionally, the power divider has a compact size of approximately 0.8λ×0.8λ×0.19λ for the central frequency of 8.5 GHz.","['Coaxial-waveguide', 'high isolation', 'high-efficiency', 'low insertion loss', 'power combiner']",T17,工程器件、天线与原型设计,0.9,engineering device/prototype design,A17,光学光子、天线与射频,0.96,title/keyword/application evidence: antenna|waveguide|laser|photonic|optical|metasurface|holographic|orbital angular momentum|terahertz|microwave,full,model_reviewed_high,3
DOC_0007,Treatment modalities and outcomes in pediatric Cushing's disease – report of three cases and literature review,"Cushing's disease (CD) is a diagnostic and therapeutic challenge, especially in pediatric patients. CD, primarily caused by adrenocorticotropic hormone-secreting pituitary adenomas, manifests typically with growth retardation and weight gain. There are no published guidelines for pediatric patients. We report three pediatric patients diagnosed with CD in a Portuguese tertiary hospital. All patients presented with hypercortisolism features. All patients underwent transsphenoidal pituitary surgery (TSS) as a first-choice treatment; however, it was unsuccessful in one patient and the other patients experienced recurrence. Patients were submitted to different approaches so basal serum cortisol levels could be achieved. Two of three patients achieved remission. TSS remains the first-line treatment yet challenging due to microadenomas and technical complexities. Medical therapy with agents like metyrapone or ketoconazole, pituitary radiotherapy, or bilateral adrenalectomy are, usually, second-line interventions, unless there is a contraindication to surgery. Our findings support the finding that a shorter hypothalamic–pituitary–adrenal axis recovery time increases the risk of recurrence of CD. Our cases illustrate the intricate management and variable outcomes of pediatric CD, underscoring the importance of multidisciplinary care and continuous surveillance.","['adenoma', 'hypercortisolism', ""pediatric Cushing's disease""]",T07,病例报告与病例系列,0.95,explicit case report/series,A02,内分泌代谢与糖尿病,0.96,title/keyword/application evidence: diabetes|metabolic|endocrine|thyroid|cushing|adrenal|polycystic ovarian|insulin|obesity|glucose,full,model_reviewed_high,3
DOC_0008,Construction and validation of nomogram prognostic model for predicting survival in hepatoblastoma patients: a population-based study,"For patients with hepatoblastoma (HB), current staging system is not accurate in predicting survival outcomes. The aim of this study was to develop two accurate survival prediction models to guide clinical decision making. A retrospective analysis of 424 HB patients was performed from 2004 to 2015 using the Surveillance, Epidemiology and End Results (SEER) database. Univariate and multivariate Cox regression analysis was used to screen for variables. The identified variables were used to build survival prediction model. The performance of the nomogram models was assessed based on the concordance index (C-index), calibration plot, and receiver operating characteristic (ROC) curve. The Cox regression analysis identified six variables affecting overall survival (OS) in HB patients, including race, tumor size, lymph node involvement, distant metastases, surgery and chemotherapy. And the Cox regression analysis identified five variables including race, lymph node involvement, distant metastases, surgery, and chemotherapy that affect cancer-specific survival (CCS) in HB patients. In the training cohort, the C-index of the nomogram in predicting the OS was 0.791 [95% confidence intervals (95% CI) 0.717–0.865], CSS was 0.805(95% CI 0.728–0.882). In the validation cohort, the C-index of the nomogram in predicting the OS was 0.712 (95% CI 0.511–0.913), the CSS was 0.751 (95% CI 0.566–0.936). In the training cohort, the area under the receiver operator characteristics curve (AUC) values of the nomogram in prediction of the 1-, 3-, and 5-year OS were 0.842 (95% CI 0.739–0.944), 0.759 (95% CI 0.670–0.849), and 0.770 (95% CI 0.686–0.852), respectively. In the validation cohort, the AUC values for prediction of the 1-, 3-, and 5-year OS were 0.920 (95% CI 0.806–1.034), 0.863 (95% CI 0.750–0.976), and 0.844 (95% CI 0.721–0.967), respectively. Two nomogram models were developed and validated in this study which provided accurate prediction of the OS and CSS in HB patients. The constructed models can be used for predicting survival outcomes and guide treatment for HB patients.","['Cancer-specific survival', 'Hepatoblastoma', 'Nomogram', 'Overall survival', 'Prognosis', 'SEER']",T03,临床观察性队列与回顾性分析,0.9,explicit observational design,A03,肿瘤与癌症诊疗,0.88,title/keyword/application evidence: cancer|tumou?r|carcinoma|oncology|metasta|leukaemia|leukemia|lymphoma|sarcoma|myeloma,full,model_reviewed_high,3
DOC_0009,Determinants/Predictors of QT Abnormalities in Patients on Psychotropic Medications in a Nigerian Tertiary Hospital,"Cardiovascular disease is a major global burden and a leading cause of premature death among patients with severe mental illness. Over time, research and clinical practice have paid increased attention to the impact of psychiatric medications on cardiac repolarization. In a resource-limited setting, it is common for psychotropic medications to be initiated and maintained in an outpatient setting without baseline or follow up ECG. This study evaluated the determinants and predictors of QT abnormalities among patient taking psychotropic drugs. We conducted a cross-sectional study in a population of 150 psychiatric patients on psychotropics and 75 controls. We studied the effects of various psychotropic drugs on QT dispersion (QTd) and corrected QT interval (QTc) as well as correlation with the types and dosages of psychotropic drugs used. All the subjects had detailed clinical examination and resting electrocardiogram (ECG) at 25 mm/sec done. QTc was determined using Bazett formula and QTd was determined by subtracting shortest from longest QT in 12-lead ECG. The prevalence of prolonged QTc and QTd as well as the mean QTc and QTd were significantly higher in patients than the control group. The mean QTc was significantly higher in patient on typical antipsychotics compared to those on atypical antipsychotics. Age, heart rate and antipsychotic dose in chlorpromazine equivalent were predictors of QTc with the heart rate being the most powerful predictor among them. Psychotropic drugs use is associated with QTc and QTd prolongation with age, heart rate and antipsychotic dose as predictors of QTc.","['Psychotropic drugs', 'QTc', 'QTd', 'Sudden cardiac death', 'Ventricular repolarization']",T03,临床观察性队列与回顾性分析,0.9,explicit observational design,A01,心血管与循环系统疾病,0.88,title/keyword/application evidence: cardiac|cardiovascular|heart|hypertension|atrial fibrillation|myocardial|aortic|vascular|thrombosis|stroke|coronary|platelet,full,model_reviewed_high,3
DOC_0010,Hepatic dysmetabolism in polycystic ovarian syndrome: impact of paraoxonase-1 modulation by butyrate,"The complications of endocrine-metabolic disorders among women of reproductive age, inclusively polycystic ovarian syndrome (PCOS), are cascade of events leading to cardiovascular diseases, as well as non-alcoholic fatty liver disease (NAFLD) which is the leading cause of liver cirrhosis and hepatic carcinoma that often necessitates organ transplant. Paraoxonase-1 (PON-1) has been shown to be protective against metabolic assaults. However, its role in hepatic glucolipid regulation, particularly in PCOS model, has not been documented. Short-chain fatty acid (SCFAs) are essential modulators of metabolic health. The present study hypothesizes that butyrate would ameliorate hepatic dysmetabolism by upregulation of PON-1. Female Wistar rats (8 weeks old) were allotted into groups: control (CTL), butyrate (BUT), letrozole (LET), and LET + BUT. Letrozole (1 mg/kg) was administered for 21 days to induce PCOS. Thereafter, butyrate (200 mg/kg) was administered for 6 weeks. The animals were sacrificed and biochemical assays; histological and immunohistochemical evaluations were performed with appropriate methods. Rats with PCOS showed cystic ovaries, hyperandrogenism, reduced insulin sensitivity, hyperleptinemia, hypoadiponectinemia, dyslipidemia, and hepatic lipid peroxidation/lipotoxicity, as well as increased hepatic caspase-6, proinflammatory markers (NF-kB, SDF-1), decreased antioxidant defense (NrF2), and HIF-1α, with corresponding expression of inflammasome as evaluated immunohistochemically. These alterations were accompanied by a suppressed level of PON-1. However, the administration of butyrate attenuated these hepatic metabolic and cellular perturbations. Results from this study demonstrate that butyrate protects against hepatic glucolipid dysregulation and its comorbid oxidative stress and inflammation in the PCOS model by the modulation of PON-1.","['Butyrate', 'Hepatic dysfunction', 'Inflammation', 'NrF2', 'PON-1']",T10,病理组织与免疫组化诊断,0.89,pathology/IHC method,A06,消化肝胆与胃肠疾病,0.96,title/keyword/application evidence: liver|hepatic|intestinal|gastrointestinal|bowel|colon|colorectal|pancrea|constipation|renal transplant|kidney disease,full,model_reviewed_high,3
DOC_0011,An experimental study of a novel external fixator based on universal joints for the rapid initial stabilization of mandibular comminuted fractures,"Purpose Shaping and assembling contemporary external fixators rapidly for the severe mandibular fractures remains a challenge, especially in emergency circumstance. We designed a novel external fixator that incorporates universal joints to provide the stabilization for mandibular comminuted fractures. This study aims to confirm the efficacy of this novel external fixator through biomechanical tests in vitro and animal experiments. Methods In vitro biomechanical tests were conducted using 6 fresh canine with mandibular defect to simulate critical comminuted fractures. Three mandibles were stabilized by the novel external fixator and other mandibles were fixed by 2.5 mm reconstruction plates. All fixed mandibles were subjected to loads of 350 N on the anterior regions of teeth and 550 N on the first molar of the unaffected side. The stability was evaluated based on the maximum displacement and the slope of the load-displacement curve. In animal experiments, 9 beagles with comminuted mandibular fractures were divided into 3 groups, which were treated with novel external fixation, reconstruction plate, and dental arch bar, respectively. The general observation, the changes in animals' weight and the surgical duration were recorded and compared among 3 groups. The CT scans were performed at various intervals of 0 day (immediately after the surgery), 3 days, 7 days, 14 days, 21 days, 28 days to analyze the displacement of feature points on the canine mandible and situation of fracture healing at 28 days. The statistical significance was assessed by the two-way analysis of variance test followed by the Bonferroni test, enabling multiple comparisons for all tests using GraphPad Prism10.1.0 (GraphPad Inc, USA). Results The outcomes of the biomechanical tests indicated that no statistically significant differences were found in terms of the maximum displacement ( p = 0.496, 0.079) and the slope of load displacement curves ( p = 0.374, 0.349) under 2 load modes between the external and internal fixation groups. The animal experiment data showed that there were minor displacements of feature points between the external and internal fixation groups without statistic difference, while the arch bar group demonstrated inferior stability. The CT analysis revealed that the best fracture healing happened in the internal fixation group, followed by the external fixation and arch baring at 28 days after fixation. The external fixation group had the shortest fixation duration (25.67 ± 3.79) min compared to internal fixation ((70.67 ± 4.51) min, p < 0.001) and arch baring ((42.00 ± 3.00) min, p = 0.046). Conclusion The conclusion of this study highlighted the efficacy and reliability of this novel external fixator in managing mandibular fractures rapidly, offering a viable option for the initial stabilization of comminuted mandibular fractures in the setting of emergency rescue.","['Battle injuries', 'Damage control', 'External fixation', 'Mandibular fracture']",T22,动物模型与药理干预实验,0.86,animal model/in-vivo intervention,A05,骨科肌肉与康复医学,0.96,title/keyword/application evidence: fracture|orthopedic|osteoarthritis|arthroplasty|musculoskeletal|mandibular|bone|joint|tendon,full,model_reviewed_high,3
DOC_0012,Activation AMPK in Hypothalamic Paraventricular Nucleus Improves Renovascular Hypertension Through ERK1/2-NF-κB Pathway,"Hypertension is a globally prevalent disease, but the pathogenesis remains largely unclear. AMP-activated protein kinase (AMPK) is a nutrition-sensitive signal of cellular energy metabolism, which has a certain influence on the development of hypertension. Previously, we found a down-regulation of the phosphorylated (p-) form of AMPK, and the up-regulation of the angiotensin II type 1 receptor (AT1-R) and that of p-ERK1/2 in the hypothalamic paraventricular nucleus (PVN) of hypertensive rats. However, the exact mechanism underlying the relationship between AMPK and AT1-R in the PVN during hypertension remains unclear. Thus, we hypothesized that AMPK modulates AT1-R through the ERK1/2-NF-κB pathway in the PVN, thereby inhibiting sympathetic nerve activity and improving hypertension. To examine this hypothesis, we employed a renovascular hypertensive animal model developed via two-kidney, one-clip (2K1C) and sham-operated (SHAM). Artificial cerebrospinal fluid (aCSF), used as vehicle, or 5-amino-1-β- d -ribofuranosyl-imidazole-4-carboxamide (AICAR, an AMPK activator, 60 μg/day) was microinjected bilaterally in the PVN of these rats for 4 weeks. In 2K1C rats, there an increase in systolic blood pressure (SBP) and circulating norepinephrine (NE). Also, the hypertensive rats had lowered expression of p-AMPK and p-AMPK/AMPK, elevated expression of p-ERK1/2, p-ERK1/2/ERK1/2 and AT1-R, increased NF-κB p65 activity in the PVN compared with the levels of these biomarkers in SHAM rats. Four weeks of bilateral PVN injection of AMPK activator AICAR, attenuated the NE level and SBP, increased the expression of p-AMPK and p-AMPK/AMPK, lessened the NF-κB p65 activity, decreased the expression of p-ERK1/2, p-ERK1/2/ERK1/2 and AT1-R in the PVN of 2K1C rats. Data from this study imply that the activation of AMPK within the PVN suppressed AT1-R expression through inhibiting the ERK1/2-NF-κB pathway, decreased the activity of the sympathetic nervous system, improved hypertension.","['AMP-activated protein kinase', 'AT1-R', 'ERK1/2', 'Hypertension', 'Hypothalamic paraventricular nucleus']",T22,动物模型与药理干预实验,0.86,animal model/in-vivo intervention,A01,心血管与循环系统疾病,0.96,title/keyword/application evidence: cardiac|cardiovascular|heart|hypertension|atrial fibrillation|myocardial|aortic|vascular|thrombosis|stroke|coronary|platelet,full,model_reviewed_high,3
DOC_0014,A tri-band low-profile shared-aperture mesh patch/Fabry-Perot cavity antenna,"A tri-band low-profile shared-aperture antenna is proposed. Based on structural multiplexing, a mesh patch is proposed to function as part of the partial reflective surface (PRS) of the Fabry-Perot cavity antenna (FPCA) in the middle- and high-frequency bands, as well as to function as the radiator of the patch antenna in the low-frequency band. Thus, the FPCA and the mesh patch antenna share the same aperture. A dual-band PRS is proposed, which can adjust its reflection amplitude independently in two frequency bands. By introducing artificial magnetic conductor (AMC) grounding to compensate for the transmission phase of the middle-frequency band, the proposed antenna can realize dual-band FPC resonance in a single cavity while maintaining a low profile. To validate the design concept, an antenna prototype is fabricated and measured. Measured results show that the impedance bandwidths of the proposed antenna are 4.74% (1.03–1.08 GHz), 0.42% (4.79–4.81 GHz), and 3.83% (11.52–11.97 GHz). The peak gain is 7.85 dBi at 1.06 GHz, 12.47 dBi at 4.81 GHz, and 20.6 dBi at 11.7 GHz. The isolation between the three bands is better than 30 dB. The three operating bands of the proposed antenna have a high degree of independence and can be flexibly adjusted.","['Fabry-Perot cavity antenna', 'mesh patch antenna', 'shared-aperture']",T17,工程器件、天线与原型设计,0.9,engineering device/prototype design,A17,光学光子、天线与射频,0.96,title/keyword/application evidence: antenna|waveguide|laser|photonic|optical|metasurface|holographic|orbital angular momentum|terahertz|microwave,full,model_reviewed_high,3
