topic_id,axis,parent_category_id,parent_label_zh,parent_label_en,topic_name_zh,topic_name_en,definition_zh,definition_en,language,aliases,positive_evidence,negative_evidence,support_count,prototype_document_ids,prototype_titles,granularity_level,status,cluster_stability_nmi,parent_silhouette,direct_match_threshold,review_match_threshold,version,discovery_source
TR-T06-ZH-001,technical,T06,叙述性综述与理论观点,Narrative Review and Theoretical Perspective,叙述性综述与理论观点,Narrative Review and Theoretical Perspective — Chinese evidence topic 1,属于“叙述性综述与理论观点”父类，重点聚焦于叙述性综述与理论观点。,A Chinese-language fine-grained topic under Narrative Review and Theoretical Perspective; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],23,"['ZH_0141', 'ZH_0899', 'ZH_0143', 'ZH_0739', 'ZH_0685']","['演化经济地理学的“需求转向”研究进展与展望', '基于学科视角的专业市场集群形成机制研究述评', '国土空间生态韧性研究进展与前沿分析', '中国区域经济差异问题研究综述', '意愿调查法在我国遗产资源价值评价领域的应用与研究进展']",2,stable,0.7035,0.0125,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T07-ZH-001,technical,T07,病例报告与病例系列,Case Reports and Case Series,病例报告与病例系列,Case Reports and Case Series — Chinese evidence topic 1,属于“病例报告与病例系列”父类，重点聚焦于病例报告与病例系列。,A Chinese-language fine-grained topic under Case Reports and Case Series; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],1,['ZH_0717'],['河南省新冠肺炎疫情时空扩散特征与人口流动风险评估——基于1243例病例报告的分析'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
TR-T11-ZH-001,technical,T11,成像、生理测量与诊断检测,"Imaging, Physiological Measurement and Diagnostic Testing",成像、生理测量与诊断检测,"Imaging, Physiological Measurement and Diagnostic Testing — Chinese evidence topic 1",属于“成像、生理测量与诊断检测”父类，重点聚焦于成像、生理测量与诊断检测。,"A Chinese-language fine-grained topic under Imaging, Physiological Measurement and Diagnostic Testing; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],6,"['ZH_0575', 'ZH_0210', 'ZH_0564', 'ZH_0333', 'ZH_0600']","['考虑CT饱和干扰的电力变压器励磁涌流识别方法', '考虑富氧燃烧技术与绿证-碳配额等价交互的综合能源低碳经济调度', '南方(以广东起步)电力现货市场“月结算”试运行关键监测指标及市场力分析', '基于小波图像卷积的局部放电非梯度定位方法研究', '改进EGM模型对特高压输电线路的适用性与验证']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T12-ZH-001,technical,T12,材料合成与制备工艺,Material Synthesis and Fabrication,材料合成与制备工艺,Material Synthesis and Fabrication — Chinese evidence topic 1,属于“材料合成与制备工艺”父类，重点聚焦于材料合成与制备工艺。,A Chinese-language fine-grained topic under Material Synthesis and Fabrication; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],15,"['ZH_0284', 'ZH_0283', 'ZH_0655', 'ZH_0744', 'ZH_0342']","['微生物制造饲用氨基酸助力豆粕减量替代', '细胞工厂设计数字化赋能绿色生物制造', '合成生物学研究的工程化平台', '面向生物合成的代谢工程策略设计', '基于分布式通信架构的温控负荷参与电力系统频率调控模型']",2,reviewed,0.5219,0.0166,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T13-ZH-001,technical,T13,材料表征与性能测试,Material Characterization and Performance Testing,材料表征与性能测试,Material Characterization and Performance Testing — Chinese evidence topic 1,属于“材料表征与性能测试”父类，重点聚焦于材料表征与性能测试。,A Chinese-language fine-grained topic under Material Characterization and Performance Testing; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],9,"['ZH_0438', 'ZH_0281', 'ZH_0691', 'ZH_0788', 'ZH_0934']","['考虑储能系统调度与风电消纳的峰谷分时电价优化模型研究', '交流变速抽蓄机组单通道电力系统稳定器设计研究', '中压馈线分段策略的实用优化模型和方法', '直面挑战 追梦核裂变能可持续发展——“未来先进核裂变能——ADS嬗变系统”战略性先导科技专项及进展', '京津冀区域经济发展与资源环境的脱钩状态及驱动因素']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T16-ZH-001,technical,T16,解析理论与数学建模,Analytical Theory and Mathematical Modeling,解析理论与数学建模,Analytical Theory and Mathematical Modeling — Chinese evidence topic 1,属于“解析理论与数学建模”父类，重点聚焦于解析理论与数学建模。,A Chinese-language fine-grained topic under Analytical Theory and Mathematical Modeling; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],6,"['ZH_0390', 'ZH_0109', 'ZH_0322', 'ZH_0290', 'ZH_0067']","['电-气-碳-绿证多市场下综合能源供应商联合均衡模型', '电-碳-绿证交易耦合下新能源发电商参与投标竞争的多市场博弈分析', '基于随机微分方程的光伏电源机电随机特性的代数建模方法及应用', '科技改革需要构建新范式：理论探析', '旅游专业大学生乡村旅游创业意向的影响因素']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T17-ZH-001,technical,T17,工程器件、天线与原型设计,"Engineering Devices, Antennas and Prototype Design",工程器件、天线与原型设计,"Engineering Devices, Antennas and Prototype Design — Chinese evidence topic 1",属于“工程器件、天线与原型设计”父类，重点聚焦于工程器件、天线与原型设计。,"A Chinese-language fine-grained topic under Engineering Devices, Antennas and Prototype Design; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],7,"['ZH_0216', 'ZH_0664', 'ZH_0483', 'ZH_0917', 'ZH_0994']","['基于电感复用的准谐振型变换器', '一种双向谐振型高频直流变压器通用参数设计方法', '基于DS-LCC拓扑抗偏移性的建模与优化', '一种新型超导直流故障限流器', '基于可编程电源的数模动模混合仿真系统研究']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T20-ZH-001,technical,T20,问卷调查与定性社会研究,Questionnaire Surveys and Qualitative Social Research,问卷调查与定性社会研究,Questionnaire Surveys and Qualitative Social Research — Chinese evidence topic 1,属于“问卷调查与定性社会研究”父类，重点聚焦于问卷调查与定性社会研究。,A Chinese-language fine-grained topic under Questionnaire Surveys and Qualitative Social Research; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],11,"['ZH_0702', 'ZH_0782', 'ZH_0615', 'ZH_0570', 'ZH_0935']","['流动人口家庭化迁移与住房选择分异研究——基于全国25个城市的实证分析', '国民休闲驱动机制研究——生活方式、信息刺激与休闲消费行为的结构模型分析', '基于整日尺度的城市女性休闲满意度及其影响因素——以西宁市为例', '欠发达农区村域经济对产业集聚区的响应机制研究——以河南省王胖庄为例', '现代性拓殖与地方响应：少数民族盐业旅游社区的发展实践']",2,reviewed,0.3567,0.0092,0.42,0.28,8.0,v7_zh_high_medium_gold
TR-T21-ZH-001,technical,T21,经济评价与政策分析,Economic Evaluation and Policy Analysis,经济评价与政策分析,Economic Evaluation and Policy Analysis — Chinese evidence topic 1,属于“经济评价与政策分析”父类，重点聚焦于经济评价与政策分析。,A Chinese-language fine-grained topic under Economic Evaluation and Policy Analysis; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],1,['ZH_0975'],['中国北方草地生态系统服务评估和功能区划助力生态安全屏障建设'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
TR-T25-ZH-001,technical,T25,数据集、基准与工具验证,"Datasets, Benchmarks and Tool Validation",数据集、基准与工具验证,"Datasets, Benchmarks and Tool Validation — Chinese evidence topic 1",属于“数据集、基准与工具验证”父类，重点聚焦于数据集、基准与工具验证。,"A Chinese-language fine-grained topic under Datasets, Benchmarks and Tool Validation; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],4,"['ZH_0201', 'ZH_0224', 'ZH_0499', 'ZH_0432']","['基于改进反距离加权的山东风资源高分辨率网格化数据集生成方法', '基于知识引导Raindrop学习的变压器健康评估方法', '考虑风-储-直参与调频的电力系统频率特征定量分析', '东海浮标综合观测网络支撑海洋环境保护和防灾减灾预报']",2,reviewed,1.0,0.0,0.4679,0.3279,8.0,v7_zh_high_medium_gold
