document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0006,新药研发发展态势分析,新药研发是医药创新发展的关键环节，是新一轮生命科技革命和生物经济变革的核心领域，对引领科技创新、带动经济发展、提升人民健康福祉具有战略意义。当前，前沿技术不断革新、学科跨域融合、数字深度赋能驱动新药研发领域创新日趋活跃，国内外创新性小分子药物、抗体药物、免疫细胞治疗、基因治疗与核酸药物等密集获批上市，为未满足的临床需求提供更多选择。文章深入分析新药研发领域发展趋势、全球新药批准情况，以及我国新药研发发展现状与态势，提出发展启示与建议，以期为新药研发领域发展提供参考。,"['新药', '抗体药物', '细胞治疗', '启示', '建议']",T45,T09,3.5,0.7305884566444985,标题:发展态势,0.2476757610422523,0.0756318331749887,0.8144444444444445,T45,A40,A29,1.0,-0.6688599295714908,摘要:科技创新,0.152084546220775,-0.3204280683677913,0.4755555555555555,A29,False,False,False,needs_review,high,needs_review
ZH_0011,适应能源转型发展的输配电价动态激励机制研究,在能源转型的背景下，“重约束，轻激励”的输配电定价方式已不适应输配电网络低碳、安全、高效转型的发展需求。因此，该文设计了一种激励与约束相容的输配电价动态激励机制，研究表明：转型阶段下，需要进一步通过优化电网投资结构，减少投资冗余来提高输配电网络运营效率，电网仍是成本超支风险的主要承担者；省级电网的低碳、安全、高效之间的耦合协调程度整体呈现为逐年提升；所提激励机制兼顾差异性和公平性，有利于各省输配电网的清洁、低碳、可持续发展。,"['新型电力系统', '输配电价', '数据包络分析', '耦合协调', '动态激励机制']",T41,T44,3.0,0.7119876732004538,关键词:数据包络分析,0.2423714401466401,-0.0572309057110446,0.7266666666666667,T44,A31,A36,1.0,-0.6293866961016128,摘要:配电网,0.1511986045199086,-0.0384764007258062,0.4755555555555555,A36,False,False,False,needs_review,medium,needs_review
ZH_0012,基于临界超标样本扩充的数据驱动短路电流超标精准校验方法,"短路电流超标校验中，针对现有技术在临界超标场景下存在计算精度不足、易误判的缺陷，提出一种基于临界超标样本扩充的数据驱动短路电流超标精准校验方法。首先，在短路电流领域首次采用生成对抗网络(generative adversarial networks,GAN)产生与蒙特卡洛模拟具有相同效力的大量样本，再筛选其中的临界超标样本；其次，设计了一种临界超标占比高、非临界超标占比低的新型样本构成方式，据此融合GAN生成临界超标样本与蒙特卡洛仿真样本以形成数据驱动样本集；继而，采用数据驱动的代表性回归算法LightGBM开展短路电流超标校验；最后，仿真结果表明所提方法能有效提高短路电流超标的校验准确度，相比其他物理计算方法和数据驱动方法具有更高效率和计算精度，以及更快的计算速度。","['短路电流超标校验', '临界超标样本扩充', '生成对抗网络', '数据驱动']",T36,T01,4.0,-0.2054024522822424,关键词:短路电流超标校验；摘要:短路电流超标校验,-0.1117640550362482,-0.4385889448731597,0.6422222222222222,T01,A27,A30,1.0,0.7116247861912713,摘要:物理,0.0457096306496436,-0.0598229557766328,0.6155555555555555,A30,False,False,False,needs_review,medium,needs_review
ZH_0015,基于分层有向图与动态时空相关性的小区域光伏超短期预测方法,"小区域光伏发电功率准确预测，已成为高渗透多台区系统精准调控运行的技术瓶颈。目前光伏发电功率的预测方法缺乏对台区小区域内光伏集群效应的考虑，忽略了输入变量的内在因果关系以及动态相关性。针对于上述问题，提出一种基于分层有向图以及动态图卷积循环网络(dynamic graph convolutional recurrent network,DGCRN)的小区域光伏预测方法。首先，考虑出力数据与数值天气预报(numerical weather prediction,NWP)单向关系，生成具有因果联系的分层有向图。其次，依据节点属性在每个时间步生成动态图，与预先定义的静态图有机结合，以捕捉节点之间的动态时空相关性。最后，将具有动态时空相关性的图结构用于模型训练。以某个小区域台区29个光伏节点加以预测建模，实验结果表明，DGCRN模型具备捕获多参量间的因果规律和提取光伏功率的短期动态特征的能力，其在小区域多节点的光伏发电功率预测性能优越。","['分层有向图', '动态相关性', '图卷积网络', '区域台区光伏预测']",T35,T11,8.0,0.6689269772630562,标题:超短期预测；标题:短期预测；摘要:功率预测,0.436183270116704,0.2780498375932584,0.98,T35,A31,A34,4.0,-0.4032084284822624,关键词:台区；摘要:台区,0.0139678250516411,-0.1573711278144799,0.6422222222222222,A34,False,False,False,needs_review,high,needs_review
ZH_0024,电信隐性转移支付对工业企业资本循环的影响,文章结合2003—2015年中国工业企业微观数据和省市宏观数据，对电信隐性转移支付进行定义和测度，并从理论和实证上探究了其对工业企业资本循环的影响。结果表明：(1)各省份电信隐性转移支付呈现出明显的时序变化和空间分布特征，总体上东部地区存在电信资源隐性转出，中西部地区存在电信资源隐性转入。(2)理论和实证分析表明，电信隐性转移支付对工业企业资本循环存在正向影响，并且在进行内生性分析和稳健性检验后结论依然成立。(3)异质性分析表明，相对于出口企业和发达地区企业而言，内销企业和欠发达地区企业资本循环受到电信隐性转移支付的提升效应更大，从而在一定程度上有利于促进国内大循环、缩小区域发展差距。,"['电信隐性转移支付', '工业资本循环', '国内大循环', '区域发展差距', '新发展格局']",T07,T15,0.0,0.004139431791791,,0.1317899087345335,0.0295673699413647,0.4845533749709702,T07,A39,A43,0.0,-0.7454791686694243,,0.04895649516258,-0.1819940619244597,0.26,A43,False,False,False,needs_review,needs_review,needs_review
ZH_0030,基于关系超图增强Transformer的智能站二次设备故障诊断研究,"随着智能变电站二次设备的状态感知与自描述能力不断提升，在提高电网调控细粒度的同时，其海量、驳杂、离散的状态信息也使故障诊断难度倍增。为提高二次设备故障诊断精度与效率，提出基于关系超图增强Transformer的二次设备故障诊断算法。首先利用Apriori算法挖掘故障信号间的关联规则，构建关系超图。然后利用超图卷积神经网络(hypergraph convolutional neural network, HGCN)和微调标准Transformer网络学习故障特征间的高阶关系和上下文表达，再经过误差反向传播、非线性传递函数预测故障类型。最后，以某地区一年的二次设备运行数据作为算例进行分析。结果表明，所提方法能够去除冗余信息干扰，准确定位故障元件和诊断故障类型，为智能运维提供支持。","['关系超图', '超图卷积神经网络', '故障预测', '二次设备', '设备关联模型']",T36,T01,4.5,-0.4050067162131792,标题:故障诊断；摘要:故障诊断,0.2078177771095765,-0.472737048581532,0.6699999999999999,T01,A37,A09,0.0,0.0151842904014829,,0.3269786527143418,0.1084592171534497,0.4967027194416312,A37,False,False,False,needs_review,medium,needs_review
ZH_0037,一种基于圆周运动轨迹方程的电力系统基波频率测量方法,随着新能源的大规模接入，系统惯量降低，电力系统的频率波动变得剧烈，增加了频率准确测量的难度，而频率的测量精度直接关系着电力系统各类基于频率控制应用的有效性。因此，该文从圆周运动角度，提出了一种新颖的频率精确测量方法。该方法建立了电力系统电压信号正弦变化的旋转相量圆周运动表征模型，基于匀速圆周运动和变速圆周运动的轨迹运动方程，推导了旋转相量及其导数与系统频率之间的函数关系；利用二次多项式拟合电压信号动态变化的幅值和相角，提出了基于最小二乘法的旋转相量及其导数求解方法，进一步，提出了基于频率网格化的迭代优化方法，消除了频率偏移对算法的影响。仿真和硬件测试表明，所提算法在频率偏移、线性和非线性变化条件下均能准确地测量基波频率。,"['频率测量', '旋转相量', '圆周运动', '最小二乘法']",T17,T13,1.0,-0.0300013748562956,摘要:硬件测试,-0.0772735054673543,-0.2142955346878254,0.4755555555555555,T40,A31,A10,0.0,0.0007281036755047,,0.0731564593755406,0.0052007405393192,0.4808009140430552,A31,False,False,False,needs_review,needs_review,needs_review
ZH_0040,基于双向循环插补网络的分布式光伏集群时序数据耦合增强方法,分布式光伏点多面广、局部渗透率高、安装环境复杂多变，真实可靠的量测数据是其性能分析、出力预测、运维调控的基础。然而，传感器故障和通信堵塞等因素会造成量测值缺失，恶化原始数据质量，进而影响配电网运行决策的准确性。传统数据修复方法只考虑单一量测值的分布特征，忽略了多维时序数据的潜在耦合关系，修复精度有限。为此，该文提出一种基于双向多阶段循环插补网络和Seq2SeqAttention的时序数据耦合增强方法，改进了循环插补网络的结构，并引入衰减机制，能利用少量未缺失数据，潜在地挖掘原始数据的整体分布规律，一次性对多个光伏场站完成高质量数据修复。实验结果表明，所提方法在高比例缺失情况下仍有良好的修复性能，可明显增强分布式光伏集群的基础数据质量，提升电网运营商对光伏集群的细粒度感知能力。,"['缺失数据修复', '双向循环插补网络', '耦合时序数据', '分布式光伏集群']",T38,T01,0.0,0.0025627493421164,,0.120893485393816,0.0183053524436889,0.482819024276328,T38,A31,A34,1.0,-0.682995505287167,摘要:配电网,0.1779754113125332,-0.0785393234797647,0.4755555555555555,A34,False,False,False,needs_review,needs_review,needs_review
ZH_0042,考虑新能源随机波动和T接线的城市电网连锁故障风险评估,新能源的大量接入给城市电网的安全运行和重要用户可靠供电带来很大挑战，其功率的随机波动易引发电网出现连锁故障风险。提出了一种考虑新能源出力随机波动和城市电网110k V网架T接线开关投切的连锁故障风险评估方法。该方法在连锁故障发生概率和后果严重度的计算中都计及了系统状态的概率分布特性的影响，并采用基于半不变量法的概率潮流计算反映系统状态与新能源功率二者的概率分布特性之间的关系。另外，建立包含110 kV网架T接线开关投切的最小切负荷的混合整数非线性规划模型，并以最小切负荷量来表征系统在连锁故障的严重度。此优化模型通过决策故障下的各组T接线开关的投切状态，减少连锁故障下的切负荷量，进而有效降低连锁故障的风险。同时，通过机会约束描述重要用户负荷节点电压的安全运行范围，以确保重要用户负荷不停电的概率满足给定的置信水平，从而保证重要用户的安全可靠供电。最后，通过某个实际城市片区电网算例验证了所提出的连锁故障风险评估方法的正确有效性。,"['连锁故障', '风险评估', '新能源', '概率潮流', '半不变量', 'T接线', '混合整数非线性规划']",T39,T30,5.0,-0.2761840070774631,摘要:机会约束；关键词:概率潮流；摘要:概率潮流,0.1269242086715626,-0.2584571934104513,0.6977777777777778,T30,A34,A37,0.0,0.0015655387715498,,0.1237448927887532,0.0111824197967848,0.4817220926487048,A34,False,False,False,needs_review,medium,needs_review
ZH_0049,城乡居家养老服务设施空间配给均等性研究——以苏州市为例,居家养老服务设施配置的效率和公平直接关系着绝大多数老年人的养老生活质量，成为影响城乡养老服务设施体系建设成效的关键。文章以苏州市为例，测度了城乡居家养老服务设施有效配给与老年人口分布之间的供需空间关联，进行了城乡间、地区间的均等性分析并探究不均等产生的原因。结果表明：(1)苏州市居家养老服务设施空间配给与“一城多核”的城镇空间结构高度相关，高配区域集中于中心城区和下属各区市的城区，有效配给量从城区中心向外围逐渐递减。(2)设施空间配给存在相对不均等，城区中心和乡村地区的中心村高配，城区外围和乡村地区的非中心村低配。(3)城乡不均等主要来源于乡村地区内部设施空间配给的不均衡，供给与需求的空间失配使得乡村地区人均有效设施配给量低于城市。,"['老年人', '居家养老', '服务设施', '供给与需求', '空间可达性', '均等性', '城乡差异']",T07,T03,0.0,0.0048542927091864,,0.1323041325815662,0.0346735193513319,0.4853397219801051,T07,A46,A47,3.0,-0.2685413720981079,关键词:可达性,0.125535766064877,-0.2038669435579131,0.5866666666666667,A47,False,False,False,needs_review,needs_review,needs_review
