document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0001,土地流转和社会化服务对农业全要素生产率的影响实证分析,文章基于2010—2021年中国30个省份面板数据，采用SBM模型和空间计量模型实证探究了规模经营视角下土地流转和农业社会化服务对农业全要素生产率的影响、空间溢出效应及其交互效应。研究发现：(1)2010—2021年，全国层面和省级层面农业全要素生产率均呈现增长态势。(2)土地流转和农业社会化服务均能显著促进农业全要素生产率提升，且两者交互项系数显著为正，在效率提升过程中是“相得益彰”的共赢关系。(3)土地流转和农业社会化服务均具有显著正向空间溢出效应，能够促进邻近地区农业全要素生产率提升。据此，提出要推动农业社会化服务体系和土地流转体系协同联动发展，充分发挥好农业规模经营的正向空间溢出效应，共同促进农业生产提质增效。,"['土地流转', '农业社会化服务', '农业全要素生产率', '空间溢出效应']",T42,T47,2.0,0.73577186849381,摘要:面板数据；摘要:计量模型,0.1725381870088302,0.1126562035272142,0.731111111111111,T42,A42,A12,15.0,0.7439088585517702,标题:农业；关键词:农业；摘要:农业；标题:土地流转；关键词:土地流转；摘要:土地流转,0.3121514687159576,0.1707775610840732,0.98,A42,False,False,False,medium,medium,high
ZH_0004,中国省域共同富裕水平测度、时空分异与障碍因素,测度中国共同富裕发展水平并分析其时空分异特征与障碍因素，能够为扎实推动共同富裕提供量化支撑。文章从富裕程度、共享程度、可持续性3个维度构建了包含24个指标的中国共同富裕综合评价指标体系，采用纵横向拉开档次法测度2013—2021年中国共同富裕水平。同时，基于Dagum基尼系数及其分解方法、核密度估计以及莫兰指数对中国共同富裕时空分异特征进行分析。最后运用障碍度模型，诊断影响中国共同富裕水平提高的障碍因子。结果表明：(1)样本期内中国共同富裕水平稳步提高，总体呈现“东部>东北>中部>西部”及“南强北弱”的空间发展格局；以各维度中位数为划分标准，可将各省份划分为“全面领先型”“持续发展型”“可持续引领型”“富裕引领型”“共享引领型”及“相对滞后型”6种发展模式。(2)中国共同富裕水平整体差异不断缩小，不同地理分区共同富裕水平的动态演进特征差异较大。(3)全国、南方地区、北方地区存在“高—高”“低—低”的聚集式发展格局，且中国共同富裕水平具有较高的空间稳定性。(4)影响共同富裕水平提高的主要障碍因子涉及创新产出、法治环境、收入水平、分配结构、创新环境、生态保护及城市基础设施建设等诸多方面。,"['共同富裕', '时空分异', '障碍因素', '高质量发展']",T44,T41,2.0,0.0287443770323707,摘要:障碍度模型；摘要:Dagum基尼,0.3640029935902658,0.2053169788026477,0.6227299258467189,T44,A41,A46,7.5,0.6638304583171182,标题:共同富裕；关键词:共同富裕；摘要:共同富裕,0.3718901204061252,0.284503273693702,0.98,A41,False,False,False,medium,medium,high
ZH_0011,适应能源转型发展的输配电价动态激励机制研究,在能源转型的背景下，“重约束，轻激励”的输配电定价方式已不适应输配电网络低碳、安全、高效转型的发展需求。因此，该文设计了一种激励与约束相容的输配电价动态激励机制，研究表明：转型阶段下，需要进一步通过优化电网投资结构，减少投资冗余来提高输配电网络运营效率，电网仍是成本超支风险的主要承担者；省级电网的低碳、安全、高效之间的耦合协调程度整体呈现为逐年提升；所提激励机制兼顾差异性和公平性，有利于各省输配电网的清洁、低碳、可持续发展。,"['新型电力系统', '输配电价', '数据包络分析', '耦合协调', '动态激励机制']",T41,T44,3.0,0.7119876732004538,关键词:数据包络分析,0.2423714401466401,-0.0572309057110446,0.7266666666666667,T44,A31,A36,1.0,-0.6293866961016128,摘要:配电网,0.1511986045199086,-0.0384764007258062,0.4755555555555555,A36,False,False,False,needs_review,medium,needs_review
ZH_0012,基于临界超标样本扩充的数据驱动短路电流超标精准校验方法,"短路电流超标校验中，针对现有技术在临界超标场景下存在计算精度不足、易误判的缺陷，提出一种基于临界超标样本扩充的数据驱动短路电流超标精准校验方法。首先，在短路电流领域首次采用生成对抗网络(generative adversarial networks,GAN)产生与蒙特卡洛模拟具有相同效力的大量样本，再筛选其中的临界超标样本；其次，设计了一种临界超标占比高、非临界超标占比低的新型样本构成方式，据此融合GAN生成临界超标样本与蒙特卡洛仿真样本以形成数据驱动样本集；继而，采用数据驱动的代表性回归算法LightGBM开展短路电流超标校验；最后，仿真结果表明所提方法能有效提高短路电流超标的校验准确度，相比其他物理计算方法和数据驱动方法具有更高效率和计算精度，以及更快的计算速度。","['短路电流超标校验', '临界超标样本扩充', '生成对抗网络', '数据驱动']",T36,T01,4.0,-0.2054024522822424,关键词:短路电流超标校验；摘要:短路电流超标校验,-0.1117640550362482,-0.4385889448731597,0.6422222222222222,T01,A27,A30,1.0,0.7116247861912713,摘要:物理,0.0457096306496436,-0.0598229557766328,0.6155555555555555,A30,False,False,False,needs_review,medium,needs_review
ZH_0030,基于关系超图增强Transformer的智能站二次设备故障诊断研究,"随着智能变电站二次设备的状态感知与自描述能力不断提升，在提高电网调控细粒度的同时，其海量、驳杂、离散的状态信息也使故障诊断难度倍增。为提高二次设备故障诊断精度与效率，提出基于关系超图增强Transformer的二次设备故障诊断算法。首先利用Apriori算法挖掘故障信号间的关联规则，构建关系超图。然后利用超图卷积神经网络(hypergraph convolutional neural network, HGCN)和微调标准Transformer网络学习故障特征间的高阶关系和上下文表达，再经过误差反向传播、非线性传递函数预测故障类型。最后，以某地区一年的二次设备运行数据作为算例进行分析。结果表明，所提方法能够去除冗余信息干扰，准确定位故障元件和诊断故障类型，为智能运维提供支持。","['关系超图', '超图卷积神经网络', '故障预测', '二次设备', '设备关联模型']",T36,T01,4.5,-0.4050067162131792,标题:故障诊断；摘要:故障诊断,0.2078177771095765,-0.472737048581532,0.6699999999999999,T01,A37,A09,0.0,0.0151842904014829,,0.3269786527143418,0.1084592171534497,0.4967027194416312,A37,False,False,False,needs_review,medium,needs_review
ZH_0032,混合级联型HVDC系统的后续换相失败预判方法,"白鹤滩—江苏±800k V特高压直流输电工程于2022年7月1日在中国投运，在世界上首次创造性地研发应用了特高压混合级联直流输电新技术方案。基于此系统背景对逆变侧电网换相换流器(line commutated converter,LCC)进行具有一定时间裕度的后续换相失败预判。分析了LCC控制器对电气量的控制作用和模块化多电平换流器(modular multilevel converters,MMC)对LCC的电压支撑作用，明确了混合级联直流输电系统逆变侧LCC发生后续换相失败的机理。推导了逆变侧LCC在首次换相失败后恢复过程末期关断角与故障后线路传输功率最小值的关系，定义了阈值功率的概念。然后建立了关断角与阈值功率的定量关系，提出一种故障后直流传输功率最小值与功率阈值相比较的后续换相失败预判方法。最后在PSCAD/EMTDC中搭建了相应的仿真模型，验证了理论分析和预测方法的准确性。","['混合级联直流输电系统', '后续换相失败预判', '交流故障', '阈值功率']",T14,T06,2.0,0.7027244778233772,摘要:PSCAD；摘要:仿真模型,-0.0291807536765551,-0.123396586975877,0.6711111111111111,T06,A32,A07,14.0,0.771247467795524,摘要:高压直流；标题:HVDC；摘要:换流器；标题:换相失败；关键词:换相失败；摘要:换相失败；摘要:特高压,0.4896522119701436,0.3660533413965997,0.98,A32,False,False,False,medium,medium,high
ZH_0035,光伏接入直流受端电网下直流换相失败影响机理初探,随着“双碳”目标推进，大量新能源发电系统将接入高压直流输电系统受端电网，但鲜有文献涉及该研究场景，新能源接入是否会对直流运行带来不利影响存疑。为此，该文分析了电网发生交流故障后光伏、直流的输出特性及交互影响规律，发现直流发生换相失败后将向光伏输送50、100、150Hz正负序电流分量，导致光伏输出功率及并网点电压的波动，并通过受端电网反馈传递导致直流系统直流电流及超前触发角指令的波动，进而带来直流后续换相失败风险，最后结合PSCAD/EMTDC仿真软件搭建了受端电网含光伏接入的高压直流输电系统模型，并通过仿真验证了上述结论的合理性及有效性。,"['高压直流输电系统', '换相失败', '新能源', '电压波动', '正负序分离']",T14,T25,1.0,0.7059003280032641,摘要:PSCAD,-0.0388587861668193,-0.1007119428338282,0.6155555555555555,T25,A32,A34,11.5,0.4304259957956536,关键词:高压直流；摘要:高压直流；标题:换相失败；关键词:换相失败；摘要:换相失败,0.6082454811975603,0.3912415848757868,0.98,A32,False,False,False,medium,medium,high
ZH_0042,考虑新能源随机波动和T接线的城市电网连锁故障风险评估,新能源的大量接入给城市电网的安全运行和重要用户可靠供电带来很大挑战，其功率的随机波动易引发电网出现连锁故障风险。提出了一种考虑新能源出力随机波动和城市电网110k V网架T接线开关投切的连锁故障风险评估方法。该方法在连锁故障发生概率和后果严重度的计算中都计及了系统状态的概率分布特性的影响，并采用基于半不变量法的概率潮流计算反映系统状态与新能源功率二者的概率分布特性之间的关系。另外，建立包含110 kV网架T接线开关投切的最小切负荷的混合整数非线性规划模型，并以最小切负荷量来表征系统在连锁故障的严重度。此优化模型通过决策故障下的各组T接线开关的投切状态，减少连锁故障下的切负荷量，进而有效降低连锁故障的风险。同时，通过机会约束描述重要用户负荷节点电压的安全运行范围，以确保重要用户负荷不停电的概率满足给定的置信水平，从而保证重要用户的安全可靠供电。最后，通过某个实际城市片区电网算例验证了所提出的连锁故障风险评估方法的正确有效性。,"['连锁故障', '风险评估', '新能源', '概率潮流', '半不变量', 'T接线', '混合整数非线性规划']",T39,T30,5.0,-0.2761840070774631,摘要:机会约束；关键词:概率潮流；摘要:概率潮流,0.1269242086715626,-0.2584571934104513,0.6977777777777778,T30,A34,A37,0.0,0.0015655387715498,,0.1237448927887532,0.0111824197967848,0.4817220926487048,A34,False,False,False,needs_review,medium,needs_review
ZH_0045,基于故障穿越演化特性的SVG电磁暂态模型测辨方法,"建立准确的静止无功发生器(static var generators, SVG)白盒电磁暂态仿真模型是分析电网电压稳定特性的前提。然而，由于SVG的控制器结构和参数保密，其建模大都基于典型控制结构和参数，模型的暂态输出特性与实际差异较大。针对上述问题，提出了基于SVG厂家封装黑盒模型故障穿越(fault ride-through, FRT)演化特性的电磁暂态模型测辨方法。首先，分析了厂家黑盒模型的拓扑特征，通过多工况故障穿越响应测试，厘清了其故障穿越演化特性。然后，通过分析不同控制环节暂态切换过程对SVG故障穿越响应特性的影响和作用途径，提出了基于SVG故障穿越响应演化形态的控制器结构辨识方法。通过分析SVG不同控制环节参数对其故障穿越响应特性的分阶段作用原理，提出了基于故障穿越响应幅值的控制器参数分步辨识方法，形成了SVG的白盒化电磁暂态模型测辨方法体系。最后，将建立的不同型号白盒仿真模型与对应厂家黑盒模型进行了故障穿越响应特性对比分析，发现其误差远小于现行标准的允许误差，证明了提出方法的有效性和通用性。","['厂家黑盒模型', '故障穿越响应特性', '电磁暂态模型', '控制器结构辨识', '控制器参数辨识']",T14,T07,2.0,0.7049406329868019,摘要:电磁暂态仿真；摘要:仿真模型,0.0089426688299468,-0.1075669072371291,0.6711111111111111,T07,A38,A15,4.5,0.7462012080486962,标题:SVG；摘要:SVG,0.2594607215968118,0.1871514860621154,0.8699999999999999,A38,False,False,False,medium,medium,high
ZH_0046,V2G直流充电桩检测方案与检测系统设计,针对现有V2G直流充电桩现场检测装置功能不全面、检测方案单一、控制及管理困难等问题，依据国家相关标准，设计了V2G直流充电桩检测方案和检测系统。首先，根据需要设计了3种检测方案：现场检测方案、实验室检测方案以及动力电池检测方案。不同的检测方案对应V2G充电桩不同检测环境和检测项目。然后，依据3种检测方案给出了检测系统的硬件设计和软件设计，能够实现对V2G直流充电桩充放电功能、直流输出性能、并网性能及保护功能等进行检测。同时还可以对电动汽车动力电池状态进行评估，从而判断电池潜在风险。最后，通过对V2G直流充电桩和车辆动力电池进行不同项目检测。测试结果表明所设计的检测方案和检测系统能够准确实现对V2G直流充电桩的功能和性能检测。,"['V2G直流充电桩', '检测系统', '现场检测', '实验室检测', '通信连接', '数据采集']",T17,T32,3.5,-0.0049196167799259,标题:检测系统设计,0.2640650711283656,-0.0351401198566135,0.6144444444444445,T32,A35,A14,16.0,0.7696357946838532,摘要:电动汽车；标题:充电桩；关键词:充电桩；摘要:充电桩；标题:V2G；关键词:V2G；摘要:V2G,0.5764994047330325,0.3545413905989523,0.98,A35,False,False,False,medium,medium,high
