document_id,technical_cluster_id,application_cluster_id
ZH_0001,T42,A42
ZH_0002,T48,A42
ZH_0003,T43,A40
ZH_0004,T44,A41
ZH_0005,T47,A40
ZH_0007,T37,A35
ZH_0009,T38,A33
ZH_0010,T49,A38
ZH_0013,T49,A38
ZH_0018,T34,A31
ZH_0023,T45,A49
ZH_0026,T44,A41
ZH_0029,T37,A34
ZH_0031,T37,A31
ZH_0032,T14,A32
ZH_0034,T49,A31
ZH_0035,T14,A32
ZH_0036,T40,A31
ZH_0039,T38,A33
ZH_0041,T49,A38
ZH_0043,T49,A35
ZH_0044,T27,A27
ZH_0046,T17,A35
ZH_0047,T46,A44
ZH_0048,T48,A43
ZH_0052,T32,A37
ZH_0054,T34,A34
ZH_0057,T36,A31
ZH_0062,T06,A36
ZH_0065,T39,A31
ZH_0067,T16,A45
ZH_0069,T41,A41
ZH_0072,T46,A40
ZH_0080,T46,A41
ZH_0082,T42,A39
ZH_0083,T46,A39
ZH_0091,T39,A35
ZH_0096,T39,A31
ZH_0100,T44,A42
ZH_0101,T07,A43
ZH_0105,T49,A35
ZH_0108,T13,A31
ZH_0111,T01,A34
ZH_0112,T14,A31
ZH_0119,T39,A34
ZH_0120,T37,A38
ZH_0123,T34,A33
ZH_0126,T10,A40
ZH_0129,T14,A32
ZH_0132,T44,A45
ZH_0142,T48,A45
ZH_0143,T06,A51
ZH_0160,T37,A40
ZH_0161,T44,A41
ZH_0165,T11,A46
ZH_0170,T41,A39
ZH_0172,T42,A42
ZH_0176,T17,A38
ZH_0177,T36,A37
ZH_0180,T19,A31
ZH_0181,T49,A35
ZH_0183,T49,A34
ZH_0187,T35,A34
ZH_0191,T36,A32
ZH_0193,T49,A34
ZH_0197,T40,A31
ZH_0205,T01,A31
ZH_0206,T37,A36
ZH_0213,T37,A31
ZH_0214,T37,A34
ZH_0218,T39,A33
ZH_0220,T39,A31
ZH_0224,T25,A37
ZH_0226,T49,A33
ZH_0227,T49,A38
ZH_0232,T39,A33
ZH_0233,T38,A33
ZH_0244,T49,A31
ZH_0245,T36,A31
ZH_0247,T49,A38
ZH_0261,T45,A48
ZH_0267,T39,A31
ZH_0268,T12,A31
ZH_0273,T35,A31
ZH_0277,T49,A38
ZH_0279,T12,A37
ZH_0293,T26,A51
ZH_0297,T07,A26
ZH_0301,T29,A42
ZH_0304,T24,A34
ZH_0306,T40,A27
ZH_0311,T40,A36
ZH_0313,T01,A26
ZH_0316,T27,A31
ZH_0317,T49,A35
ZH_0319,T26,A31
ZH_0322,T16,A34
ZH_0325,T38,A35
ZH_0330,T14,A46
ZH_0334,T14,A32
ZH_0336,T36,A37
ZH_0341,T36,A37
ZH_0344,T49,A33
ZH_0355,T12,A35
ZH_0357,T49,A38
ZH_0358,T36,A31
ZH_0362,T48,A45
ZH_0364,T43,A39
ZH_0369,T34,A39
ZH_0370,T44,A39
ZH_0372,T48,A39
ZH_0377,T13,A38
ZH_0378,T48,A45
ZH_0379,T06,A45
ZH_0383,T40,A32
ZH_0384,T15,A45
ZH_0387,T48,A43
ZH_0393,T31,A43
ZH_0397,T05,A50
ZH_0400,T42,A31
ZH_0402,T10,A48
ZH_0403,T46,A42
ZH_0405,T31,A40
ZH_0410,T48,A46
ZH_0414,T12,A32
ZH_0418,T42,A39
ZH_0428,T42,A43
ZH_0429,T48,A39
ZH_0430,T43,A45
ZH_0433,T21,A45
ZH_0434,T35,A34
ZH_0438,T13,A35
ZH_0443,T02,A51
ZH_0446,T44,A42
ZH_0448,T21,A45
ZH_0449,T31,A48
ZH_0452,T41,A50
ZH_0454,T28,A33
ZH_0456,T14,A44
ZH_0458,T38,A35
ZH_0470,T30,A42
ZH_0471,T42,A45
ZH_0475,T20,A41
ZH_0477,T41,A39
ZH_0485,T19,A43
ZH_0490,T48,A45
ZH_0492,T37,A35
ZH_0493,T42,A45
ZH_0494,T21,A36
ZH_0495,T29,A42
ZH_0503,T20,A25
ZH_0504,T42,A42
ZH_0508,T42,A39
ZH_0512,T20,A45
ZH_0516,T20,A46
ZH_0520,T45,A40
ZH_0523,T10,A39
ZH_0524,T42,A39
ZH_0527,T20,A50
ZH_0535,T06,A36
ZH_0541,T26,A20
ZH_0543,T13,A42
ZH_0545,T41,A42
ZH_0546,T02,A35
ZH_0549,T42,A43
ZH_0550,T02,A46
ZH_0554,T12,A15
ZH_0557,T41,A50
ZH_0558,T44,A45
ZH_0559,T43,A45
ZH_0561,T06,A34
ZH_0562,T41,A39
ZH_0565,T43,A39
ZH_0567,T15,A32
ZH_0574,T46,A39
ZH_0579,T13,A39
ZH_0580,T46,A45
ZH_0581,T35,A34
ZH_0582,T24,A22
ZH_0585,T18,A24
ZH_0590,T29,A42
ZH_0591,T39,A34
ZH_0593,T46,A44
ZH_0604,T37,A34
ZH_0605,T19,A44
ZH_0611,T39,A33
ZH_0612,T31,A27
ZH_0614,T48,A45
ZH_0617,T24,A39
ZH_0618,T43,A42
ZH_0619,T29,A45
ZH_0621,T37,A45
ZH_0622,T45,A39
ZH_0627,T12,A36
ZH_0628,T02,A46
ZH_0634,T01,A37
ZH_0635,T40,A31
ZH_0637,T15,A44
ZH_0645,T41,A31
ZH_0647,T44,A39
ZH_0651,T42,A50
ZH_0658,T37,A32
ZH_0662,T19,A42
ZH_0663,T48,A50
ZH_0670,T14,A32
ZH_0674,T21,A42
ZH_0675,T46,A41
ZH_0699,T34,A31
ZH_0701,T14,A34
ZH_0703,T13,A33
ZH_0706,T48,A43
ZH_0709,T41,A40
ZH_0712,T24,A40
ZH_0713,T41,A50
ZH_0714,T34,A41
ZH_0715,T48,A46
ZH_0721,T35,A46
ZH_0724,T34,A43
ZH_0727,T17,A39
ZH_0729,T43,A39
ZH_0739,T06,A39
ZH_0741,T12,A10
ZH_0742,T20,A45
ZH_0752,T46,A43
ZH_0753,T46,A39
ZH_0755,T20,A42
ZH_0758,T47,A37
ZH_0765,T10,A35
ZH_0772,T38,A36
ZH_0778,T20,A45
ZH_0779,T46,A28
ZH_0785,T49,A33
ZH_0795,T06,A42
ZH_0799,T42,A43
ZH_0800,T29,A44
ZH_0805,T17,A32
ZH_0810,T14,A37
ZH_0814,T49,A32
ZH_0815,T19,A45
ZH_0816,T10,A45
ZH_0820,T46,A45
ZH_0821,T41,A31
ZH_0822,T49,A38
ZH_0839,T34,A42
ZH_0840,T40,A33
ZH_0844,T48,A39
ZH_0845,T14,A32
ZH_0848,T34,A32
ZH_0851,T34,A31
ZH_0853,T41,A39
ZH_0856,T20,A48
ZH_0861,T36,A31
ZH_0866,T47,A35
ZH_0870,T31,A45
ZH_0873,T18,A45
ZH_0877,T13,A43
ZH_0882,T37,A31
ZH_0896,T36,A37
ZH_0902,T06,A39
ZH_0905,T20,A39
ZH_0906,T37,A35
ZH_0907,T43,A40
ZH_0914,T29,A12
ZH_0915,T28,A46
ZH_0919,T07,A40
ZH_0921,T35,A34
ZH_0922,T31,A47
ZH_0925,T48,A42
ZH_0930,T21,A46
ZH_0938,T46,A42
ZH_0941,T19,A42
ZH_0947,T41,A51
ZH_0949,T44,A41
ZH_0950,T02,A31
ZH_0952,T42,A42
ZH_0958,T02,A43
ZH_0960,T49,A33
ZH_0962,T29,A51
ZH_0965,T43,A43
ZH_0970,T42,A50
ZH_0976,T44,A44
ZH_0983,T49,A45
ZH_0986,T42,A39
ZH_0988,T46,A48
ZH_0991,T06,A43
ZH_1000,T48,A41
