document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0005,数字基础设施与中国城市的空间重构,数字技术为我国经济发展注入了新动能，而数字经济带动城市高质量发展更离不开数字基础设施的支撑。文章从宏观视角出发，基于中国263个地级及以上城市2002—2020年的样本数据，从中心人口密度、人口密度梯度和多中心指数维度探讨了数字基础设施发展水平对城市空间结构动态变化、不同行业企业选址异质性及其影响因素。研究发现：(1)数字基础设施的改善推动了中心城区人口密集程度的上升。这表现为CBD附近人口的密集化，同时人口密度随距离递减的速度加快，表明数字基础设施的扩展为城市中心带来更强的内聚动力，使得该区域更加紧凑。(2)尽管核心区域更为紧凑，但城市也在向多中心化方向发展，呈现出新兴次级中心的形成与扩散。(3)地铁作为高效便捷的公共交通方式，在一定程度上促进了分散，但这并未根本改变人口向城市中心的整体聚集倾向。城市应当因地制宜制定发展政策，缓解中心区域压力，带动城市各区域共同发展。,"['数字基础设施', '交通基础设施', '城市空间结构', '人口密度', '多中心', '集聚与分散', '地铁']",T47,T11,0.0,0.0011392782208053,,0.1021455300899351,0.0081377015771809,0.4812532060428858,T47,A40,A46,8.5,-0.1704592737270649,摘要:数字经济；标题:数字基础设施；关键词:数字基础设施；摘要:数字基础设施,0.521037892564582,0.1240486659246919,0.8600000000000001,A40,False,False,False,needs_review,needs_review,high
ZH_0006,新药研发发展态势分析,新药研发是医药创新发展的关键环节，是新一轮生命科技革命和生物经济变革的核心领域，对引领科技创新、带动经济发展、提升人民健康福祉具有战略意义。当前，前沿技术不断革新、学科跨域融合、数字深度赋能驱动新药研发领域创新日趋活跃，国内外创新性小分子药物、抗体药物、免疫细胞治疗、基因治疗与核酸药物等密集获批上市，为未满足的临床需求提供更多选择。文章深入分析新药研发领域发展趋势、全球新药批准情况，以及我国新药研发发展现状与态势，提出发展启示与建议，以期为新药研发领域发展提供参考。,"['新药', '抗体药物', '细胞治疗', '启示', '建议']",T45,T09,3.5,0.7305884566444985,标题:发展态势,0.2476757610422523,0.0756318331749887,0.8144444444444445,T45,A40,A29,1.0,-0.6688599295714908,摘要:科技创新,0.152084546220775,-0.3204280683677913,0.4755555555555555,A29,False,False,False,needs_review,high,needs_review
ZH_0008,含换流器型分布式电源配电网的不对称短路电流计算方法,"为了满足配电网不对称短路计算的通用性要求，针对换流器型分布式电源(inverter based distributed generation,IBDG)不对称短路特征的多样性，研究含IBDG配电网的不对称短路电流计算方法。该方法从通用计算模型出发，根据IBDG不对称短路的正负序电流控制原理及在不同控制目标下的短路电流输出特性，结合低电压穿越和限流控制对IBDG输出不对称短路电流的具体要求，建立一种通用的、适用于多种控制目标的IBDG不对称短路正负序等效模型。基于该模型建立含IBDG配电网通用的不对称短路等效电路和计算方程，得到一种适用于多种IBDG控制目标的、配电网任意节点发生任意不对称短路的短路电流通用计算流程。最后，在一个配电网算例中对所提计算方法进行验证，结果表明了所提方法的正确性和有效性。","['配电网', '不对称短路电流计算', '换流器型分布式电源', '控制原理', '通用计算']",T49,T40,1.0,-0.6709554966286836,摘要:低电压穿越,0.1331612777595146,-0.2547241355830342,0.4755555555555555,T40,A31,A32,15.0,0.3944796737754997,标题:配电网；关键词:配电网；摘要:配电网；标题:分布式电源；关键词:分布式电源；摘要:分布式电源,0.2743787376592881,0.2462833841107129,0.98,A31,False,False,False,needs_review,needs_review,high
ZH_0011,适应能源转型发展的输配电价动态激励机制研究,在能源转型的背景下，“重约束，轻激励”的输配电定价方式已不适应输配电网络低碳、安全、高效转型的发展需求。因此，该文设计了一种激励与约束相容的输配电价动态激励机制，研究表明：转型阶段下，需要进一步通过优化电网投资结构，减少投资冗余来提高输配电网络运营效率，电网仍是成本超支风险的主要承担者；省级电网的低碳、安全、高效之间的耦合协调程度整体呈现为逐年提升；所提激励机制兼顾差异性和公平性，有利于各省输配电网的清洁、低碳、可持续发展。,"['新型电力系统', '输配电价', '数据包络分析', '耦合协调', '动态激励机制']",T41,T44,3.0,0.7119876732004538,关键词:数据包络分析,0.2423714401466401,-0.0572309057110446,0.7266666666666667,T44,A31,A36,1.0,-0.6293866961016128,摘要:配电网,0.1511986045199086,-0.0384764007258062,0.4755555555555555,A36,False,False,False,needs_review,medium,needs_review
ZH_0012,基于临界超标样本扩充的数据驱动短路电流超标精准校验方法,"短路电流超标校验中，针对现有技术在临界超标场景下存在计算精度不足、易误判的缺陷，提出一种基于临界超标样本扩充的数据驱动短路电流超标精准校验方法。首先，在短路电流领域首次采用生成对抗网络(generative adversarial networks,GAN)产生与蒙特卡洛模拟具有相同效力的大量样本，再筛选其中的临界超标样本；其次，设计了一种临界超标占比高、非临界超标占比低的新型样本构成方式，据此融合GAN生成临界超标样本与蒙特卡洛仿真样本以形成数据驱动样本集；继而，采用数据驱动的代表性回归算法LightGBM开展短路电流超标校验；最后，仿真结果表明所提方法能有效提高短路电流超标的校验准确度，相比其他物理计算方法和数据驱动方法具有更高效率和计算精度，以及更快的计算速度。","['短路电流超标校验', '临界超标样本扩充', '生成对抗网络', '数据驱动']",T36,T01,4.0,-0.2054024522822424,关键词:短路电流超标校验；摘要:短路电流超标校验,-0.1117640550362482,-0.4385889448731597,0.6422222222222222,T01,A27,A30,1.0,0.7116247861912713,摘要:物理,0.0457096306496436,-0.0598229557766328,0.6155555555555555,A30,False,False,False,needs_review,medium,needs_review
ZH_0015,基于分层有向图与动态时空相关性的小区域光伏超短期预测方法,"小区域光伏发电功率准确预测，已成为高渗透多台区系统精准调控运行的技术瓶颈。目前光伏发电功率的预测方法缺乏对台区小区域内光伏集群效应的考虑，忽略了输入变量的内在因果关系以及动态相关性。针对于上述问题，提出一种基于分层有向图以及动态图卷积循环网络(dynamic graph convolutional recurrent network,DGCRN)的小区域光伏预测方法。首先，考虑出力数据与数值天气预报(numerical weather prediction,NWP)单向关系，生成具有因果联系的分层有向图。其次，依据节点属性在每个时间步生成动态图，与预先定义的静态图有机结合，以捕捉节点之间的动态时空相关性。最后，将具有动态时空相关性的图结构用于模型训练。以某个小区域台区29个光伏节点加以预测建模，实验结果表明，DGCRN模型具备捕获多参量间的因果规律和提取光伏功率的短期动态特征的能力，其在小区域多节点的光伏发电功率预测性能优越。","['分层有向图', '动态相关性', '图卷积网络', '区域台区光伏预测']",T35,T11,8.0,0.6689269772630562,标题:超短期预测；标题:短期预测；摘要:功率预测,0.436183270116704,0.2780498375932584,0.98,T35,A31,A34,4.0,-0.4032084284822624,关键词:台区；摘要:台区,0.0139678250516411,-0.1573711278144799,0.6422222222222222,A34,False,False,False,needs_review,high,needs_review
ZH_0024,电信隐性转移支付对工业企业资本循环的影响,文章结合2003—2015年中国工业企业微观数据和省市宏观数据，对电信隐性转移支付进行定义和测度，并从理论和实证上探究了其对工业企业资本循环的影响。结果表明：(1)各省份电信隐性转移支付呈现出明显的时序变化和空间分布特征，总体上东部地区存在电信资源隐性转出，中西部地区存在电信资源隐性转入。(2)理论和实证分析表明，电信隐性转移支付对工业企业资本循环存在正向影响，并且在进行内生性分析和稳健性检验后结论依然成立。(3)异质性分析表明，相对于出口企业和发达地区企业而言，内销企业和欠发达地区企业资本循环受到电信隐性转移支付的提升效应更大，从而在一定程度上有利于促进国内大循环、缩小区域发展差距。,"['电信隐性转移支付', '工业资本循环', '国内大循环', '区域发展差距', '新发展格局']",T07,T15,0.0,0.004139431791791,,0.1317899087345335,0.0295673699413647,0.4845533749709702,T07,A39,A43,0.0,-0.7454791686694243,,0.04895649516258,-0.1819940619244597,0.26,A43,False,False,False,needs_review,needs_review,needs_review
ZH_0026,省域新型城镇化与共同富裕耦合协调水平的时空特征及其影响因素,新型城镇化是我国实现共同富裕的必经之路。文章采用极差法、熵值法等构建指标体系，运用ArcGIS和SDM等方法，从时间和空间维度对我国31个省份2011—2020年新型城镇化与共同富裕耦合协调的空间演化与影响因素展开了分析。研究发现：(1)整体上我国新型城镇化与共同富裕的耦合协调度逐年上升，但仍存在提升空间，且区域差异较为明显。(2)东部地区的耦合协调度明显高于全国水平，中部地区与全国水平较为接近，西部地区低于其他地区，但耦合协调水平逐步提升，与其他区域的差距正在缩小。(3)新型城镇化与共同富裕的耦合协调度存在明显的空间集聚效应，集聚效应逐年增加。(4)科技支出水平、数字化水平、机械化水平、信贷水平等对我国新型城镇化与共同富裕耦合协调发展有着不同程度的影响，其中科技支出水平的影响最大。分区域来看，无论是直接效应还是间接效应抑或是总效应，其对东部地区耦合协调度的影响比中西部大。,"['新型城镇化', '共同富裕', '耦合协调', '空间集聚', '科技', '数字化', '信贷']",T44,T48,1.0,-0.3285150264534816,摘要:耦合协调度,0.3404851137394612,0.2248926681894161,0.5355555555555556,T44,A41,A39,15.0,0.7427199545706646,标题:城镇化；关键词:城镇化；摘要:城镇化；标题:共同富裕；关键词:共同富裕；摘要:共同富裕,0.6244584342499181,0.5051425326476048,0.98,A41,False,False,False,needs_review,needs_review,high
ZH_0027,考虑大规模风光分层接入的配电网多层协调无功优化方法,大量风光新能源分层、多点接入给配电网运行带来了电压越限等负面影响，增加了不同电压等级无功协同优化的难度。兼顾不同电压等级调节需求，从模型降维等值的角度，提出了基于等值模型的配电网多层协调无功优化方法。该方法分别针对含有无功调节设备及没有无功调节设备的两种台区系统，利用神经网络对大量台区相关运行数据进行训练得到台区拟合模型，形成不可控和可控两种类型的台区等值模型，并用这两类拟合模型分别代替两类台区系统的物理模型，使台区以数据驱动的方式参与配电网无功优化，形成馈线物理模型和台区拟合模型组成的单一电压等级物数混合优化调度模型。将原多层无功优化问题转换为单层系统优化问题，再对该单层系统无功优化调度问题进行求解。该方法可降低配电网系统优化计算规模，从而减小计算量，以无功优化数学模型与数据驱动方法相结合的方式，实现配电网馈线-台区多层协调无功优化。通过算例验证了所提方法对于解决分布式风光分层接入所导致电压越限问题的可行性、有效性和优越性，能够保障配电网的经济安全稳定运行。,"['配电网', '无功优化', '多层协调', '数据驱动']",T37,T40,1.0,0.0216175716224467,摘要:优化调度,0.2704626477377983,0.1544112258746195,0.5593348843402468,T37,A31,A34,9.5,0.4004753256222101,标题:配电网；关键词:配电网；摘要:配电网；摘要:台区；摘要:馈线,0.1932000412920991,0.153771122865411,0.98,A31,False,False,False,needs_review,needs_review,high
ZH_0030,基于关系超图增强Transformer的智能站二次设备故障诊断研究,"随着智能变电站二次设备的状态感知与自描述能力不断提升，在提高电网调控细粒度的同时，其海量、驳杂、离散的状态信息也使故障诊断难度倍增。为提高二次设备故障诊断精度与效率，提出基于关系超图增强Transformer的二次设备故障诊断算法。首先利用Apriori算法挖掘故障信号间的关联规则，构建关系超图。然后利用超图卷积神经网络(hypergraph convolutional neural network, HGCN)和微调标准Transformer网络学习故障特征间的高阶关系和上下文表达，再经过误差反向传播、非线性传递函数预测故障类型。最后，以某地区一年的二次设备运行数据作为算例进行分析。结果表明，所提方法能够去除冗余信息干扰，准确定位故障元件和诊断故障类型，为智能运维提供支持。","['关系超图', '超图卷积神经网络', '故障预测', '二次设备', '设备关联模型']",T36,T01,4.5,-0.4050067162131792,标题:故障诊断；摘要:故障诊断,0.2078177771095765,-0.472737048581532,0.6699999999999999,T01,A37,A09,0.0,0.0151842904014829,,0.3269786527143418,0.1084592171534497,0.4967027194416312,A37,False,False,False,needs_review,medium,needs_review
ZH_0031,极端气象灾害下考虑MESS主动调控的配电网故障恢复策略,"针对极端灾害天气下配电网的故障恢复问题，计及极端灾害的时空演变特性，提出了一种利用移动储能(mobile energy storage system, MESS)的灵活性主动参与抑制合环冲击电流，辅助配电网故障恢复的策略。首先，建立了暴风雨等不同气象灾害条件下配电线路的故障率统计模型。其次，将复杂交通网与配电网进行耦合，建立了以最小化MESS调度时空成本的上层预布局模型。然后，分析了MESS出力对冲击电流的影响，以抑制合环冲击电流、最大化负荷恢复率和最小化MESS调度成本为目标，构建了MESS参与网络重构的下层调度模型。最后，在改进的IEEE 123节点系统中进行测试，验证了MESS对配网故障恢复安全性的提升效果。结果表明，采用MESS主动参与调控能够有效应对移动的极端气象灾害引发的配电网动态故障恢复问题，并抑制合解环过程中电流的波动，提升网络重构方案的可行性和增强配电网的韧性。","['配电网', '气象灾害', '合环冲击电流', '移动储能', '故障恢复']",T37,T13,1.0,0.0006535876474937,摘要:网络重构,0.1639865832808535,0.0046684831963836,0.5362745019677987,T37,A31,A37,7.5,-0.0332747539494308,标题:配电网；关键词:配电网；摘要:配电网,0.0986520038866202,-0.2376768139245059,0.8,A37,False,False,False,needs_review,needs_review,high
ZH_0034,含逆变型分布式电源外电网的短路计算等值及其影响因素分析,大量逆变型分布式电源接入会对电网短路电流计算及电网等值产生影响。该文提出了含逆变型分布式电源外电网的多端口戴维南等值方法，分析了等值参数的影响因素。首先，基于多端口电网络理论推导了外电网等值多端口的戴维南等值电路模型和参数表达式，分布式电源对等值电路的影响主要体现在开路等效电压。其次，根据开路电压计算公式，分析了分布式电源对开路等效电压的影响因素和规律。电网故障期间分布式电源可等效为压控电流源，其输出电流受独立电压源、等值端口电压及分布式电源低穿控制策略等的影响。然后，分析了等值端口电压、分布式电源容量、独立交流电源强弱对等效开路电压的影响规律，得到了等效开路电压随端口电压、分布式电源容量和外部电源内阻抗的变化曲线。通过IEEE33节点电网和某220kV高压电网仿真验证了等值方法和影响因素分析的正确性。,"['多端口戴维南等值', '逆变型分布式电源', '短路电流计算']",T49,T40,1.0,-0.6864065079052373,摘要:控制策略,0.1042145106121404,-0.4029036278945521,0.4755555555555555,T40,A31,A30,7.5,0.761018076585935,标题:分布式电源；关键词:分布式电源；摘要:分布式电源,0.3709151097924394,0.2929862613281072,0.98,A31,False,False,False,needs_review,needs_review,high
ZH_0036,含储能接入的三相配电网分布式可再生能源可调度域建模与计算,"分布式可再生能源(distributed renewable energy,DRE)发电可调度域用于定量描述电力系统适应DRE发电不确定性的能力。目前可调度域的相关研究聚焦于采用单相模型描述输电系统，鲜有讨论具有高阻抗比与三相不平衡特性的配电网，亦未计及储能系统广泛接入所带来的影响，因此难以准确地应用于新型配电网分析。针对上述问题，该文建立了含储能接入的配电系统可调度域数学模型，充分考虑了配电网相间耦合与三相不平衡特点以及储能系统的充放互补特性；采用凸包松弛和多面体外近似重构配电网交流潮流模型，并通过凸包络近似替代处理储能的互补松弛约束，得到配电网可调度域的多面体外近似模型，从而由自适应约束生成算法构建其线性边界。算例仿真结果表明所提出模型能较好地适应含储能接入的三相配电网可调度域分析，并验证了所提出方法的结果准确性与计算效率。","['可调度域', '分布式可再生能源发电', '配电网', '三相不平衡', '储能系统']",T40,T39,0.0,0.0028074331050224,,0.1060870735040903,0.0200530936073032,0.4830881764155247,T40,A31,A34,8.5,0.0554266417642708,标题:配电网；关键词:配电网；摘要:配电网；摘要:配电系统,0.1829069547946115,-0.2091374327762169,0.860969305940698,A34,False,False,False,needs_review,needs_review,high
ZH_0037,一种基于圆周运动轨迹方程的电力系统基波频率测量方法,随着新能源的大规模接入，系统惯量降低，电力系统的频率波动变得剧烈，增加了频率准确测量的难度，而频率的测量精度直接关系着电力系统各类基于频率控制应用的有效性。因此，该文从圆周运动角度，提出了一种新颖的频率精确测量方法。该方法建立了电力系统电压信号正弦变化的旋转相量圆周运动表征模型，基于匀速圆周运动和变速圆周运动的轨迹运动方程，推导了旋转相量及其导数与系统频率之间的函数关系；利用二次多项式拟合电压信号动态变化的幅值和相角，提出了基于最小二乘法的旋转相量及其导数求解方法，进一步，提出了基于频率网格化的迭代优化方法，消除了频率偏移对算法的影响。仿真和硬件测试表明，所提算法在频率偏移、线性和非线性变化条件下均能准确地测量基波频率。,"['频率测量', '旋转相量', '圆周运动', '最小二乘法']",T17,T13,1.0,-0.0300013748562956,摘要:硬件测试,-0.0772735054673543,-0.2142955346878254,0.4755555555555555,T40,A31,A10,0.0,0.0007281036755047,,0.0731564593755406,0.0052007405393192,0.4808009140430552,A31,False,False,False,needs_review,needs_review,needs_review
ZH_0040,基于双向循环插补网络的分布式光伏集群时序数据耦合增强方法,分布式光伏点多面广、局部渗透率高、安装环境复杂多变，真实可靠的量测数据是其性能分析、出力预测、运维调控的基础。然而，传感器故障和通信堵塞等因素会造成量测值缺失，恶化原始数据质量，进而影响配电网运行决策的准确性。传统数据修复方法只考虑单一量测值的分布特征，忽略了多维时序数据的潜在耦合关系，修复精度有限。为此，该文提出一种基于双向多阶段循环插补网络和Seq2SeqAttention的时序数据耦合增强方法，改进了循环插补网络的结构，并引入衰减机制，能利用少量未缺失数据，潜在地挖掘原始数据的整体分布规律，一次性对多个光伏场站完成高质量数据修复。实验结果表明，所提方法在高比例缺失情况下仍有良好的修复性能，可明显增强分布式光伏集群的基础数据质量，提升电网运营商对光伏集群的细粒度感知能力。,"['缺失数据修复', '双向循环插补网络', '耦合时序数据', '分布式光伏集群']",T38,T01,0.0,0.0025627493421164,,0.120893485393816,0.0183053524436889,0.482819024276328,T38,A31,A34,1.0,-0.682995505287167,摘要:配电网,0.1779754113125332,-0.0785393234797647,0.4755555555555555,A34,False,False,False,needs_review,needs_review,needs_review
ZH_0042,考虑新能源随机波动和T接线的城市电网连锁故障风险评估,新能源的大量接入给城市电网的安全运行和重要用户可靠供电带来很大挑战，其功率的随机波动易引发电网出现连锁故障风险。提出了一种考虑新能源出力随机波动和城市电网110k V网架T接线开关投切的连锁故障风险评估方法。该方法在连锁故障发生概率和后果严重度的计算中都计及了系统状态的概率分布特性的影响，并采用基于半不变量法的概率潮流计算反映系统状态与新能源功率二者的概率分布特性之间的关系。另外，建立包含110 kV网架T接线开关投切的最小切负荷的混合整数非线性规划模型，并以最小切负荷量来表征系统在连锁故障的严重度。此优化模型通过决策故障下的各组T接线开关的投切状态，减少连锁故障下的切负荷量，进而有效降低连锁故障的风险。同时，通过机会约束描述重要用户负荷节点电压的安全运行范围，以确保重要用户负荷不停电的概率满足给定的置信水平，从而保证重要用户的安全可靠供电。最后，通过某个实际城市片区电网算例验证了所提出的连锁故障风险评估方法的正确有效性。,"['连锁故障', '风险评估', '新能源', '概率潮流', '半不变量', 'T接线', '混合整数非线性规划']",T39,T30,5.0,-0.2761840070774631,摘要:机会约束；关键词:概率潮流；摘要:概率潮流,0.1269242086715626,-0.2584571934104513,0.6977777777777778,T30,A34,A37,0.0,0.0015655387715498,,0.1237448927887532,0.0111824197967848,0.4817220926487048,A34,False,False,False,needs_review,medium,needs_review
ZH_0047,基于自然的青藏高原一体化生态保护修复优化管理,青藏高原对中国乃至全球起着重要的生态安全屏障作用，近年来生态环境状况总体改善。但青藏高原在重点攻坚和协同治理、自然恢复和人工修复、高质量发展和高水平保护等关系处理上仍存在诸多管理挑战。文章提出利用“基于自然的解决方案”开展适应性管理，建议基于“三级尺度框架”落实生态保护修复规划，基于定量化的生态监测、评估和预警数据开展气候变化和人类扰动下的生态保护修复工程适应性管理，基于利益相关方协同治理提升生态保护修复的公众参与度，从而实现基于自然的青藏高原一体化生态保护修复优化管理。,"['基于自然的解决方案', '适应性管理', '景观尺度', '社区参与']",T46,T19,0.0,0.0004696350589051,,0.1188809885799447,0.0033545361350367,0.4805165985647956,T46,A44,A28,4.5,0.5934634005009105,标题:生态保护；摘要:生态保护,0.371212799884161,0.2390242892922175,0.8699999999999999,A44,False,False,False,needs_review,needs_review,high
