topic_id,axis,parent_category_id,parent_label_zh,parent_label_en,topic_name_zh,topic_name_en,definition_zh,definition_en,language,aliases,positive_evidence,negative_evidence,support_count,prototype_document_ids,prototype_titles,granularity_level,status,cluster_stability_nmi,parent_silhouette,direct_match_threshold,review_match_threshold,version,discovery_source
AS-A04-ZH-001,application,A04,神经精神与心理健康,"Neurological, Psychiatric and Mental Health",神经精神与心理健康,"Neurological, Psychiatric and Mental Health — Chinese evidence topic 1",属于“神经精神与心理健康”父类，重点聚焦于神经精神与心理健康。,"A Chinese-language fine-grained topic under Neurological, Psychiatric and Mental Health; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],1,['ZH_0598'],['当代中国人的文化认同'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
AS-A08-ZH-001,application,A08,妇产儿科与生殖健康,"Obstetrics, Pediatrics and Reproductive Health",妇产儿科与生殖健康,"Obstetrics, Pediatrics and Reproductive Health — Chinese evidence topic 1",属于“妇产儿科与生殖健康”父类，重点聚焦于妇产儿科与生殖健康。,"A Chinese-language fine-grained topic under Obstetrics, Pediatrics and Reproductive Health; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],1,['ZH_0556'],['2010—2016年中国多维贫困动态分析——基于中国家庭跟踪调查(CFPS)数据的实证研究'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
AS-A09-ZH-001,application,A09,医学影像、诊断与医疗器械,"Medical Imaging, Diagnostics and Medical Devices",医学影像、诊断与医疗器械,"Medical Imaging, Diagnostics and Medical Devices — Chinese evidence topic 1",属于“医学影像、诊断与医疗器械”父类，重点聚焦于医学影像、诊断与医疗器械。,"A Chinese-language fine-grained topic under Medical Imaging, Diagnostics and Medical Devices; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],7,"['ZH_0189', 'ZH_0575', 'ZH_0578', 'ZH_0222', 'ZH_0089']","['基于Transformer与单分类支持向量机的窃电时间识别方法', '考虑CT饱和干扰的电力变压器励磁涌流识别方法', '基于敏感气温空间分布的度夏度冬日最大负荷预测与应用研究', '计量用低压电流互感器直流偏磁下的误差计算方法和特性研究', '基于子空间分解的电缆缺陷定位方法']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A10-ZH-001,application,A10,公共卫生、护理与卫生服务,"Public Health, Nursing and Health Services",公共卫生、护理与卫生服务,"Public Health, Nursing and Health Services — Chinese evidence topic 1",属于“公共卫生、护理与卫生服务”父类，重点聚焦于公共卫生、护理与卫生服务。,"A Chinese-language fine-grained topic under Public Health, Nursing and Health Services; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],2,"['ZH_0741', 'ZH_0780']","['关于科技在应对重大突发公共卫生事件中发挥统筹协同作用的思考', '加强我国公共卫生管理的若干建议']",2,candidate,1.0,0.0,0.6891,0.5491,8.0,v7_zh_high_medium_gold
AS-A12-ZH-001,application,A12,生态保护与农业生物,Ecological Conservation and Agricultural Biology,生态保护与农业生物,Ecological Conservation and Agricultural Biology — Chinese evidence topic 1,属于“生态保护与农业生物”父类，重点聚焦于生态保护与农业生物。,A Chinese-language fine-grained topic under Ecological Conservation and Agricultural Biology; its main evidence is recorded in the aliases and positive-evidence fields.,zh,[],[],[],2,"['ZH_0914', 'ZH_0631']","['北亚热带山地生物多样性的长期监测研究及生态建设', '中国生物多样性科学研究进展评述']",2,candidate,1.0,0.0,0.6941,0.5541,8.0,v7_zh_high_medium_gold
AS-A15-ZH-001,application,A15,结构材料、聚合物与复合材料,"Structural Materials, Polymers and Composites",结构材料、聚合物与复合材料,"Structural Materials, Polymers and Composites — Chinese evidence topic 1",属于“结构材料、聚合物与复合材料”父类，重点聚焦于结构材料、聚合物与复合材料。,"A Chinese-language fine-grained topic under Structural Materials, Polymers and Composites; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],1,['ZH_0554'],['非晶合金材料发展趋势及启示'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
AS-A20-ZH-001,application,A20,机器人、自动控制与自主系统,"Robotics, Automatic Control and Autonomous Systems",机器人、自动控制与自主系统,"Robotics, Automatic Control and Autonomous Systems — Chinese evidence topic 1",属于“机器人、自动控制与自主系统”父类，重点聚焦于机器人、自动控制与自主系统。,"A Chinese-language fine-grained topic under Robotics, Automatic Control and Autonomous Systems; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],1,['ZH_0541'],['中国机器人产业发展现状与展望'],2,candidate,1.0,0.0,0.96,0.82,8.0,v7_zh_high_medium_gold
AS-A22-ZH-001,application,A22,分子生物学、遗传与细胞机制,"Molecular Biology, Genetics and Cellular Mechanisms",分子生物学、遗传与细胞机制,"Molecular Biology, Genetics and Cellular Mechanisms — Chinese evidence topic 1",属于“分子生物学、遗传与细胞机制”父类，重点聚焦于分子生物学、遗传与细胞机制。,"A Chinese-language fine-grained topic under Molecular Biology, Genetics and Cellular Mechanisms; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],5,"['ZH_0616', 'ZH_0582', 'ZH_0744', 'ZH_0262', 'ZH_0948']","['人工基因线路的研究进展和未来挑战', '基因编辑技术:进展与挑战', '面向生物合成的代谢工程策略设计', '世界主要国家生物医药创新系统的案例研究', '基于GWR和sDNA模型的广州市路网形态对住宅价格影响的时空分析']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A24-ZH-001,application,A24,经济政策、社会治理与法律,"Economic Policy, Social Governance and Law",经济政策、社会治理与法律,"Economic Policy, Social Governance and Law — Chinese evidence topic 1",属于“经济政策、社会治理与法律”父类，重点聚焦于经济政策、社会治理与法律。,"A Chinese-language fine-grained topic under Economic Policy, Social Governance and Law; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],5,"['ZH_0467', 'ZH_0806', 'ZH_0298', 'ZH_0585', 'ZH_0300']","['我国网络信息安全发展的探讨', '大数据技术赋能法律监督', '构建数智安全新格局 保障新发展格局', '从“行政治理”到“社会治理”:长株潭试验区治理模式的转型', '人胚胎来源细胞在生物医药领域的应用历史及研究和监管进展']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
AS-A25-ZH-001,application,A25,教育培训与科研能力建设,"Education, Training and Research Capacity Building",教育培训与科研能力建设,"Education, Training and Research Capacity Building — Chinese evidence topic 1",属于“教育培训与科研能力建设”父类，重点聚焦于教育培训与科研能力建设。,"A Chinese-language fine-grained topic under Education, Training and Research Capacity Building; its main evidence is recorded in the aliases and positive-evidence fields.",zh,[],[],[],7,"['ZH_0517', 'ZH_0849', 'ZH_0722', 'ZH_0503', 'ZH_0707']","['中国科学技术发展应重视的几个问题', '中国人才培养急需“双重转型”', '基于地域差异分析的高等院校与科研院所科教协同发展研究', '国际科学教育发展的对比研究――理念、主题与实践的革新', '美国科赫研究所开展融合科学的实践与启示']",2,stable,1.0,0.0,0.42,0.28,8.0,v7_zh_high_medium_gold
