document_id,ch_name,ch_abstract,keywords,technical_cluster_id,technical_secondary_id,technical_evidence_score,technical_margin,technical_evidence,technical_semantic_score,technical_semantic_margin,technical_confidence,technical_semantic_top,application_cluster_id,application_secondary_id,application_evidence_score,application_margin,application_evidence,application_semantic_score,application_semantic_margin,application_confidence,application_semantic_top,abstract_missing,title_missing,keywords_missing,gold_quality,technical_gold_quality,application_gold_quality
ZH_0019,基于参数自修正的配电网故障定位数字孪生技术研究,"配电网参数受天气条件和负载条件等因素影响会发生变化。由于传感装置安装有限、数据延时传输等因素，无法实时获得配电网准确参数，进而给传统故障定位方法的精度带来影响。针对以上问题，通过建立配电网数字孪生模型，基于配电网数字孪生模型的参数自修正技术，提出了一种定位模型随参数变化动态校正的配电网故障定位方法。同时，搭建了基于数字孪生服务器和实时数字仿真系统(real time digital system, RTDS)的数字孪生平台，实现了配电网实时的物理模型和数字孪生模型的同步运行。在算例仿真中，利用该数字孪生平台，验证了基于数字孪生技术的配电网故障定法方法。结果表明，该方法可在各类系统运行条件下实时修正配电网参数，显著提高配电网故障定位的速度和精度。","['数字孪生', '故障定位', '参数辨识', '最小二乘法', '正则化正交匹配追踪重构算法']",T36,T47,7.5,-0.0251364152132015,标题:故障定位；关键词:故障定位；摘要:故障定位,0.171777408079338,-0.179545822951439,0.8,T47,A31,A27,4.5,0.563894622117904,标题:配电网；摘要:配电网,0.0848316834450378,0.0278187294135998,0.8099999999999999,A37,False,False,False,high,high,high
ZH_0022,“技术—组织—环境”视域下数字经济赋能低碳转型发展的路径,数字经济的蓬勃发展为深入推进低碳转型提供了有力的技术、管理和制度手段，但我国现阶段仍存在数字技术创新水平有限、数字人才供给能力不足、数字治理体系亟待健全等问题，制约了数字经济对于低碳转型发展的赋能作用。文章基于“技术—组织—环境”（TOE）框架，探讨数字经济对低碳转型发展影响的技术迭代路径、管理变革路径及制度优化路径，阐述数字经济在低碳转型发展中的重要作用，为促进我国发展数字经济助力“双碳”目标实现提出政策建议。,"['数字经济', '低碳转型', 'TOE框架', '节能减排', '碳中和']",T46,T10,3.0,0.7305298388128671,关键词:TOE框架,0.1996848008779714,0.0752131343776233,0.7866666666666666,T46,A40,A44,8.5,-0.1004338965984548,标题:数字经济；关键词:数字经济；摘要:数字经济；摘要:技术创新,0.5617024216292078,0.2622068610314444,0.8600000000000001,A40,False,False,False,high,high,high
ZH_0025,黄河上游地区市域数字经济与绿色发展耦合协调度及提升路径,“数字中国”与“美丽中国”建设背景下，解析数字经济与绿色发展的耦合协调关系是推进区域高质量发展的重要议题。文章以黄河上游17个地级市为研究区，基于熵权法、耦合协调度模型与障碍度模型，剖析2010—2019年数字经济与绿色发展耦合协调关系时空演变特征及障碍因子，进而提炼不同类型区数字经济与绿色发展耦合协调发展的提升路径。结果表明：(1)研究期内耦合协调度呈“V”字形态势，形成北部优于中、南部的空间格局，且多中心趋势明显。(2)影响数字经济与绿色发展2个子系统耦合协调发展的突出问题集中于产业基础设施建设、技术与人才的投入以及对人民生活和环境的影响。(3)研究区耦合协调发展类型区可划分为高数字化—高绿色化区（H-H型）、高数字化—低绿色化区（H-L型）、低数字化—高绿色化区（L-H型）、低数字化—低绿色化区（L-L型）4类。(4)H-H型应以城市群或中心城市为发展核心，H-L型应以主导产业转型升级为目标导向，L-H型应以健全数字经济产业基础为发展手段，L-L型应以吸引外部投资与承接产业转移为发展关键。,"['黄河上游地区', '数字经济', '绿色发展', '耦合协调度', '城市群与中心城市', '基础设施', '人才']",T44,T41,8.5,0.7153890511610803,标题:耦合协调度；关键词:耦合协调度；摘要:耦合协调度；摘要:障碍度模型,0.5918387699070222,0.5721066679572964,0.98,T44,A40,A44,7.5,0.0217525481338428,标题:数字经济；关键词:数字经济；摘要:数字经济,0.332649877639712,0.1553753438131634,0.8839278029472273,A40,False,False,False,high,high,high
ZH_0028,基于健康指数的架空线路运行状态评价方法研究,针对现有架空线路运行状态评估存在的问题，提出一种基于健康指数的架空线路运行状态综合评估方法。该方法结合架空线路运行特点，综合考虑线路本体及天气、环境等外力因素影响，系统地研究了影响线路健康状况的各级关键因素及其影响系数。考虑不同影响因素重要程度，采取定性、定量相结合的方式，提出了层次分析法、优劣解距离法、专家研讨法三者相结合的线路健康指数计算方法。利用该方法对南京某实际110 kV架空线路运行状态进行现场验证，证明了所提方法的有效性。所提方法不仅适用于架空线路健康状态的评估，也可为其他电力设备的健康状态评估提供参考。,"['健康指数', '架空线路', '状态评价']",T41,T28,8.5,0.7474206149374509,摘要:层次分析法；标题:健康指数；关键词:健康指数；摘要:健康指数,0.4597475322203396,0.1958615352675072,0.98,T41,A37,A08,6.5,0.7207395805803887,标题:状态评价；关键词:状态评价,0.2478827478675447,0.0052827184313475,0.98,A37,False,False,False,high,high,high
ZH_0033,交流故障下高压直流系统无功特性分析及无功控制策略研究,"现有低压限流环节(voltage dependent current order limitation,VDCOL)使得高压直流系统的有功和无功强耦合，不能在交流故障持续及恢复过程中充分利用换流站自身的无功支撑能力来改善其恢复性能。该文以CIGRE HVDC标准测试模型与贵广Ⅱ工程模型作为算例，对两种模型交流故障下的直流电流及无功功率可运行范围进行了分析计算，并在PSCAD/EMTDC仿真程序中进行了验证；接着，对VDCOL的外特性进行了分析，结果表明其输出的直流电流指令不在所计算的可运行范围内；最后，采用了一种替换VDCOL的无功控制策略，该策略不仅能保证故障下直流两侧的控制指令位于可运行范围内，也能改善高压直流系统的故障恢复性能。","['高压直流', '无功功率', '换相失败', '交流故障']",T49,T14,4.5,0.574996384642426,标题:控制策略；摘要:控制策略,0.084210100029373,0.1071170331601849,0.8099999999999999,T13,A32,A37,12.5,0.7203904120607887,标题:高压直流；关键词:高压直流；摘要:高压直流；摘要:HVDC；关键词:换相失败；摘要:换流站,0.5765657670720957,0.4142172290056332,0.98,A32,False,False,False,high,high,high
ZH_0045,基于故障穿越演化特性的SVG电磁暂态模型测辨方法,"建立准确的静止无功发生器(static var generators, SVG)白盒电磁暂态仿真模型是分析电网电压稳定特性的前提。然而，由于SVG的控制器结构和参数保密，其建模大都基于典型控制结构和参数，模型的暂态输出特性与实际差异较大。针对上述问题，提出了基于SVG厂家封装黑盒模型故障穿越(fault ride-through, FRT)演化特性的电磁暂态模型测辨方法。首先，分析了厂家黑盒模型的拓扑特征，通过多工况故障穿越响应测试，厘清了其故障穿越演化特性。然后，通过分析不同控制环节暂态切换过程对SVG故障穿越响应特性的影响和作用途径，提出了基于SVG故障穿越响应演化形态的控制器结构辨识方法。通过分析SVG不同控制环节参数对其故障穿越响应特性的分阶段作用原理，提出了基于故障穿越响应幅值的控制器参数分步辨识方法，形成了SVG的白盒化电磁暂态模型测辨方法体系。最后，将建立的不同型号白盒仿真模型与对应厂家黑盒模型进行了故障穿越响应特性对比分析，发现其误差远小于现行标准的允许误差，证明了提出方法的有效性和通用性。","['厂家黑盒模型', '故障穿越响应特性', '电磁暂态模型', '控制器结构辨识', '控制器参数辨识']",T14,T07,2.0,0.7049406329868019,摘要:电磁暂态仿真；摘要:仿真模型,0.0089426688299468,-0.1075669072371291,0.6711111111111111,T07,A38,A15,4.5,0.7462012080486962,标题:SVG；摘要:SVG,0.2594607215968118,0.1871514860621154,0.8699999999999999,A38,False,False,False,medium,medium,high
ZH_0051,长三角乡村旅游典型县新型城镇化与乡村共同富裕的共生演进的实证分析,文章基于共生理论，以长三角地区60个乡村旅游典型县为例，利用Lotka-Volterra物种竞争、共生协调度和时空地理加权回归等多元集成模型，解析2000—2021年县域新型城镇化与乡村共同富裕共生演进的时空特征与机制。研究发现：(1)长三角乡村旅游典型县新型城镇化与乡村共同富裕持续良性共生演进，“以城带乡”特征明显，乡村正逐步追赶城镇。(2)中心城市更能引领乡村旅游典型县城镇与乡村共生发展，长三角形成了以上海、杭州、宁波和南京为核心向周围辐射的县域城乡共生发展空间格局。(3)乡村旅游典型县新型城镇化与乡村共同富裕的共生演进受多要素影响，其中城乡收入差距缩小和旅游资源禀赋不是绝对的促进因素，经济发展水平、旅游市场规模、旅游人才建设和适度的政府调控水平能够起到显著促进作用。,"['新型城镇化', '乡村', '共同富裕', '城乡共生发展', '共生演进', '旅游', '政府调控']",T48,T07,1.0,0.7129975274189386,摘要:空间格局,0.0549362036707903,-0.0500176612932948,0.6155555555555555,T07,A41,A45,15.0,0.2003634253212938,标题:城镇化；关键词:城镇化；摘要:城镇化；标题:共同富裕；关键词:共同富裕；摘要:共同富裕,0.6766406639994113,0.402595895152098,0.98,A41,False,False,False,medium,medium,high
ZH_0056,考虑不可测T接负荷的配电网虚拟三端电流差动保护,采用电流差动保护可解决高比例分布式电源接入配电网引起的馈线保护问题。然而当馈线内存在不可测T接负荷分支时，差动保护只能利用被保护线路两端的数据构造判据，性能受到影响。为解决该问题，首先分析了不可测T接负荷对传统两端电流差动保护的影响。在此基础上，提出了一种虚拟三端电流差动保护方法。该方法将被保护线路内部的不可测T接分支等效为一个虚拟支路，利用故障前后线路两端的电压、电流数据估算该虚拟支路的电流相量，并与馈线两端的电流相量一起构成三端电流差动保护判据。仿真结果表明，该方法在无需T接负荷测量数据的前提下能够满足配电网在不同场景下的保护需求，相比传统的电流差动保护具有更高的可靠性与灵敏性。,"['电流差动保护', '配电网', '不可测T接负荷', '虚拟支路', '分布式电源']",T36,T40,0.0,-0.0073117120490043,,0.0315619962372313,-0.0522265146357453,0.26,T40,A31,A12,12.5,0.7521536007260354,标题:配电网；关键词:配电网；摘要:配电网；摘要:馈线；关键词:分布式电源；摘要:分布式电源,0.3206484552326286,0.2296685766145395,0.98,A31,False,False,False,needs_review,needs_review,high
ZH_0066,基于行动者网络的生态旅游地多元主体冲突的演变及形成机制——以湖北省神农架为例,文章基于行动者网络理论构建了生态旅游地多元主体冲突分析的理论框架，以湖北省神农架为案例地，运用质性分析方法解析了多元主体冲突的演变及形成机制。结果表明：(1)生态旅游地冲突是行动者网络构建过程中人类和非人类行动者利益失衡而引发的异议，具有动态变化性；(2)冲突随着行动者的增加逐渐趋于复杂化，呈现萌芽、显化和升级的渐进式发展趋势；(3)资本分化和利益受损是冲突形成的内在根源和直接原因，制度缺位或失灵是冲突形成的充分条件，权力失衡、社会分层和旅游失序则是中介条件。,"['生态旅游', '旅游地冲突', '行动者网络理论', '冲突演变', '形成机制', '多元主体']",T46,T29,8.5,0.7581888120127773,摘要:理论框架；标题:形成机制；关键词:形成机制；摘要:形成机制,0.4186187722268676,0.2727772286626948,0.98,T46,A45,A27,7.5,0.7100942441216063,标题:旅游；关键词:旅游；摘要:旅游,0.0218278907277029,-0.070755399131384,0.94,A27,False,False,False,high,high,high
ZH_0068,中国对外直接投资促进经济高质量发展的空间溢出效应和机制,对外直接投资（OFDI）作为资本在全球范围内流动的主要形式，对中国的经济发展和在全球价值链中地位的提升发挥了至关重要的作用。文章首先基于2003—2021年中国省际面板数据，构建了经济高质量发展评价指标体系，测度了省域经济高质量发展指数，分析经济高质量发展的演变特征；继而通过面板双固定模型和空间杜宾模型分析了OFDI对中国经济高质量发展的影响及其空间溢出效应，进一步探究了OFDI推动中国经济高质量发展的具体作用机制。研究发现：(1)中国经济高质量发展指数上升趋势明显，且基本呈现东高西低的空间分布格局；(2)OFDI对中国经济高质量发展具有正向影响，该结论在考虑一系列影响因素后依然成立；(3)OFDI不仅能驱动省域经济高质量发展，还存在显著的正向空间溢出效应，促进邻近省域的经济高质量发展；(4)OFDI可以通过促进产业结构升级、就业水平提升和资源优化配置推动经济高质量发展。,"['对外直接投资', '投资动机类型', '经济高质量发展', '产业结构升级', '就业水平', '资源优化配置', '产业转移']",T42,T37,2.0,-0.3428123050364393,摘要:面板数据；摘要:空间杜宾模型,0.1759000825959674,0.1227692497397183,0.5911111111111111,T42,A43,A50,7.0,-0.0352389461213366,关键词:产业结构；摘要:产业结构；关键词:产业转移,0.1871283424705348,0.0911503848475954,0.8600000000000001,A43,False,False,False,needs_review,needs_review,high
